IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1000 WIGWAM PKWY STE 120,HENDERSON,NV,89074-8164",1.5,1.5,0.0,0.0,0.0,0.0,36.03357605,-115.0325928,36.03357605,-115.0325928,1.0,0.0,0.0,1.0
"1017 E BASIN AVE STE 1,PAHRUMP,NV,89060-4532",1.316731774948919,0.3919005401203544,0.11011904761904764,0.0,0.125,0.0,36.21960753,-115.9961841,36.21960753,-115.9961841,1.0,0.0,0.0,1.0
"10400 S EASTERN AVE,HENDERSON,NV,89052-3957",0.0,0.5,2.5625,1.5,0.0,0.0,36.00170696,-115.1076044,36.00170696,-115.1076044,1.0,0.0,0.0,1.0
"1055 S WELLS AVE,RENO,NV,89502-2550",7.0,5.25,0.0,0.0,0.0,0.0,39.515697,-119.8032276,39.515697,-119.8032276,1.0,0.0,0.0,1.0
"10645 DOUBLE R BLVD,RENO,NV,89521-8920",0.7575757575757576,0.5714285714285714,0.16666666666666666,1.4761904761904765,0.75,0.5,39.42819337,-119.7521842,39.42819337,-119.7521842,1.0,0.0,0.0,1.0
"1070 N RANCHO DR,LAS VEGAS,NV,89106-1008",1.0,1.0,0.0,0.0,0.0,0.0,36.18315915,-115.180945,36.18315915,-115.180945,1.0,0.0,0.0,1.0
"1101 W MOANA LN STE 4,RENO,NV,89509-4734",2.125,1.75,0.5,0.0,0.0,0.0,39.49123546,-119.8092817,39.49123546,-119.8092817,1.0,0.0,0.0,1.0
"1105 S WELLS AVE,RENO,NV,89502-2525",1.0,1.0,0.0,0.0,0.0,0.0,39.51470392,-119.8032452,39.51470392,-119.8032452,1.0,0.0,0.0,1.0
"1111 N DECATUR BLVD,LAS VEGAS,NV,89108-1220",0.2577639751552795,0.2,0.0,0.0,0.0,0.0,36.18326674,-115.2062476,36.18326674,-115.2062476,1.0,0.0,0.0,1.0
"1125 N MCCARRAN BLVD STE 107,SPARKS,NV,89431-4607",2.1956084656084656,1.486634773272704,0.03571428571428571,0.037037037037037035,0.39210950080515294,1.0733333333333333,39.54304093,-119.7338493,39.54304093,-119.7338493,1.0,0.0,0.0,1.0
"1125 N MCCARRAN BLVD STE 109 # 111,SPARKS,NV,89431-4607",1.1956084656084656,1.1533014399393708,0.03571428571428571,0.037037037037037035,0.058776167471819636,0.07333333333333332,39.54304093,-119.7338493,39.54304093,-119.7338493,1.0,0.0,0.0,1.0
"1130 N HILLS BLVD STE 101,RENO,NV,89506-6723",0.7575757575757576,0.6190476190476191,0.6666666666666666,0.6428571428571428,0.0,0.0,39.60647418,-119.8428115,39.60647418,-119.8428115,1.0,0.0,0.0,1.0
"1241 S TAYLOR ST,FALLON,NV,89406-5804",0.09090909090909093,0.4761904761904762,0.4166666666666666,0.14285714285714285,0.0,1.5,39.463686,-118.7815449,39.463686,-118.7815449,1.0,0.0,0.0,1.0
"1274 E PLUMB LN STE C,RENO,NV,89502-6916",0.125,1.0,0.0,0.0,0.0,0.0,39.50585948,-119.783322,39.50585948,-119.783322,1.0,0.0,0.0,1.0
"1301 BERTHA HOWE AVE STE 5,MESQUITE,NV,89027-7503",0.5,1.0,0.0,0.0,0.0,0.0,36.80848717,-114.1162565,36.80848717,-114.1162565,1.0,0.0,0.0,1.0
"1301 N MCCARRAN BLVD STE 104,SPARKS,NV,89431-3870",2.0,1.75,0.5,0.0,0.0,0.0,39.54545949,-119.7338376,39.54545949,-119.7338376,1.0,0.0,0.0,1.0
"1306 W CRAIG RD STE H,N LAS VEGAS,NV,89032-0215",0.07142857142857142,1.0,0.0,0.0,0.0,0.0,36.23950346,-115.1593425,36.23950346,-115.1593425,1.0,0.0,0.0,1.0
"1328 US HIGHWAY 395 N STE 305,GARDNERVILLE,NV,89410-7368",1.0,0.5,0.0,0.0,0.0,0.0,38.93530437,-119.7383782,38.93530437,-119.7383782,1.0,0.0,0.0,1.0
"1350 S DECATUR BLVD,LAS VEGAS,NV,89102-8510",0.0,0.0,0.0,0.0,1.5,1.5,36.15518969,-115.2081191,36.15518969,-115.2081191,1.0,0.0,0.0,1.0
"1350 S JONES BLVD STE 140,LAS VEGAS,NV,89146-1233",0.5,1.0,0.0,0.0,0.0,0.0,36.15682587,-115.2248438,36.15682587,-115.2248438,1.0,0.0,0.0,1.0
"1351 W SUNSET RD STE 100,HENDERSON,NV,89014-8608",2.7642376142376146,2.205299232930812,0.0,0.0,0.0,0.0,36.0635855,-115.044642,36.0635855,-115.044642,1.0,0.0,0.0,1.0
"1420 E NEVADA HIGHWAY 372,PAHRUMP,NV,89048-2145",2.383649068182001,1.3919005401203544,0.047619047619047616,0.0,0.125,0.0,36.20710595,-115.9887967,36.20710595,-115.9887967,1.0,0.0,0.0,1.0
"1420 US HIGHWAY 95A N STE 2,FERNLEY,NV,89408-4602",1.0492424242424243,1.9083333333333328,0.047619047619047616,0.0,0.0,0.5,39.60816937,-119.221743,39.60816937,-119.221743,1.0,0.0,0.0,1.0
"1420 US HIGHWAY 95A N,FERNLEY,NV,89408-7724",0.5,0.3333333333333333,0.0,0.0,0.0,0.0,39.60816937,-119.221743,39.60816937,-119.221743,1.0,0.0,0.0,1.0
"1450 W HORIZON RIDGE PKWY STE B311,HENDERSON,NV,89012-4481",1.0,1.0,0.0,0.0,0.0,0.0,36.02113607,-115.0495508,36.02113607,-115.0495508,1.0,0.0,0.0,1.0
"1470 MEDICAL PKWY STE 260,CARSON CITY,NV,89703-4647",1.0,1.0,0.0,0.0,0.0,0.0,39.20057557,-119.7859417,39.20057557,-119.7859417,1.0,0.0,0.0,1.0
"1485 US HIGHWAY 395 N,GARDNERVILLE,NV,89410-5214",0.125,0.2416666666666667,0.047619047619047616,0.0,0.0,0.5,38.944280600000006,-119.7530249,38.944280600000006,-119.7530249,1.0,0.0,0.0,1.0
"150 S HIGHWAY 160 STE 11C,PAHRUMP,NV,89048-2133",0.0,0.0,0.0,0.0,0.037037037037037035,0.03333333333333333,36.21805133,-115.9936429,36.21805133,-115.9936429,1.0,0.0,0.0,1.0
"150 S HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.3333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333,36.21805133,-115.9936429,36.21805133,-115.9936429,1.0,0.0,0.0,1.0
"150 S NEVADA HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.3333333333333333,0.5,0.0,0.0,0.037037037037037035,0.03333333333333333,36.21805133,-115.9936429,36.21805133,-115.9936429,1.0,0.0,0.0,1.0
"1500 E DESERT INN RD STE 1,LAS VEGAS,NV,89169-2550",0.6176045878421921,0.5828096310294453,0.047619047619047616,0.08333333333333333,0.0,0.0,36.12984649,-115.1318425,36.12984649,-115.1318424,1.0,0.0,0.0,1.0
"1520 N EASTERN AVE STE 105,LAS VEGAS,NV,89101-1506",1.8666666666666667,0.6944444444444444,0.0,0.0,0.0,0.0,36.18709047,-115.1159875,36.18709047,-115.1159875,1.0,0.0,0.0,1.0
"155 S C ST,HAWTHORNE,NV,89415",1.0,1.0,0.0,0.0,0.0,0.0,38.51766011,-118.6265286,38.51766011,-118.6265286,1.0,0.0,0.0,1.0
"1552 W WARM SPRINGS RD STE 120,HENDERSON,NV,89014-4328",1.0,1.0,0.0,0.0,0.0,0.0,36.05629152,-115.0524315,36.05629152,-115.0524315,1.0,0.0,0.0,1.0
"1570 S RAINBOW BLVD,LAS VEGAS,NV,89146-2956",0.0,0.0,0.0,0.0,1.0,0.5,36.15357597,-115.2432791,36.15357597,-115.2432791,1.0,0.0,0.0,1.0
"1580 E DESERT INN RD,LAS VEGAS,NV,89169-2548",2.9333333333333336,7.085964912280701,0.0,0.0,0.2,0.5,36.12985452,-115.1310144,36.12986449,-115.1310144,1.0,0.0,0.0,1.0
"1621 E FLAMINGO RD STE 17A,LAS VEGAS,NV,89119-5276",1.0,1.0,0.0,0.0,0.0,0.0,36.11447383,-115.1301823,36.11447383,-115.1301823,1.0,0.0,0.0,1.0
"1651 BOULDER CITY PKWY,BOULDER CITY,NV,89005-1909",0.3448773151149193,0.4983431171511668,0.047619047619047616,0.0,0.0,0.05555555555555555,35.96885482,-114.8579771,35.96885482,-114.8579771,1.0,0.0,0.0,1.0
"16580 WEDGE PKWY STE 100,RENO,NV,89511-3211",0.0,0.0,0.5,1.0,0.0,0.0,39.39804804,-119.7659051,39.39804804,-119.7659051,1.0,0.0,0.0,1.0
"1675 MEADOWVIEW LN,RENO,NV,89509-5216",0.0,0.0,0.25,1.0,0.0,0.0,39.48829949,-119.8158398,39.48829949,-119.8158398,1.0,0.0,0.0,1.0
"169 N NELLIS BLVD,LAS VEGAS,NV,89110-5320",2.19084799587088,1.232367149758454,0.0,0.0,0.0,0.0,36.16286892,-115.0623429,36.16286892,-115.0623429,1.0,0.0,0.0,1.0
"1700 E CHARLESTON BLVD,LAS VEGAS,NV,89104-1903",0.2,0.5,0.0,0.0,0.0,0.0,36.15884648,-115.1283905,36.15884648,-115.1283905,1.0,0.0,0.0,1.0
"1700 W CHARLESTON BLVD BLDG A,LAS VEGAS,NV,89102-2335",11.03125,8.885964912280702,1.0,0.5,3.0,1.5,36.1590108,-115.1645113,36.1590108,-115.1645113,1.0,0.0,0.0,1.0
"1700 W CHARLESTON BLVD BLDG D,LAS VEGAS,NV,89102-2335",2.5,3.0,0.0,0.0,3.0,3.0,36.1590108,-115.1645113,36.1590108,-115.1645113,1.0,0.0,0.0,1.0
"1700 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2335",52.9376984126984,22.0627765064836,1.3928571428571428,0.5,7.533333333333332,5.0,36.1590108,-115.1644727,36.1590108,-115.1644727,1.0,0.0,0.0,1.0
"1701 COUNTY RD STE 1,MINDEN,NV,89423-4464",0.09090909090909093,0.0,0.2976190476190476,1.0,0.0,0.0,38.95590509,-119.7786993,38.95590509,-119.7786993,1.0,0.0,0.0,1.0
"1701 W CHARLESTON BLVD STE 520,LAS VEGAS,NV,89102-2309",0.0,0.0,0.0,0.0,0.2217391304347826,1.0,36.15876449,-115.16374340000002,36.15876449,-115.16374340000002,1.0,0.0,0.0,1.0
"1701 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2325",0.5,1.0,0.0,0.0,0.0,0.0,36.15876449,-115.16374340000002,36.15876449,-115.16374340000002,1.0,0.0,0.0,1.0
"1703 CIVIC CENTER DR STE 5,NORTH LAS VEGAS,NV,89030-7273",0.0,0.25,0.0,0.0,0.5,1.5,36.19106105,-115.116318,36.19106105,-115.116318,1.0,0.0,0.0,1.0
"1703 CIVIC CENTER DR STE 6,NORTH LAS VEGAS,NV,89030-7273",0.6666666666666666,0.75,0.0,0.0,0.0,0.0,36.19106147,-115.1163081,36.19106147,-115.1163081,1.0,0.0,0.0,1.0
"1707 W CHARLESTON BLVD STE 290,LAS VEGAS,NV,89102-2353",2.0,3.5,0.25,0.3333333333333333,1.0,1.0,36.15877152,-115.1643735,36.15877152,-115.1643735,1.0,0.0,0.0,1.0
"1707 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2351",0.5,1.0,0.0,0.0,0.0,0.0,36.15877152,-115.1643735,36.15877152,-115.1643735,1.0,0.0,0.0,1.0
"1750 WHEELER PEAK DR,LAS VEGAS,NV,89106-2150",0.6031746031746031,1.0476190476190477,1.75,0.3333333333333333,0.0,0.05555555555555555,36.19015701,-115.1628572,36.19015701,-115.1628572,1.0,0.0,0.0,1.0
"1775 VILLAGE CENTER CIR STE 150,LAS VEGAS,NV,89134-0571",1.0,2.0,0.0,0.0,0.0,0.0,36.1931275,-115.30035430000001,36.1931275,-115.30035430000001,1.0,0.0,0.0,1.0
"1780 N BUFFALO DR STE 109,LAS VEGAS,NV,89128-2675",1.0,1.0,0.0,0.0,0.0,0.0,36.19071092,-115.259985,36.19071092,-115.259985,1.0,0.0,0.0,1.0
"1811 S RAINBOW BLVD STE 101,LAS VEGAS,NV,89146-0855",1.3333333333333333,0.8333333333333333,0.0,0.0,0.0,0.0,36.15087513,-115.2434165,36.15087513,-115.2434165,1.0,0.0,0.0,1.0
"1820 E LAKE MEAD BLVD STE G,NORTH LAS VEGAS,NV,89030-7134",0.6731601433977475,0.3919005401203544,0.047619047619047616,0.0,0.0,0.0,36.19585151,-115.1214202,36.19585151,-115.1214202,1.0,0.0,0.0,1.0
"1825 S NELLIS BLVD,LAS VEGAS,NV,89104-6215",0.75,0.6,0.0,0.0,0.0,0.0,36.15081586,-115.0654248,36.15081586,-115.0654248,1.0,0.0,0.0,1.0
"1860 E CHARLESTON BLVD,LAS VEGAS,NV,89104-1949",2.2691411651821864,2.44001853541774,0.08834586466165413,0.08703703703703704,0.10877616747181963,0.1019047619047619,36.15877149,-115.1239042,36.15877149,-115.1239042,1.0,0.0,0.0,1.0
"1985 N NELLIS BLVD,LAS VEGAS,NV,89115-3647",0.4021164021164021,1.1917027417027417,0.0,0.0,0.0,0.0,36.19597161,-115.0622834,36.19597161,-115.0622834,1.0,0.0,0.0,1.0
"2047 W CHARLESTON BLVD STE 100,LAS VEGAS,NV,89102-2251",0.0,0.0,0.0,0.0,2.0,2.0,36.15877652,-115.169931,36.15877652,-115.169931,1.0,0.0,0.0,1.0
"207 W WINNIE LN,CARSON CITY,NV,89703",0.8201970443349753,0.2857142857142857,0.0,0.0,0.26785714285714285,0.14285714285714285,39.17912226,-119.7680075,39.17912226,-119.7680075,1.0,0.0,0.0,1.0
"2075 E WINDMILL LN STE 110,LAS VEGAS,NV,89123-2084",0.3333333333333333,0.5,0.0,0.0,0.0,0.0,36.04228706,-115.1230284,36.04228706,-115.1230284,1.0,0.0,0.0,1.0
"210 S MARYLAND PKWY STE A,LAS VEGAS,NV,89101-5319",1.0,1.0,0.0,0.0,0.0,0.0,36.16425434,-115.1337595,36.16425434,-115.1337595,1.0,0.0,0.0,1.0
"2145 GREEN VISTA DR STE 110,SPARKS,NV,89431-8513",1.0,1.0,0.0,0.0,0.0,0.0,39.55944454,-119.7729196,39.55944454,-119.7729196,1.0,0.0,0.0,1.0
"2175 E CHEYENNE AVE STE 100,NORTH LAS VEGAS,NV,89030-8438",0.7271521924297668,1.3355861244019138,0.0,0.06666666666666668,0.1924262649377066,0.028571428571428567,36.21763147,-115.1190111,36.21763147,-115.1190111,1.0,0.0,0.0,1.0
"2212 S EASTERN AVE,LAS VEGAS,NV,89104-4124",1.0416666666666663,1.5909090909090908,0.0,0.0,0.0,0.0,36.146619,-115.1188866,36.146619,-115.1188866,1.0,0.0,0.0,1.0
"2217 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-7137",3.762067789912815,3.0726324400237437,0.4694264069264071,0.05,1.555072463768116,1.311904761904762,36.19577672,-115.1180758,36.19577672,-115.1180758,1.0,0.0,0.0,1.0
"222 KAREN AVE UNIT 2503,LAS VEGAS,NV,89109-5305",0.09090909090909093,0.1111111111111111,0.0,0.0,0.0,0.0,36.14026646,-115.1537116,36.14026646,-115.1537116,1.0,0.0,0.0,1.0
"2220 E SERENE AVE STE 100-3,LAS VEGAS,NV,89123-4819",1.0,1.0,0.0,0.0,0.0,0.0,36.02056763,-115.1218425,36.02056763,-115.1218425,1.0,0.0,0.0,1.0
"2250 S RANCHO DR STE 205,LAS VEGAS,NV,89102-4456",0.17045454545454547,0.13596491228070173,0.0,0.0,0.0,0.0,36.14695793,-115.1731886,36.14695793,-115.1731886,1.0,0.0,0.0,1.0
"2272 S NELLIS BLVD STE 2,LAS VEGAS,NV,89104-6216",0.5,1.0,0.0,0.0,0.0,0.0,36.1454175,-115.0653161,36.1454175,-115.0653161,1.0,0.0,0.0,1.0
"2285 E FLAMINGO RD STE 101,LAS VEGAS,NV,89119-5114",1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,1.0,36.11457452,-115.12112009999998,36.11457452,-115.12112009999998,1.0,0.0,0.0,1.0
"2301 E LAKE MEAD BLVD,N LAS VEGAS,NV,89030-7137",0.041666666666666664,0.05263157894736842,0.0,0.0,0.0,0.0,36.19577816,-115.1175118,36.19577816,-115.1175118,1.0,0.0,0.0,1.0
"2301 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-7137",1.8074186771439087,2.147594292993497,0.08834586466165413,0.08703703703703704,0.058776167471819636,0.07333333333333332,36.19577816,-115.1175118,36.19577816,-115.1175118,1.0,0.0,0.0,1.0
"2311 S CASINO DR STE 2D,LAUGHLIN,NV,89029-1534",0.4146521924297669,0.8355861244019139,0.0,0.06666666666666668,0.1924262649377066,0.08412698412698412,35.15522458,-114.5747276,35.15522458,-114.5747276,1.0,0.0,0.0,1.0
"2311 S CASINO DR STE D-2,LAUGHLIN,NV,89029-1538",0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,0.0,35.15521486,-114.5747276,35.15521486,-114.5747276,1.0,0.0,0.0,1.0
"2311 S CASINO DR,LAUGHLIN,NV,89029-1538",0.05263157894736842,1.0,0.0,0.0,0.0,0.0,35.15521486,-114.5747276,35.15521486,-114.5747276,1.0,0.0,0.0,1.0
"235 N EASTERN AVE STE 107,LAS VEGAS,NV,89101-4544",0.3333333333333333,0.25,0.0,0.0,0.0,0.0,36.165627,-115.11592749999998,36.165627,-115.11592749999998,1.0,0.0,0.0,1.0
"2381 E WINDMILL LN STE 11,LAS VEGAS,NV,89123-2069",0.834295049572624,0.8355861244019139,0.0,0.06666666666666668,0.1924262649377066,0.08412698412698412,36.04218282,-115.1190568,36.04218282,-115.1190568,1.0,0.0,0.0,1.0
"2381 RENAISSANCE DR STE B,LAS VEGAS,NV,89119-6498",1.0,1.0,0.5833333333333333,0.25,0.0,0.0,36.10346454,-115.11979540000002,36.10346454,-115.11979540000002,1.0,0.0,0.0,1.0
