IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"10115 W TWAIN AVE STE 100,LAS VEGAS,NV,89147-6719",,0.0,,0.0,,1.0,,,36.12252547,-115.3134345,,,0.0,1.0
"1150 ARIZONA ST,BOULDER CITY,NV,89005-2610",,1.0,,0.0,,0.0,,,35.97819749,-114.835432,,,0.0,1.0
"1300 S LAMB BLVD STE 400,LAS VEGAS,NV,89104-5540",,0.2,,0.0,,0.0,,,36.15729019,-115.0804334,,,0.0,1.0
"1420 NV-372,PAHRUMP,NV,89048",,0.4919005401203543,,0.08333333333333333,,0.05555555555555555,,,36.20710595,-115.9887967,,,0.0,1.0
"1471 N JONES BLVD,LAS VEGAS,NV,89108-1610",,1.0,,0.0,,0.25,,,36.18741202,-115.2241381,,,0.0,1.0
"1475 AVENUE G,ELY,NV,89301-2538",,1.0,,0.0,,0.0,,,39.25701786,-114.8601878,,,0.0,1.0
"1625 LAKESIDE DR,RENO,NV,89509-3408",,1.0,,0.0,,0.0,,,39.50833597,-119.8073586,,,0.0,1.0
"175 BRINKBY AVE,RENO,NV,89509-4327",,1.0,,0.0,,0.0,,,39.49540136,-119.8000638,,,0.0,1.0
"1760 BROWNING WAY,ELKO,NV,89801-8312",,0.0,,1.0,,0.0,,,40.83205135,-115.7343144,,,0.0,1.0
"2100 S MARYLAND PKWY STE 5,LAS VEGAS,NV,89104-3225",,0.05,,0.0,,0.0,,,36.14672797,-115.13715659999998,,,0.0,1.0
"2243 S RAINBOW BLVD,LAS VEGAS,NV,89146-2979",,1.0,,0.0,,0.0,,,36.14705648,-115.243246,,,0.0,1.0
"2281 N GREEN VALLEY PKWY,HENDERSON,NV,89014-5025",,1.0,,0.0,,0.0,,,36.0559131,-115.0840764,,,0.0,1.0
"2375 S JONES BLVD STE 12A,LAS VEGAS,NV,89146-3134",,1.0,,0.0,,0.0,,,36.14515467,-115.22542450000002,,,0.0,1.0
"2500 E LAKE MEAD BLVD,N LAS VEGAS,NV,89030-6464",,0.5476190476190477,,0.0,,0.5,,,36.19588548,-115.1161105,,,0.0,1.0
"2625 S RAINBOW BLVD STE D100,LAS VEGAS,NV,89146-0050",,1.0,,0.0,,0.0,,,36.14161427,-115.2430355,,,0.0,1.0
"2668 LAS VEGAS BLVD N STE 101,NORTH LAS VEGAS,NV,89030-5870",,0.5,,0.0,,0.0,,,36.20814785,-115.1094087,,,0.0,1.0
"2840 E FLAMINGO RD STE G,LAS VEGAS,NV,89121-5202",,0.2,,0.0,,0.0,,,36.11561853,-115.11254850000002,,,0.0,1.0
"300 W A ST,FALLON,NV,89406-2947",,1.0,,0.0,,0.0,,,39.47619951,-118.7804513,,,0.0,1.0
"3050 E DESERT INN RD STE 105,LAS VEGAS,NV,89121-3871",,0.5,,0.0,,0.0,,,36.1297895,-115.1082538,,,0.0,1.0
"314 W FIFTH ST,CARSON CITY,NV,89703-4604",,2.0,,0.0,,0.0,,,39.1613475,-119.7692817,,,0.0,1.0
"3690 W CRAIG RD STE 110,NORTH LAS VEGAS,NV,89032-0543",,0.25,,0.0,,0.0,,,36.23952909,-115.1898737,,,0.0,1.0
"4240 E CHARLESTON BLVD,LAS VEGAS,NV,89104-2387",,0.0,,0.0,,1.0,,,36.15902151,-115.08286470000002,,,0.0,1.0
