IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"101 CARSON RD STE 1,BATTLE MOUNTAIN,NV,89820-2323",1.0,,0.0,,0.0,,40.63299399,-116.9499993,,,1.0,0.0,,
"10960 S EASTERN AVE STE 112,HENDERSON,NV,89052-4974",1.0,,0.0,,0.0,,35.9937708,-115.100828,,,1.0,0.0,,
"1125 N MCCARRAN BLVD STE 111,SPARKS,NV,89431-4607",1.6192982456140348,,0.0,,0.0,,39.54304093,-119.7338493,,,1.0,0.0,,
"1212 S MARYLAND PKWY,LAS VEGAS,NV,89104-1728",1.0,,0.0,,0.0,,36.15599281,-115.1375231,,,1.0,0.0,,
"1264 S NELLIS BLVD,LAS VEGAS,NV,89104-5782",0.625,,0.0,,0.0,,36.15683526,-115.0623612,,,1.0,0.0,,
"1321 W SUNSET RD STE 100,HENDERSON,NV,89014-6768",0.5,,0.0,,0.0,,36.06358453,-115.0441605,,,1.0,0.0,,
"15 PARADISE AVE,WINNEMUCCA,NV,89445-2700",1.0,,0.0,,0.0,,40.98064455,-117.7410848,,,1.0,0.0,,
"1500 E DESERT INN RD,LAS VEGAS,NV,89169-2550",0.4907929936392935,,0.047619047619047616,,0.0,,36.12984649,-115.1318424,,,1.0,0.0,,
"1521 W WILSON RD,PAHRUMP,NV,89048-4213",0.0,,0.0,,1.0,,36.21221546,-116.0416123,,,1.0,0.0,,
"1559 WATASHEAMU RD,GARDNERVILLE,NV,89460-7455",1.0,,0.0,,0.0,,38.90013157,-119.7179472,,,1.0,0.0,,
"1600 W SUNSET RD STE B,HENDERSON,NV,89014-2655",0.0,,1.0,,0.0,,36.06379246,-115.055482,,,1.0,0.0,,
"1725 E WARM SPRINGS RD STE 2,LAS VEGAS,NV,89119-0421",0.5741758241758241,,0.0,,0.7,,36.05758151,-115.1289317,,,1.0,0.0,,
"1789 COLLEGE PKWY STE 121,CARSON CITY,NV,89706-7976",1.0,,0.0,,0.0,,39.18999051,-119.747331,,,1.0,0.0,,
"1811 S RAINBOW BLVD,LAS VEGAS,NV,89146-0894",0.0,,0.0,,1.0,,36.15087513,-115.2434165,,,1.0,0.0,,
"2030 E FLAMINGO RD STE 288,LAS VEGAS,NV,89119-5163",0.5,,0.0,,0.5,,36.11478139,-115.12472450000001,,,1.0,0.0,,
"2085 VILLAGE CENTER CIR STE 120,LAS VEGAS,NV,89134-6263",0.0,,0.09090909090909093,,0.0,,36.1900143,-115.30382040000002,,,1.0,0.0,,
"2261 PYRAMID WAY STE 1,SPARKS,NV,89431-8795",1.0,,0.0,,0.0,,39.55175086,-119.7526691,,,1.0,0.0,,
"2345 E CENTENNIAL PKWY STE 110,NORTH LAS VEGAS,NV,89081-5605",1.0,,0.0,,0.0,,36.27627409,-115.1185553,,,1.0,0.0,,
"2578 IDAHO ST,ELKO,NV,89801-4601",1.0,,0.0,,0.0,,40.85118693,-115.74487859999998,,,1.0,0.0,,
"2633 W HORIZON RIDGE PKWY STE 130,HENDERSON,NV,89052-4833",0.25,,0.0,,0.0,,36.00105341,-115.1023011,,,1.0,0.0,,
"270 DAHLIA ST STE 4,PAHRUMP,NV,89048-2196",0.27142857142857146,,0.0,,0.125,,36.21580196,-115.995685,,,1.0,0.0,,
"2755 S NELLIS BLVD STE 12,LAS VEGAS,NV,89121-7551",1.6666666666666663,,0.0,,0.0,,36.13944527,-115.0656065,,,1.0,0.0,,
"2870 BICENTENNIAL PKWY STE 120,HENDERSON,NV,89044-4482",2.9128664781440525,,0.16666666666666666,,0.3674262649377066,,35.94137483,-115.1163873,,,1.0,0.0,,
"290 BRINKBY AVE STE 1,RENO,NV,89509-4345",0.0,,0.0,,1.0,,39.4951915,-119.8014219,,,1.0,0.0,,
"3074 ARVILLE ST,LAS VEGAS,NV,89102-7490",1.0,,0.0,,0.0,,36.13511121,-115.1993935,,,1.0,0.0,,
"3125 E TROPICANA AVE STE C,LAS VEGAS,NV,89121-7356",0.5,,0.0,,0.0,,36.09986996,-115.106598,,,1.0,0.0,,
"3255 S EASTERN AVE,LAS VEGAS,NV,89169-3389",1.0,,0.0,,0.0,,36.130572,-115.1185745,,,1.0,0.0,,
"3325 RESEARCH WAY,CARSON CITY,NV,89706-7913",0.9583333333333331,,0.0,,0.0,,39.18886432,-119.7503694,,,1.0,0.0,,
"340 FALCON RIDGE PKWY STE 300,MESQUITE,NV,89027-8851",0.5,,0.0,,0.0,,36.80927897,-114.1125863,,,1.0,0.0,,
"350 FALCON RIDGE PKWY STE 200 # 101,MESQUITE,NV,89027-8879",0.0,,0.5833333333333333,,0.0,,36.80909910000001,-114.1134788,,,1.0,0.0,,
"3650 S EASTERN AVE STE 220,LAS VEGAS,NV,89169-3345",1.0,,0.0,,0.0,,36.12418014,-115.1179988,,,1.0,0.0,,
"4080 N MARTIN L KING BLVD,NORTH LAS VEGAS,NV,89032-3216",1.0281384983761026,,0.047619047619047616,,0.125,,36.23373,-115.1619,,,1.0,0.0,,
"4270 S DECATUR BLVD STE A2,LAS VEGAS,NV,89103-6840",0.5,,0.0,,0.0,,36.11230517,-115.2080179,,,1.0,0.0,,
"445 W CRAIG RD # 121-122,NORTH LAS VEGAS,NV,89032-1230",0.125,,0.0,,0.0,,36.23931908,-115.1476558,,,1.0,0.0,,
"4542 E TROPICANA AVE,LAS VEGAS,NV,89121-6705",1.0,,0.0,,0.0,,36.10042075,-115.0752633,,,1.0,0.0,,
"4555 S FORT APACHE RD STE 136,LAS VEGAS,NV,89147-7970",1.0,,0.0,,0.0,,36.10647869,-115.2972055,,,1.0,0.0,,
"475 SOMERSETT PKWY STE B,RENO,NV,89523-4917",1.0,,0.0,,0.0,,39.51950185,-119.902509,,,1.0,0.0,,
"4818 SPARKS BLVD STE 102,SPARKS,NV,89436-8159",1.0,,0.0,,0.0,,39.57943731,-119.7240674,,,1.0,0.0,,
"4875 SUMMIT RIDGE DR,RENO,NV,89523-7936",0.09090909090909093,,0.25,,0.0,,39.52062942,-119.8610361,,,1.0,0.0,,
"4956 E TROPICANA AVE,LAS VEGAS,NV,89121-6729",1.0,,0.0,,0.0,,36.10038378,-115.0645053,,,1.0,0.0,,
"518 E SAINT LOUIS AVE,LAS VEGAS,NV,89104-2509",0.5,,0.0,,0.0,,36.14756867,-115.1519574,,,1.0,0.0,,
"525 E MOANA LN STE A,RENO,NV,89502-4692",1.0,,0.0,,0.0,,39.49291450000001,-119.7910518,,,1.0,0.0,,
"5420 KIETZKE LN STE 208,RENO,NV,89511-2062",1.0,,0.0,,0.0,,39.46655016,-119.7909886,,,1.0,0.0,,
"5516 BOULDER HWY STE 2A,LAS VEGAS,NV,89122-6000",0.5,,0.0,,0.0,,36.10045476,-115.0508263,,,1.0,0.0,,
"556 N EASTERN AVE STE I,LAS VEGAS,NV,89101-3453",1.1420088683246576,,0.0625,,0.0,,36.17246893,-115.1159986,,,1.0,0.0,,
"5765 CENTENNIAL CENTER BLVD STE 110,LAS VEGAS,NV,89149-7125",0.0,,0.0,,1.0,,36.26481348,-115.2575238,,,1.0,0.0,,
"5775 S RAINBOW BLVD STE 103,LAS VEGAS,NV,89118-2531",1.0,,0.0,,0.0,,36.08359255,-115.242818,,,1.0,0.0,,
"620 HUMBOLDT ST,RENO,NV,89509-1606",1.0,,0.0,,0.0,,39.51858536,-119.81398490000002,,,1.0,0.0,,
"6320 SIMMONS ST STE 100,NORTH LAS VEGAS,NV,89031-7276",0.5,,0.0,,0.0,,36.27497397,-115.1797623,,,1.0,0.0,,
"6490 S MCCARRAN BLVD STE 8 # 9,RENO,NV,89509-6165",1.6192982456140348,,0.0,,0.0,,39.47671552,-119.796372,,,1.0,0.0,,
"6592 N DECATUR BLVD STE 160,LAS VEGAS,NV,89131-1040",1.0,,0.0,,0.0,,36.27989277,-115.2063529,,,1.0,0.0,,
"701 N PECOS RD BLDG M,LAS VEGAS,NV,89101-2400",1.3402938868472805,,0.11011904761904764,,0.0,,36.17536215,-115.0983098,,,1.0,0.0,,
"7211 S EASTERN AVE STE 110,LAS VEGAS,NV,89119-0489",0.3333333333333333,,0.0,,0.0,,36.05918647,-115.1184039,,,1.0,0.0,,
"7445 W AZURE DR STE 120,LAS VEGAS,NV,89130-4429",0.0,,0.0,,1.0,,36.27392951,-115.257126,,,1.0,0.0,,
"7469 W LAKE MEAD BLVD STE 270,LAS VEGAS,NV,89128-1045",0.25,,0.0,,0.0,,36.19597189,-115.256624,,,1.0,0.0,,
"757 W 7TH ST STE 102,RENO,NV,89503-3672",1.0,,0.0,,0.0,,39.53196023,-119.82582859999998,,,1.0,0.0,,
"8145 W SAHARA AVE STE 510,LAS VEGAS,NV,89117-1995",0.14285714285714285,,0.0,,0.0,,36.14373749,-115.2687118,,,1.0,0.0,,
"8955 S PECOS RD STE 2A,HENDERSON,NV,89074-7157",0.3333333333333333,,0.0,,0.0,,36.02661336,-115.1006154,,,1.0,0.0,,
"8995 W FLAMINGO RD STE 100,LAS VEGAS,NV,89147-0441",0.0,,1.0,,0.0,,36.1148855,-115.2875618,,,1.0,0.0,,
"9480 S EASTERN AVE STE 145,LAS VEGAS,NV,89123-8028",0.3333333333333333,,0.0,,0.0,,36.01691138,-115.118619,,,1.0,0.0,,
"9484 W LAKE MEAD BLVD,LAS VEGAS,NV,89134-8339",4.6287394940170685,,0.16666666666666666,,0.2424262649377065,,36.20642249,-115.3021827,,,1.0,0.0,,
"9500 W FLAMINGO RD STE 102,LAS VEGAS,NV,89147-5720",0.0,,0.0,,1.0,,36.11682148,-115.2992513,,,1.0,0.0,,
"9598 PROTOTYPE CT STE A,RENO,NV,89521-3950",0.0,,1.0,,0.0,,39.44346132,-119.7651,,,1.0,0.0,,
