idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1000 WIGWAM PKWY STE 120,HENDERSON,NV,89074-8164",1.5,0.0,0.0,36.03357605,-115.0325928,0,1
1,"10115 W TWAIN AVE STE 100,LAS VEGAS,NV,89147-6719",0.0,0.0,1.0,36.12252547,-115.3134345,0,1
2,"1017 E BASIN AVE STE 1,PAHRUMP,NV,89060-4532",0.3919005401203544,0.0,0.0,36.21960753,-115.99618410000001,0,1
3,"10400 S EASTERN AVE,HENDERSON,NV,89052-3957",0.5,1.5,0.0,36.00170696,-115.1076044,0,1
4,"1055 S WELLS AVE,RENO,NV,89502-2550",5.25,0.0,0.0,39.515696999999996,-119.80322759999999,0,1
5,"10645 DOUBLE R BLVD,RENO,NV,89521-8920",0.5714285714285714,1.4761904761904765,0.5,39.42819337,-119.75218419999999,0,1
6,"1070 N RANCHO DR,LAS VEGAS,NV,89106-1008",1.0,0.0,0.0,36.18315915,-115.180945,0,1
7,"1101 W MOANA LN STE 4,RENO,NV,89509-4734",1.75,0.0,0.0,39.49123546,-119.8092817,0,1
8,"1105 S WELLS AVE,RENO,NV,89502-2525",1.0,0.0,0.0,39.51470392,-119.8032452,0,1
9,"1111 N DECATUR BLVD,LAS VEGAS,NV,89108-1220",0.2,0.0,0.0,36.18326674,-115.2062476,0,1
10,"1125 N MCCARRAN BLVD STE 107,SPARKS,NV,89431-4607",1.486634773272704,0.037037037037037035,1.0733333333333333,39.54304093,-119.7338493,0,1
11,"1125 N MCCARRAN BLVD STE 109 # 111,SPARKS,NV,89431-4607",1.1533014399393708,0.037037037037037035,0.07333333333333332,39.54304093,-119.7338493,0,1
12,"1130 N HILLS BLVD STE 101,RENO,NV,89506-6723",0.6190476190476191,0.6428571428571428,0.0,39.60647418,-119.8428115,0,1
13,"1150 ARIZONA ST,BOULDER CITY,NV,89005-2610",1.0,0.0,0.0,35.97819749,-114.83543200000001,0,1
14,"1241 S TAYLOR ST,FALLON,NV,89406-5804",0.4761904761904762,0.14285714285714285,1.5,39.463685999999996,-118.7815449,0,1
15,"1274 E PLUMB LN STE C,RENO,NV,89502-6916",1.0,0.0,0.0,39.50585948,-119.783322,0,1
16,"1300 S LAMB BLVD STE 400,LAS VEGAS,NV,89104-5540",0.2,0.0,0.0,36.15729019,-115.0804334,0,1
17,"1301 BERTHA HOWE AVE STE 5,MESQUITE,NV,89027-7503",1.0,0.0,0.0,36.80848717,-114.11625649999999,0,1
18,"1301 N MCCARRAN BLVD STE 104,SPARKS,NV,89431-3870",1.75,0.0,0.0,39.54545949,-119.73383759999999,0,1
19,"1306 W CRAIG RD STE H,N LAS VEGAS,NV,89032-0215",1.0,0.0,0.0,36.23950346,-115.15934250000001,0,1
20,"1328 US HIGHWAY 395 N STE 305,GARDNERVILLE,NV,89410-7368",0.5,0.0,0.0,38.93530437,-119.73837820000001,0,1
21,"1350 S DECATUR BLVD,LAS VEGAS,NV,89102-8510",0.0,0.0,1.5,36.15518969,-115.20811909999999,0,1
22,"1350 S JONES BLVD STE 140,LAS VEGAS,NV,89146-1233",1.0,0.0,0.0,36.15682587,-115.2248438,0,1
23,"1351 W SUNSET RD STE 100,HENDERSON,NV,89014-8608",2.205299232930812,0.0,0.0,36.063585499999995,-115.044642,0,1
24,"1420 E NEVADA HIGHWAY 372,PAHRUMP,NV,89048-2145",1.3919005401203544,0.0,0.0,36.20710595,-115.9887967,0,1
25,"1420 NV-372,PAHRUMP,NV,89048",0.4919005401203543,0.08333333333333333,0.05555555555555555,36.20710595,-115.9887967,0,1
26,"1420 US HIGHWAY 95A N STE 2,FERNLEY,NV,89408-4602",1.9083333333333328,0.0,0.5,39.60816937,-119.22174299999999,0,1
27,"1420 US HIGHWAY 95A N,FERNLEY,NV,89408-7724",0.3333333333333333,0.0,0.0,39.60816937,-119.22174299999999,0,1
28,"1450 W HORIZON RIDGE PKWY STE B311,HENDERSON,NV,89012-4481",1.0,0.0,0.0,36.02113607,-115.04955079999999,0,1
29,"1470 MEDICAL PKWY STE 260,CARSON CITY,NV,89703-4647",1.0,0.0,0.0,39.20057557,-119.78594170000001,0,1
30,"1471 N JONES BLVD,LAS VEGAS,NV,89108-1610",1.0,0.0,0.25,36.18741202,-115.2241381,0,1
31,"1475 AVENUE G,ELY,NV,89301-2538",1.0,0.0,0.0,39.25701786,-114.8601878,0,1
32,"1485 US HIGHWAY 395 N,GARDNERVILLE,NV,89410-5214",0.2416666666666667,0.0,0.5,38.944280600000006,-119.75302490000001,0,1
33,"150 S HIGHWAY 160 STE 11C,PAHRUMP,NV,89048-2133",0.0,0.0,0.03333333333333333,36.21805133,-115.9936429,0,1
34,"150 S HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.0,0.0,0.03333333333333333,36.21805133,-115.9936429,0,1
35,"150 S NEVADA HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.5,0.0,0.03333333333333333,36.21805133,-115.9936429,0,1
36,"1500 E DESERT INN RD STE 1,LAS VEGAS,NV,89169-2550",0.5828096310294453,0.08333333333333333,0.0,36.12984649,-115.13184240000001,0,1
37,"1520 N EASTERN AVE STE 105,LAS VEGAS,NV,89101-1506",0.6944444444444444,0.0,0.0,36.18709047,-115.1159875,0,1
38,"155 S C ST,HAWTHORNE,NV,89415",1.0,0.0,0.0,38.51766011,-118.62652859999999,0,1
39,"1552 W WARM SPRINGS RD STE 120,HENDERSON,NV,89014-4328",1.0,0.0,0.0,36.05629152,-115.0524315,0,1
40,"1570 S RAINBOW BLVD,LAS VEGAS,NV,89146-2956",0.0,0.0,0.5,36.15357597,-115.2432791,0,1
41,"1580 E DESERT INN RD,LAS VEGAS,NV,89169-2548",7.085964912280701,0.0,0.5,36.12986449,-115.13101440000001,0,1
42,"1621 E FLAMINGO RD STE 17A,LAS VEGAS,NV,89119-5276",1.0,0.0,0.0,36.11447383,-115.13018229999999,0,1
43,"1625 LAKESIDE DR,RENO,NV,89509-3408",1.0,0.0,0.0,39.50833597,-119.80735859999999,0,1
44,"1651 BOULDER CITY PKWY,BOULDER CITY,NV,89005-1909",0.4983431171511668,0.0,0.05555555555555555,35.96885482,-114.8579771,0,1
45,"16580 WEDGE PKWY STE 100,RENO,NV,89511-3211",0.0,1.0,0.0,39.39804804,-119.7659051,0,1
46,"1675 MEADOWVIEW LN,RENO,NV,89509-5216",0.0,1.0,0.0,39.48829949,-119.8158398,0,1
47,"169 N NELLIS BLVD,LAS VEGAS,NV,89110-5320",1.232367149758454,0.0,0.0,36.16286892,-115.0623429,0,1
48,"1700 E CHARLESTON BLVD,LAS VEGAS,NV,89104-1903",0.5,0.0,0.0,36.15884648,-115.12839050000001,0,1
49,"1700 W CHARLESTON BLVD BLDG A,LAS VEGAS,NV,89102-2335",8.885964912280702,0.5,1.5,36.1590108,-115.16451129999999,0,1
50,"1700 W CHARLESTON BLVD BLDG D,LAS VEGAS,NV,89102-2335",3.0,0.0,3.0,36.1590108,-115.16451129999999,0,1
51,"1700 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2335",22.0627765064836,0.5,5.0,36.1590108,-115.16447269999999,0,1
52,"1701 COUNTY RD STE 1,MINDEN,NV,89423-4464",0.0,1.0,0.0,38.95590509,-119.7786993,0,1
53,"1701 W CHARLESTON BLVD STE 520,LAS VEGAS,NV,89102-2309",0.0,0.0,1.0,36.15876449,-115.16374340000002,0,1
54,"1701 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2325",1.0,0.0,0.0,36.15876449,-115.16374340000002,0,1
55,"1703 CIVIC CENTER DR STE 5,NORTH LAS VEGAS,NV,89030-7273",0.25,0.0,1.5,36.19106105,-115.11631799999999,0,1
56,"1703 CIVIC CENTER DR STE 6,NORTH LAS VEGAS,NV,89030-7273",0.75,0.0,0.0,36.19106147,-115.1163081,0,1
57,"1707 W CHARLESTON BLVD STE 290,LAS VEGAS,NV,89102-2353",3.5,0.3333333333333333,1.0,36.15877152,-115.16437350000001,0,1
58,"1707 W CHARLESTON BLVD,LAS VEGAS,NV,89102-2351",1.0,0.0,0.0,36.15877152,-115.16437350000001,0,1
59,"175 BRINKBY AVE,RENO,NV,89509-4327",1.0,0.0,0.0,39.49540136,-119.8000638,0,1
60,"1750 WHEELER PEAK DR,LAS VEGAS,NV,89106-2150",1.0476190476190477,0.3333333333333333,0.05555555555555555,36.19015701,-115.16285719999999,0,1
61,"1760 BROWNING WAY,ELKO,NV,89801-8312",0.0,1.0,0.0,40.83205135,-115.7343144,0,1
62,"1775 VILLAGE CENTER CIR STE 150,LAS VEGAS,NV,89134-0571",2.0,0.0,0.0,36.1931275,-115.3003543,0,1
63,"1780 N BUFFALO DR STE 109,LAS VEGAS,NV,89128-2675",1.0,0.0,0.0,36.19071092,-115.25998500000001,0,1
64,"1811 S RAINBOW BLVD STE 101,LAS VEGAS,NV,89146-0855",0.8333333333333333,0.0,0.0,36.15087513,-115.24341650000001,0,1
65,"1820 E LAKE MEAD BLVD STE G,NORTH LAS VEGAS,NV,89030-7134",0.3919005401203544,0.0,0.0,36.19585151,-115.1214202,0,1
66,"1825 S NELLIS BLVD,LAS VEGAS,NV,89104-6215",0.6,0.0,0.0,36.15081586,-115.06542479999999,0,1
67,"1860 E CHARLESTON BLVD,LAS VEGAS,NV,89104-1949",2.44001853541774,0.08703703703703704,0.1019047619047619,36.15877149,-115.12390420000001,0,1
68,"1985 N NELLIS BLVD,LAS VEGAS,NV,89115-3647",1.1917027417027417,0.0,0.0,36.19597161,-115.0622834,0,1
69,"2047 W CHARLESTON BLVD STE 100,LAS VEGAS,NV,89102-2251",0.0,0.0,2.0,36.15877652,-115.169931,0,1
70,"207 W WINNIE LN,CARSON CITY,NV,89703",0.2857142857142857,0.0,0.14285714285714285,39.17912226,-119.7680075,0,1
71,"2075 E WINDMILL LN STE 110,LAS VEGAS,NV,89123-2084",0.5,0.0,0.0,36.04228706,-115.1230284,0,1
72,"210 S MARYLAND PKWY STE A,LAS VEGAS,NV,89101-5319",1.0,0.0,0.0,36.16425434,-115.1337595,0,1
73,"2100 S MARYLAND PKWY STE 5,LAS VEGAS,NV,89104-3225",0.05,0.0,0.0,36.14672797,-115.13715659999998,0,1
74,"2145 GREEN VISTA DR STE 110,SPARKS,NV,89431-8513",1.0,0.0,0.0,39.55944454,-119.7729196,0,1
75,"2175 E CHEYENNE AVE STE 100,NORTH LAS VEGAS,NV,89030-8438",1.3355861244019138,0.06666666666666668,0.028571428571428567,36.21763147,-115.11901110000001,0,1
76,"2212 S EASTERN AVE,LAS VEGAS,NV,89104-4124",1.5909090909090908,0.0,0.0,36.146619,-115.1188866,0,1
77,"2217 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-7137",3.072632440023744,0.05,1.311904761904762,36.19577672,-115.11807579999999,0,1
78,"222 KAREN AVE UNIT 2503,LAS VEGAS,NV,89109-5305",0.1111111111111111,0.0,0.0,36.14026646,-115.1537116,0,1
79,"2220 E SERENE AVE STE 100-3,LAS VEGAS,NV,89123-4819",1.0,0.0,0.0,36.02056763,-115.1218425,0,1
80,"2243 S RAINBOW BLVD,LAS VEGAS,NV,89146-2979",1.0,0.0,0.0,36.14705648,-115.243246,0,1
81,"2250 S RANCHO DR STE 205,LAS VEGAS,NV,89102-4456",0.13596491228070173,0.0,0.0,36.14695793,-115.17318859999999,0,1
82,"2272 S NELLIS BLVD STE 2,LAS VEGAS,NV,89104-6216",1.0,0.0,0.0,36.1454175,-115.06531609999999,0,1
83,"2281 N GREEN VALLEY PKWY,HENDERSON,NV,89014-5025",1.0,0.0,0.0,36.0559131,-115.0840764,0,1
84,"2285 E FLAMINGO RD STE 101,LAS VEGAS,NV,89119-5114",1.3333333333333333,0.0,1.0,36.11457452,-115.12112009999998,0,1
85,"2301 E LAKE MEAD BLVD,N LAS VEGAS,NV,89030-7137",0.05263157894736842,0.0,0.0,36.19577816,-115.1175118,0,1
86,"2301 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-7137",2.147594292993497,0.08703703703703704,0.07333333333333332,36.19577816,-115.1175118,0,1
87,"2311 S CASINO DR STE 2D,LAUGHLIN,NV,89029-1534",0.8355861244019139,0.06666666666666668,0.08412698412698412,35.15522458,-114.57472759999999,0,1
88,"2311 S CASINO DR STE D-2,LAUGHLIN,NV,89029-1538",0.3333333333333333,0.0,0.0,35.15521486,-114.57472759999999,0,1
89,"2311 S CASINO DR,LAUGHLIN,NV,89029-1538",1.0,0.0,0.0,35.15521486,-114.57472759999999,0,1
90,"235 N EASTERN AVE STE 107,LAS VEGAS,NV,89101-4544",0.25,0.0,0.0,36.165627,-115.11592749999998,0,1
91,"2375 S JONES BLVD STE 12A,LAS VEGAS,NV,89146-3134",1.0,0.0,0.0,36.14515467,-115.22542450000002,0,1
92,"2381 E WINDMILL LN STE 11,LAS VEGAS,NV,89123-2069",0.8355861244019139,0.06666666666666668,0.08412698412698412,36.04218282,-115.1190568,0,1
93,"2381 RENAISSANCE DR STE B,LAS VEGAS,NV,89119-6498",1.0,0.25,0.0,36.10346454,-115.11979540000002,0,1
94,"2425 E TROPICANA AVE STE 5B,LAS VEGAS,NV,89121-5416",0.5,0.0,0.0,36.09980988,-115.11768799999999,0,1
95,"2425 E TROPICANA AVE,LAS VEGAS,NV,89121-5416",0.1111111111111111,0.0,0.0,36.09980988,-115.11768799999999,0,1
96,"2480 E TOMPKINS AVE STE 102,LAS VEGAS,NV,89121-5466",0.3919005401203544,0.0,0.0,36.10366748,-115.1171943,0,1
97,"250 E LAKE MEAD BLVD N,NORTH LAS VEGAS,NV,89030-3000",0.0,0.0,0.5,36.19696032,-115.13619109999999,0,1
98,"2500 E LAKE MEAD BLVD,N LAS VEGAS,NV,89030-6464",0.5476190476190477,0.0,0.5,36.19588548,-115.1161105,0,1
99,"2500 E LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030-6464",0.5,0.0,0.0,36.19588548,-115.1161105,0,1
100,"2500 W SAHARA AVE STE 202,LAS VEGAS,NV,89102-4367",0.0,0.0,0.5,36.14445277,-115.1749591,0,1
101,"2510 W CHARLESTON BLVD STE F56,LAS VEGAS,NV,89102-2175",0.5,0.0,0.0,36.15904859,-115.17635349999999,0,1
102,"2551 N GREEN VALLEY PKWY STE 400A,HENDERSON,NV,89014-0272",1.0,0.0,0.0,36.06837348,-115.0825475,0,1
103,"2551 N GREEN VALLEY PKWY,HENDERSON,NV,89014-0272",0.0,0.3333333333333333,0.0,36.06837348,-115.0825475,0,1
104,"2560 S MARYLAND PKWY STE 5,LAS VEGAS,NV,89109-1672",2.0,0.0,0.0,36.14290264,-115.1368229,0,1
105,"2575 N 5TH ST STE A,ELKO,NV,89801-2468",2.0,1.0,0.0,40.84673296,-115.78424170000001,0,1
106,"2605 S DECATUR BLVD STE 116,LAS VEGAS,NV,89102-8592",2.0,0.0,0.0,36.14276763,-115.208266,0,1
107,"2625 S RAINBOW BLVD STE D100,LAS VEGAS,NV,89146-0050",1.0,0.0,0.0,36.14161427,-115.2430355,0,1
108,"2660 WINDMILL PKWY,HENDERSON,NV,89074-3385",1.1666666666666663,0.0,0.0,36.04248137,-115.1042258,0,1
109,"2668 LAS VEGAS BLVD N STE 101,N LAS VEGAS,NV,89030-5870",0.5,0.0,0.0,36.20814785,-115.1094087,0,1
110,"2668 LAS VEGAS BLVD N STE 101,NORTH LAS VEGAS,NV,89030-5870",0.5,0.0,0.0,36.20814785,-115.1094087,0,1
111,"2764 LAKE SAHARA DR STE 107,LAS VEGAS,NV,89117-3400",1.6666666666666663,0.0,0.0,36.14019247,-115.28375700000001,0,1
112,"2799 SUNRIDGE HEIGHTS PKWY STE 100,HENDERSON,NV,89052-5055",0.0,0.0,0.5,35.99130248,-115.10971299999999,0,1
113,"2801 S VALLEY VIEW BLVD STE 4,LAS VEGAS,NV,89102-0116",1.0,0.0,0.0,36.140507799999995,-115.1906955,0,1
114,"2810 W CHARLESTON BLVD,LAS VEGAS,NV,89102",0.5,0.0,0.0,36.15902447,-115.17981280000001,0,1
115,"2811 N GREEN VALLEY PKWY,HENDERSON,NV,89014-0401",0.9285714285714286,0.0,0.0,36.07151989,-115.0825188,0,1
116,"2835 SAINT ROSE PKWY STE 100,HENDERSON,NV,89052-4847",1.0,0.0,1.0,36.00896027,-115.1115348,0,1
117,"2840 E FLAMINGO RD STE G,LAS VEGAS,NV,89121-5202",0.2,0.0,0.0,36.11561853,-115.11254850000002,0,1
118,"2843 SAINT ROSE PKWY STE 100,HENDERSON,NV,89052-4814",0.5,0.0,0.0,36.00889831,-115.1116327,0,1
119,"290 BRINKBY AVE,RENO,NV,89509-4348",1.0,0.0,1.0,39.4951915,-119.8014219,0,1
120,"2900 CLEAR ACRE LN STE S,RENO,NV,89512-1764",0.5,0.0,0.0,39.55772638,-119.7915869,0,1
121,"2900 E DESERT INN RD STE 109,LAS VEGAS,NV,89121-3619",0.25,0.0,0.0,36.12981352,-115.1107527,0,1
122,"300 W A ST,FALLON,NV,89406-2947",1.0,0.0,0.0,39.47619951,-118.78045130000001,0,1
123,"301 N PECOS RD STE F,HENDERSON,NV,89074-1350",0.5,0.0,0.0,36.05022955,-115.1003955,0,1
124,"3016 W CHARLESTON BLVD STE 145,LAS VEGAS,NV,89102-1964",0.045454545454545456,0.0,0.0,36.15904247,-115.18238229999999,0,1
125,"3040 W ANN RD STE 101,N LAS VEGAS,NV,89031-7266",2.7,0.0,0.0,36.26160052,-115.1819801,0,1
126,"3040 W ANN RD STE 101,NORTH LAS VEGAS,NV,89031-7266",0.1787810042347247,0.08703703703703704,0.0,36.26160052,-115.1819801,0,1
127,"3041 E FLAMINGO RD,LAS VEGAS,NV,89121",0.045454545454545456,0.0,0.0,36.11492652,-115.10923190000001,0,1
128,"3050 E DESERT INN RD STE 105,LAS VEGAS,NV,89121-3871",0.5,0.0,0.0,36.1297895,-115.1082538,0,1
129,"3050 E DESERT INN RD, #105,LAS VEGAS,NV,89121-3871",0.5,0.0,0.0,36.1297895,-115.1082538,0,1
130,"307 W WINNIE LN STE 2,CARSON CITY,NV,89703-2145",0.5,0.0,0.0,39.17916948,-119.7689938,0,1
131,"314 W FIFTH ST,CARSON CITY,NV,89703-4604",2.0,0.0,0.0,39.1613475,-119.76928170000001,0,1
132,"3150 VISTA BLVD STE 110,SPARKS,NV,89436-6704",0.14285714285714285,0.14285714285714285,0.14285714285714285,39.56021162,-119.7054369,0,1
133,"3150 VISTA BLVD STE 112,SPARKS,NV,89436-6704",0.6190476190476191,0.6428571428571428,0.0,39.56021162,-119.7054369,0,1
134,"3160 N TRUCKEE LN,SPARKS,NV,89434-1583",1.2416666666666667,0.0,0.0,39.55819898,-119.73379579999998,0,1
135,"3163 N RAINBOW BLVD,LAS VEGAS,NV,89108-4578",0.3333333333333333,0.0,0.0,36.21740265,-115.24234840000001,0,1
136,"3196 S MARYLAND PKWY STE 307,LAS VEGAS,NV,89109-2314",2.0,0.0,1.0,36.131921999999996,-115.13686899999999,0,1
137,"320 N NELLIS BLVD STE 4,LAS VEGAS,NV,89110-5390",0.2857142857142857,0.0,0.14285714285714285,36.16505186,-115.06201899999999,0,1
138,"3211 S EASTERN AVE,LAS VEGAS,NV,89169-3310",0.25,0.0,0.0,36.13132799,-115.118576,0,1
139,"3225 S RAINBOW BLVD STE 104,LAS VEGAS,NV,89146-6216",0.7526315789473684,0.0,0.0,36.13095011,-115.243104,0,1
140,"3226 N DECATUR BLVD,LAS VEGAS,NV,89130-3207",1.0,0.0,0.0,36.21798341,-115.2074351,0,1
141,"3310 N MOAPA VALLEY BLVD,LOGANDALE,NV,89021",0.0,0.5,0.0,36.60091061,-114.48394990000001,0,1
142,"3310 N MOAPA VALLEY BLVD,LOGANDALE,NV,89021-9940",0.0,1.0,0.0,36.60092092,-114.4839487,0,1
143,"3315 W CRAIG RD STE 108,N LAS VEGAS,NV,89032-5001",1.0,0.0,0.0,36.23933653,-115.185294,0,1
144,"3362 S MCCARRAN BLVD,RENO,NV,89502-6442",4.0,0.14285714285714285,0.0,39.485304,-119.74791540000001,0,1
145,"340 FALCON RIDGE PKWY STE 300C,MESQUITE,NV,89027-8851",1.0,0.0,0.0,36.80826257,-114.11313419999999,0,1
146,"3405 MARKET ST STE 102,CARSON CITY,NV,89706-8019",1.4100064207822829,0.037037037037037035,1.0733333333333333,39.18918689,-119.7566216,0,1
147,"350 FALCON RIDGE PKWY STE 200STE # 101,MESQUITE,NV,89027-8878",0.0,0.5,0.0,36.80909952,-114.1134771,0,1
148,"3600 N BUFFALO DR STE 110,LAS VEGAS,NV,89129-7462",0.5,0.0,1.0,36.22600841,-115.2605375,0,1
149,"3603 LAS VEGAS BLVD N STE 120,LAS VEGAS,NV,89115-0588",0.047619047619047616,0.3333333333333333,0.05555555555555555,36.22487281,-115.0813071,0,1
150,"3674 E SUNSET RD,LAS VEGAS,NV,89120-7234",1.6666666666666663,0.0,0.0,36.07145743,-115.09498980000001,0,1
151,"3690 W CRAIG RD STE 110,NORTH LAS VEGAS,NV,89032-0543",0.25,0.0,0.0,36.23952909,-115.18987369999999,0,1
