idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1000 WIGWAM PKWY STE 120,HENDERSON,NV,89074-8164",1.5,0.0,0.0,36.03357605,-115.0325928,1,0
1,"101 CARSON RD STE 1,BATTLE MOUNTAIN,NV,89820-2323",1.0,0.0,0.0,40.63299399,-116.9499993,1,0
2,"1017 E BASIN AVE STE 1,PAHRUMP,NV,89060-4532",1.316731774948919,0.11011904761904764,0.125,36.21960753,-115.99618410000001,1,0
3,"10400 S EASTERN AVE,HENDERSON,NV,89052-3957",0.0,2.5625,0.0,36.00170696,-115.1076044,1,0
4,"1055 S WELLS AVE,RENO,NV,89502-2550",7.0,0.0,0.0,39.515696999999996,-119.80322759999999,1,0
5,"10645 DOUBLE R BLVD,RENO,NV,89521-8920",0.7575757575757576,0.16666666666666666,0.75,39.42819337,-119.75218419999999,1,0
6,"1070 N RANCHO DR,LAS VEGAS,NV,89106-1008",1.0,0.0,0.0,36.18315915,-115.180945,1,0
7,"10960 S EASTERN AVE STE 112,HENDERSON,NV,89052-4974",1.0,0.0,0.0,35.9937708,-115.100828,1,0
8,"1101 W MOANA LN STE 4,RENO,NV,89509-4734",2.125,0.5,0.0,39.49123546,-119.8092817,1,0
9,"1105 S WELLS AVE,RENO,NV,89502-2525",1.0,0.0,0.0,39.51470392,-119.8032452,1,0
10,"1111 N DECATUR BLVD,LAS VEGAS,NV,89108-1220",0.2577639751552795,0.0,0.0,36.18326674,-115.2062476,1,0
11,"1125 N MCCARRAN BLVD STE 107,SPARKS,NV,89431-4607",2.1956084656084656,0.03571428571428571,0.39210950080515294,39.54304093,-119.7338493,1,0
12,"1125 N MCCARRAN BLVD STE 109 # 111,SPARKS,NV,89431-4607",1.1956084656084656,0.03571428571428571,0.058776167471819636,39.54304093,-119.7338493,1,0
13,"1125 N MCCARRAN BLVD STE 111,SPARKS,NV,89431-4607",1.6192982456140348,0.0,0.0,39.54304093,-119.7338493,1,0
14,"1130 N HILLS BLVD STE 101,RENO,NV,89506-6723",0.7575757575757576,0.6666666666666666,0.0,39.60647418,-119.8428115,1,0
15,"1212 S MARYLAND PKWY,LAS VEGAS,NV,89104-1728",1.0,0.0,0.0,36.15599281,-115.1375231,1,0
16,"1241 S TAYLOR ST,FALLON,NV,89406-5804",0.09090909090909093,0.4166666666666666,0.0,39.463685999999996,-118.7815449,1,0
17,"1264 S NELLIS BLVD,LAS VEGAS,NV,89104-5782",0.625,0.0,0.0,36.15683526,-115.0623612,1,0
18,"1274 E PLUMB LN STE C,RENO,NV,89502-6916",0.125,0.0,0.0,39.50585948,-119.783322,1,0
19,"1301 BERTHA HOWE AVE STE 5,MESQUITE,NV,89027-7503",0.5,0.0,0.0,36.80848717,-114.11625649999999,1,0
20,"1301 N MCCARRAN BLVD STE 104,SPARKS,NV,89431-3870",2.0,0.5,0.0,39.54545949,-119.73383759999999,1,0
21,"1306 W CRAIG RD STE H,N LAS VEGAS,NV,89032-0215",0.07142857142857142,0.0,0.0,36.23950346,-115.15934250000001,1,0
22,"1321 W SUNSET RD STE 100,HENDERSON,NV,89014-6768",0.5,0.0,0.0,36.06358453,-115.0441605,1,0
23,"1328 US HIGHWAY 395 N STE 305,GARDNERVILLE,NV,89410-7368",1.0,0.0,0.0,38.93530437,-119.73837820000001,1,0
24,"1350 S DECATUR BLVD,LAS VEGAS,NV,89102-8510",0.0,0.0,1.5,36.15518969,-115.20811909999999,1,0
25,"1350 S JONES BLVD STE 140,LAS VEGAS,NV,89146-1233",0.5,0.0,0.0,36.15682587,-115.2248438,1,0
26,"1351 W SUNSET RD STE 100,HENDERSON,NV,89014-8608",2.7642376142376146,0.0,0.0,36.063585499999995,-115.044642,1,0
27,"1420 E NEVADA HIGHWAY 372,PAHRUMP,NV,89048-2145",2.383649068182001,0.047619047619047616,0.125,36.20710595,-115.9887967,1,0
28,"1420 US HIGHWAY 95A N STE 2,FERNLEY,NV,89408-4602",1.0492424242424243,0.047619047619047616,0.0,39.60816937,-119.22174299999999,1,0
29,"1420 US HIGHWAY 95A N,FERNLEY,NV,89408-7724",0.5,0.0,0.0,39.60816937,-119.22174299999999,1,0
30,"1450 W HORIZON RIDGE PKWY STE B311,HENDERSON,NV,89012-4481",1.0,0.0,0.0,36.02113607,-115.04955079999999,1,0
31,"1470 MEDICAL PKWY STE 260,CARSON CITY,NV,89703-4647",1.0,0.0,0.0,39.20057557,-119.78594170000001,1,0
32,"1485 US HIGHWAY 395 N,GARDNERVILLE,NV,89410-5214",0.125,0.047619047619047616,0.0,38.944280600000006,-119.75302490000001,1,0
33,"15 PARADISE AVE,WINNEMUCCA,NV,89445-2700",1.0,0.0,0.0,40.98064455,-117.7410848,1,0
34,"150 S HIGHWAY 160 STE 11C,PAHRUMP,NV,89048-2133",0.0,0.0,0.037037037037037035,36.21805133,-115.9936429,1,0
35,"150 S HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.3333333333333333,0.0,0.0,36.21805133,-115.9936429,1,0
36,"150 S NEVADA HIGHWAY 160 STE C-11,PAHRUMP,NV,89048-2176",0.3333333333333333,0.0,0.037037037037037035,36.21805133,-115.9936429,1,0
37,"1500 E DESERT INN RD STE 1,LAS VEGAS,NV,89169-2550",0.6176045878421921,0.047619047619047616,0.0,36.12984649,-115.1318425,1,0
38,"1500 E DESERT INN RD,LAS VEGAS,NV,89169-2550",0.4907929936392935,0.047619047619047616,0.0,36.12984649,-115.13184240000001,1,0
39,"1520 N EASTERN AVE STE 105,LAS VEGAS,NV,89101-1506",1.8666666666666667,0.0,0.0,36.18709047,-115.1159875,1,0
40,"1521 W WILSON RD,PAHRUMP,NV,89048-4213",0.0,0.0,1.0,36.21221546,-116.0416123,1,0
41,"155 S C ST,HAWTHORNE,NV,89415",1.0,0.0,0.0,38.51766011,-118.62652859999999,1,0
42,"1552 W WARM SPRINGS RD STE 120,HENDERSON,NV,89014-4328",1.0,0.0,0.0,36.05629152,-115.0524315,1,0
43,"1559 WATASHEAMU RD,GARDNERVILLE,NV,89460-7455",1.0,0.0,0.0,38.90013157,-119.71794720000001,1,0
44,"1570 S RAINBOW BLVD,LAS VEGAS,NV,89146-2956",0.0,0.0,1.0,36.15357597,-115.2432791,1,0
45,"1580 E DESERT INN RD,LAS VEGAS,NV,89169-2548",2.9333333333333336,0.0,0.2,36.12985452,-115.13101440000001,1,0
46,"1600 W SUNSET RD STE B,HENDERSON,NV,89014-2655",0.0,1.0,0.0,36.06379246,-115.05548200000001,1,0
47,"1621 E FLAMINGO RD STE 17A,LAS VEGAS,NV,89119-5276",1.0,0.0,0.0,36.11447383,-115.13018229999999,1,0
48,"1651 BOULDER CITY PKWY,BOULDER CITY,NV,89005-1909",0.3448773151149193,0.047619047619047616,0.0,35.96885482,-114.8579771,1,0
49,"16580 WEDGE PKWY STE 100,RENO,NV,89511-3211",0.0,0.5,0.0,39.39804804,-119.7659051,1,0
50,"1675 MEADOWVIEW LN,RENO,NV,89509-5216",0.0,0.25,0.0,39.48829949,-119.8158398,1,0
51,"169 N NELLIS BLVD,LAS VEGAS,NV,89110-5320",2.1908479958708797,0.0,0.0,36.16286892,-115.0623429,1,0
52,"1700 E CHARLESTON BLVD,LAS VEGAS,NV,89104-1903",0.2,0.0,0.0,36.15884648,-115.12839050000001,1,0
53,"1700 W CHARLESTON BLVD BLDG A,LAS VEGAS,NV,89102-2335",11.03125,1.0,3.0,36.1590108,-115.16451129999999,1,0
54,"1700 W CHARLESTON BLVD BLDG D,LAS VEGAS,NV,89102-2335",2.5,0.0,3.0,36.1590108,-115.16451129999999,1,0
