,State_County_Tract_FIPS_Code
32003005809,33
32003005318,27
32003005840,26
32031980300,23
32031001104,22
32003002947,20
32003005823,14
32003003218,14
32003005105,14
32003003415,13
32003003243,13
32003005854,13
32031002409,13
32003005351,12
32003005349,12
32031001103,12
32003003219,11
32003003223,11
32003001006,11
32003002976,11
32003002962,11
32510000100,11
32003005353,10
32510000300,9
32031002500,9
32003005346,9
32003005844,9
32031002103,8
32003005813,8
32007951202,8
32031002208,8
32003003253,8
32003005108,8
32003005101,8
32003003232,7
32003003226,7
32003001709,7
32031001012,7
32003006900,7
32031001005,7
32031002618,7
32003005316,7
32003001711,6
32007950702,6
32003002808,6
32003000106,6
32005002200,6
32003003305,6
32003005357,6
32003004920,5
32003005359,5
32003005333,5
32003005317,5
32031002210,5
32003005348,5
32510000400,5
32003002983,5
32005001400,5
32031000300,5
32003007500,5
32031003000,4
32003005711,4
32031001015,4
32019960101,4
32031001008,4
32003003613,4
32019960800,4
32005002400,4
32003002951,4
32013010500,4
32003005804,4
32003005811,4
32003003310,4
32001950100,4
32003005321,4
32003005830,4
32003002841,4
32003000201,4
32510000800,4
32003003222,4
32031003101,4
32003005855,4
32003002966,4
32031001105,4
32031003512,4
32003005825,4
32003005826,4
32003003320,3
32003005436,3
32023960401,3
32003003234,3
32003002916,3
32003002848,3
32003003236,3
32003003318,3
32003005102,3
32003003242,3
32003002832,3
32003005103,3
32003002915,3
32003003252,3
32031002206,3
32003002811,3
32003005315,3
32003005347,3
32003003003,3
32003005822,3
32003005834,3
32003005842,3
32031003203,3
32003000520,3
32003003634,3
32003005836,3
32003002950,3
32003005846,3
32005001300,3
32003005712,3
32510000600,3
32003005843,3
32003005849,3
32003005848,3
32031002802,3
32003005904,3
32003005853,3
32003002985,3
32003005502,3
32031003507,2
32031003510,2
32003002829,2
32003002830,2
32003003250,2
32003002824,2
32003005839,2
32033970100,2
32003002905,2
32003005841,2
32003005852,2
32003005314,2
32003005109,2
32031002301,2
32023960404,2
32003002948,2
32003002846,2
32003005850,2
32031003105,2
32003003214,2
32003003215,2
32003005200,2
32003001004,2
32003005827,2
32003003421,2
32003002821,2
32003003643,2
32003005501,2
32510000200,2
32031001011,2
32003005435,2
32005001700,2
32003007600,2
32031000101,2
32003003622,2
32003003620,2
32003003319,2
32003004500,2
32003001003,2
32003006104,2
32003003628,2
32031001013,2
32003005714,2
32031002207,2
32003003418,2
32003005322,2
32031002801,2
32001950600,2
32003005335,2
32003005337,2
32003002814,2
32003000518,2
32003004302,2
32003002942,2
32031001902,2
32003005355,2
32003005354,2
32003000800,2
32003002939,1
32003002937,1
32003002954,1
32003002303,1
32003002935,1
32003002302,1
32003004910,1
32007950701,1
32003002405,1
32031002703,1
32003002501,1
32003002505,1
32003002504,1
32003000516,1
32003003306,1
32003006700,1
32005001500,1
32003002706,1
32003006800,1
32005001600,1
32019960303,1
32031002614,1
32031001010,1
32031001014,1
32003002957,1
32003002823,1
32003002835,1
32003002838,1
32003002836,1
32003002842,1
32003002847,1
32031003108,1
32005001800,1
32003005856,1
32003000203,1
32003003621,1
32003003619,1
32003005613,1
32003005504,1
32003001402,1
32003001902,1
32003003408,1
32003003411,1
32003005438,1
32001950700,1
32003001005,1
32003005360,1
32003003314,1
32003005356,1
32003005352,1
32003005350,1
32003003623,1
32003005713,1
32003005336,1
32003005807,1
32003001803,1
32003005851,1
32003005903,1
32003005845,1
32003005847,1
32003005902,1
32003005837,1
32003005824,1
32003005818,1
32031002105,1
32003001714,1
32031002104,1
32003001706,1
32003005803,1
32003007800,1
32510000501,1
32031002612,1
32003002961,1
32003000107,1
32031003307,1
32031002411,1
32005001000,1
32005001900,1
32031002412,1
32031001201,1
32031001202,1
32003002980,1
32003002982,1
32510001002,1
32003002977,1
32001950301,1
32001950302,1
32003005013,1
32003002967,1
32003005311,1
32003003204,1
32003005319,1
32003003211,1
32003003260,1
32003003261,1
32003003208,1
32003001715,1
32031003504,1
32003003249,1
32003003246,1
32003003238,1
32031002302,1
32003003235,1
32003003227,1
32031002407,1
32003000103,1
32003003213,1
32003005805,1
32003003237,1
