,State_County_Tract_FIPS_Code
32003003246,176
32003001005,112
32003000203,68
32003005322,64
32003004000,64
32003005826,53
32003002980,49
32003000105,46
32003003627,46
32003003419,45
32003001401,45
32031003000,44
32003003006,44
32003001709,40
32003002985,40
32003002406,40
32003000517,38
32003003318,38
32003005105,36
32003001902,35
32003003640,34
32003003310,28
32003002905,27
32003004500,26
32003002946,23
32003000521,22
32003003613,22
32023960401,21
32003005108,20
32003001711,20
32003002000,20
32003001706,19
32510000400,19
32031001012,19
32003005702,19
32023960402,19
32003002976,18
32031002211,18
32003006001,18
32003002811,18
32003003629,18
32031003503,17
32003003620,17
32003003204,16
32031000101,16
32005001900,16
32003000520,14
32003002975,13
32003002824,12
32003003408,12
32003000204,11
32003003633,11
32031002208,11
32003005502,10
32031980000,10
32003005840,10
32019960101,10
32003003215,9
32003004709,9
32031001008,8
32031003513,8
32003005012,8
32003003800,8
32003003610,7
32003005813,7
32003005014,7
32003005854,7
32031000202,7
32003000519,6
32001950302,6
32003005808,6
32003005711,6
32003005349,6
32003002916,6
32003005101,6
32031002105,5
32031002407,5
32003002203,5
32003005809,5
32003005811,5
32003006900,5
32003002505,5
32003002821,5
32003003236,5
32003001717,5
32031002618,5
32031003105,5
32003002915,5
32003001004,5
32003003415,5
32003000101,4
32031001005,4
32003004302,4
32031002703,4
32031000300,4
32510000200,4
32003003413,4
32003002834,4
32003002939,4
32005001500,4
32003005312,4
32019960900,4
32031002204,4
32003000302,4
32003002982,3
32003005102,3
32003001803,3
32003003252,3
32031001902,3
32003001006,3
32003007600,3
32003003634,3
32003005904,3
32003001402,3
32003002935,3
32003000515,3
32003005712,3
32003002936,3
32510000300,3
32003004921,3
32003004716,3
32007950701,3
32003000525,3
32019960800,2
32003003410,2
32003003641,2
32003003414,2
32003002837,2
32003002504,2
32003005315,2
32003003222,2
32510000100,2
32003003232,2
32003005318,2
32003003411,2
32003003218,2
32003003409,2
32003003631,2
32003003607,2
32007950800,2
32003001003,2
32003000103,2
32003005850,2
32003003303,2
32003005851,2
32003002501,2
32003001901,2
32003003103,2
32003000522,2
32031002205,2
32003000528,2
32031002801,2
32003002937,2
32003003231,2
32003004924,2
32003004301,2
32003003261,2
32003002823,2
32003001609,2
32003001611,2
32003003213,2
32033970300,1
32007950900,1
32003002814,1
32003002942,1
32003000510,1
32003002950,1
32003000518,1
32003003616,1
32003003609,1
32031001015,1
32031001009,1
32003002962,1
32003000107,1
32003000524,1
32003002974,1
32003002707,1
32031001010,1
32003002204,1
32003001610,1
32005001400,1
32003001713,1
32003002506,1
32003002952,1
32003002979,1
32003002966,1
32003000800,1
32031001701,1
32003005503,1
32003003422,1
32003003418,1
32003001200,1
32003005348,1
32003003235,1
32003003305,1
32510000800,1
32003005352,1
32023960404,1
32003005827,1
32003006202,1
32017950100,1
32007951202,1
32003003219,1
32003005853,1
32031002103,1
32021970700,1
32003005103,1
32003005848,1
32003001716,1
32003000108,1
32003002996,1
32003003628,1
32003002949,1
32003003421,1
32003002835,1
