,State_County_Tract_FIPS_Code
32003003246,196
32003001005,133
32003000203,104
32003004000,91
32003005826,70
32003002406,68
32003005322,62
32003000105,61
32031003000,61
32003003627,60
32003003006,58
32003001709,58
32003003318,57
32003002985,56
32003003640,53
32003002980,49
32003001401,45
32003003419,45
32003000517,38
32003005105,36
32003002936,36
32003002905,34
32003001902,34
32003003213,32
32003000519,32
32003003310,32
32003005712,29
32005001900,27
32031000101,27
32031003503,26
32003001711,24
32003003620,24
32023960402,23
32023960401,23
32003000521,23
32003003629,22
32003000520,22
32003002976,20
32031001012,20
32031980000,19
32003001706,19
32510000400,19
32003002946,19
32031002211,19
32003002975,19
32003002811,19
32003005108,18
32003004500,18
32003002000,18
32003000514,17
32003006001,17
32003003204,17
32031002208,16
32003005702,16
32003003236,13
32003005854,13
32003003800,12
32003000204,11
32003003641,11
32003003633,11
32003003415,11
32510000200,10
32003002821,9
32003005711,9
32003004921,9
32003002824,8
32031000202,8
32031003513,8
32031001008,8
32003005349,7
32003005813,7
32031002105,7
32003005904,7
32003003215,7
32003005502,7
32003005101,7
32003005312,6
32003002501,6
32003005014,6
32003002838,6
32003003610,6
32019960101,6
32007950701,6
32003000302,6
32003002505,5
32003003408,5
32003005811,5
32031002618,5
32003002916,5
32003005808,5
32003001004,5
32031002204,5
32003006900,5
32003002834,5
32031000300,4
32003000525,4
32003003634,4
32003004709,4
32031002703,4
32003000101,4
32003001717,4
32003003409,4
32019960900,4
32003003411,4
32003002203,4
32003002939,4
32510000501,4
32003004716,4
32003002915,4
32003003413,4
32031003105,4
32003001402,4
32003000108,4
32005001400,3
32003002504,3
32003003218,3
32510000300,3
32005001500,3
32031001902,3
32003007600,3
32001950302,3
32019960800,3
32003002982,3
32003005103,3
32003001612,3
32003001611,3
32003003303,3
32003002935,3
32003001006,3
32031002407,3
32003002823,3
32003003232,2
32031001202,2
32003000528,2
32003003410,2
32007950800,2
32003005351,2
32003002937,2
32003005315,2
32003001714,2
32003003222,2
32003000522,2
32031002205,2
32003002950,2
32003005102,2
32003005848,2
32003002962,2
32003001003,2
32003004912,2
32003004924,2
32031001005,2
32003001901,2
32031002801,2
32003005827,2
32003000515,2
32003003607,2
32003005809,2
32003001609,2
32023960404,2
32003003261,2
32003003421,2
32031002706,2
32003001803,2
32003002956,1
32003002506,1
32003002952,1
32003001713,1
32003001200,1
32003001715,1
32003002204,1
32003006202,1
32003002942,1
32031001015,1
32031001400,1
32007950900,1
32003000103,1
32031980300,1
32003002951,1
32003002848,1
32003002949,1
32003002974,1
32003005318,1
32003006800,1
32003006104,1
32003002814,1
32021970700,1
32003002979,1
32003002837,1
32031002802,1
32003005348,1
32005002400,1
32003000800,1
32003003616,1
32003003609,1
32003003624,1
32003003628,1
32003004301,1
32003003231,1
32003004302,1
32003001707,1
32003002207,1
32031002409,1
32013010600,1
32003005851,1
32003005853,1
32031001701,1
32003000524,1
32003003631,1
32031003508,1
32003002841,1
32003001716,1
32015000300,1
32003002835,1
32003002829,1
32003003240,1
32003005319,1
32003003418,1
32003005352,1
32003001300,1
32031001010,1
32007951300,1
32003002707,1
32003003414,1
32003003235,1
