,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
16,1400000US32510000100,"Census Tract 1, Carson City, Nevada",0,0,29,0,0,36,0,0,9,29,28,0,171,0,0,0,0,0,19,6,0,85,35,11,15,140,0,9,0,0,0,24,14,0,31,30,11,21,38,105.25,212.75,86,442,663702
559,1400000US32510001001,"Census Tract 10.01, Carson City, Nevada",45,0,7,65,69,77,5,11,57,7,0,28,425,91,47,12,50,79,29,3,65,29,0,0,20,373,55,30,13,15,56,16,3,38,105,0,22,20,532,358.55,188.45,90,1169,
560,1400000US32510001002,"Census Tract 10.02, Carson City, Nevada",6,14,0,36,63,0,0,0,18,0,130,16,254,0,15,0,23,32,29,0,0,51,76,21,7,188,12,12,0,0,0,0,0,0,39,45,21,59,165.5,81.9,223.6,254,725,
17,1400000US32510000200,"Census Tract 2, Carson City, Nevada",22,0,0,53,32,0,0,0,17,20,0,15,327,66,0,8,0,50,0,0,0,29,62,31,81,215,1,0,0,0,29,10,0,0,22,110,22,21,205.5,68.9,256.6,170,701,
14,1400000US32510000300,"Census Tract 3, Carson City, Nevada",3,1,0,0,0,15,0,0,9,69,0,52,192,25,3,9,0,4,0,0,0,3,89,14,45,228,15,3,0,0,2,0,0,0,17,33,34,124,62,19.45,218.55,269,569,
15,1400000US32510000400,"Census Tract 4, Carson City, Nevada",48,0,0,16,0,112,0,11,62,9,0,17,291,26,46,0,56,59,14,0,18,24,0,28,20,361,56,53,9,96,11,14,0,0,39,0,22,61,441,210.25,127.75,148,927,
555,1400000US32510000501,"Census Tract 5.01, Carson City, Nevada",0,0,20,0,46,28,0,14,62,0,0,22,547,103,0,0,51,66,24,0,44,130,65,64,0,496,86,86,0,63,80,22,0,0,0,50,68,41,505,237.6,297.4,195,1235,
556,1400000US32510000502,"Census Tract 5.02, Carson City, Nevada",90,0,0,17,11,31,0,0,0,25,7,29,188,29,0,5,24,15,47,5,0,44,19,0,0,168,0,0,0,22,0,11,3,0,114,8,0,10,200,117.9,202.1,46,566,
19,1400000US32510000600,"Census Tract 6, Carson City, Nevada",117,36,21,15,0,179,119,48,49,81,22,70,345,104,0,41,0,37,0,0,23,42,46,0,52,761,121,18,13,26,0,306,0,0,186,44,47,0,530.5,707.35,434.15,191,1863,
557,1400000US32510000701,"Census Tract 7.01, Carson City, Nevada",23,42,0,0,0,36,0,0,67,49,33,0,263,0,62,35,0,11,42,11,6,44,45,7,0,223,28,6,17,0,0,27,24,5,57,35,24,0,218.5,164.9,288.6,64,736,
