idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 CHASE ST,KINGSTON,NH,03848-3005",1.0,0.0,0.0,42.942834399999995,-71.05145941,1,0
1,"1 PARK AVE STE 2-2,HAMPTON,NH,03842-2157",0.0,0.0,0.5,42.93508312,-70.83823679,1,0
2,"1 TREMONT ST,CLAREMONT,NH,03743-2654",2.0,0.0,0.0,43.37277771,-72.33775452,1,0
3,"10 GREEN ST,FARMINGTON,NH,03835-3718",1.0,0.0,0.0,43.38737399,-71.06331174,1,0
4,"100 ROBIE RD,ALEXANDRIA,NH,03222-6063",1.0,0.0,0.0,43.64652599,-71.82594734,1,0
5,"11 HAMPTON RD,EXETER,NH,03833-4807",1.0,0.0,0.0,42.97622614,-70.9123418,1,0
6,"113 RAILROAD ST,KEENE,NH,03431-3747",1.0,0.0,0.0,42.93233133,-72.27421769,1,0
7,"16 FOUNDRY ST STE 101,CONCORD,NH,03301-5431",0.0,0.5,0.0,43.2349859,-71.5403955,1,0
8,"166 PLAISTOW RD,PLAISTOW,NH,03865-2843",2.0,1.0,1.0,42.85044103,-71.1038245,1,0
9,"169 KINSLEY ST,NASHUA,NH,03060-3636",2.0,0.0,0.0,42.75014352,-71.48080127,1,0
10,"182 ROCKINGHAM RD UNIT 13,LONDONDERRY,NH,03053-2155",1.0,0.0,0.0,42.91766623,-71.38179771,1,0
11,"182 ROCKINGHAM RD,LONDONDERRY,NH,03053-2165",1.0,0.0,0.0,42.91766623,-71.38179771,1,0
12,"188 MAIN ST,NEW LONDON,NH,03257-7833",0.3333333333333333,0.0,0.0,43.41662585,-71.98844217,1,0
13,"194 PLEASANT ST STE 6,CONCORD,NH,03301-2952",1.0,0.0,0.0,43.19879974,-71.55199275,1,0
14,"2 RIDGE ST,DOVER,NH,03820-2516",1.0,0.0,0.0,43.21584493,-70.87816102,1,0
15,"20 COTTON RD STE 202,NASHUA,NH,03063-1262",1.0,0.0,2.0,42.78403267,-71.50859579,1,0
16,"20 COTTON RD,NASHUA,NH,03063-1262",0.0,0.0,1.0,42.78403267,-71.50859579,1,0
17,"22 BUNKER HILL ST,LANCASTER,NH,03584-3009",2.0,0.0,0.0,44.48975351,-71.56887193,1,0
18,"230 LAFAYETTE RD STE 8,PORTSMOUTH,NH,03801-5429",0.5,0.0,0.0,43.06193109,-70.76858653,1,0
19,"24 CORPORATE DR,BELMONT,NH,03220-3103",1.0,0.0,0.0,43.50024067,-71.46406688,1,0
20,"246 BROAD ST,CLAREMONT,NH,03743-2665",0.3333333333333333,0.0,0.0,43.36607893,-72.33607380000002,1,0
21,"25 MOUNT EUSTIS RD,LITTLETON,NH,03561-3712",1.0,0.0,0.0,44.30024593,-71.76975546,1,0
22,"25 S MOUNTAIN RD,LINCOLN,NH,03251-4268",0.5,0.0,0.0,44.04210013,-71.66911007,1,0
23,"27 WASHINGTON ST,CONWAY,NH,03818-6044",1.0,0.0,0.0,43.979733,-71.11847432,1,0
24,"280 MAIN ST STE 311,NASHUA,NH,03060-2920",1.0,0.0,0.0,42.75447485,-71.46236049,1,0
25,"29 ELLIOTT ST,LACONIA,NH,03246-3130",0.0,0.0,1.0,43.52889836,-71.46577776,1,0
26,"29 RIVERSIDE ST UNIT D,NASHUA,NH,03062-1396",0.0,0.0,1.0,42.75206884,-71.49420713,1,0
27,"298 WHITE MOUNTAIN HWY,CONWAY,NH,03818-4204",0.5,0.0,0.0,43.9787684,-71.12594706,1,0
28,"299 MAIN ST,NEW LONDON,NH,03257-7811",0.5,0.5,0.0,43.41460356,-71.9853565,1,0
29,"3 SUMMER ST,HANOVER,NH,03755-2121",0.3333333333333333,0.0,0.0,43.69948322,-72.28264347,1,0
30,"305 MAIN ST,NASHUA,NH,03060-4601",0.0,0.0,1.0,42.75266258,-71.46162153,1,0
31,"31 OLD ETNA RD STE N1,LEBANON,NH,03766-1933",1.0,0.0,0.0,43.65822234,-72.24753739,1,0
32,"311 ROUTE 108,SOMERSWORTH,NH,03878-1522",1.0,0.0,0.0,43.25768001,-70.90198338,1,0
33,"311 WEST RIVER RD STE 2,HOOKSETT,NH,03106-2635",1.0,0.0,0.0,43.07537669,-71.46992801,1,0
34,"321 LAFAYETTE RD UNIT B,HAMPTON,NH,03842-2158",1.0,0.0,0.0,42.93750715,-70.83832649,1,0
35,"345 VILLAGE ST,PENACOOK,NH,03303-4516",1.0,0.0,0.0,43.28132887,-71.60099727,1,0
36,"40 WINTER ST STE 201,ROCHESTER,NH,03867-3139",3.0,0.0,0.0,43.303332399999995,-70.97049886,1,0
37,"448 WHITE MOUNTAIN HWY APT B,TAMWORTH,NH,03886-4626",1.0,0.0,0.0,43.86610097,-71.2134636,1,0
38,"49 DERRY ST,HUDSON,NH,03051-4027",0.0,0.0,1.0,42.7708401,-71.44242378,1,0
39,"5 HAMPTON RD,EXETER,NH,03833-4807",2.0,1.0,0.0,42.97722554,-70.91559035,1,0
40,"5 MAIN ST,NASHUA,NH,03064-2716",1.0,0.0,0.0,42.76528485,-71.46753726,1,0
41,"50 DERRY ST STE 2A,HUDSON,NH,03051-4034",1.0,0.0,0.0,42.77068386,-71.44240016,1,0
42,"50 MANCHESTER ST,PITTSFIELD,NH,03263-3401",1.0,0.0,0.0,43.30339887,-71.31794681,1,0
43,"50 S MAIN ST,MANCHESTER,NH,03102-4405",0.5,0.0,0.0,42.982731099999995,-71.47426852,1,0
44,"51 WASHINGTON ST,CONWAY,NH,03818-6044",0.5,0.0,0.0,43.98128381,-71.118286,1,0
