,State_County_Tract_FIPS_Code
33015107400,44
33011002903,35
33005971000,30
33013032600,28
33011010200,28
33017081300,23
33015003400,21
33011010900,19
33013032500,18
33003955300,17
33009961700,17
33011002600,16
33009961800,16
33011015200,16
33015106400,15
33015003801,15
33011000901,14
33013044100,14
33009961601,14
33011200400,14
33015100301,14
33011002300,13
33011014300,12
33001966402,12
33011012300,12
33017083002,11
33015100200,11
33011200200,11
33011011402,11
33015003701,11
33005971401,11
33015106101,10
33011023000,10
33017081500,9
33011010800,9
33019975902,9
33013032100,9
33011010600,9
33011000600,8
33011011300,8
33011016202,8
33009960100,8
33011000204,8
33011010700,7
33001965300,7
33017081600,7
33011001100,7
33013044200,7
33001966100,7
33015069200,7
33015055002,6
33015067000,6
33015066000,6
33011010100,6
33015065001,6
33015104102,6
33017084400,6
33015059000,6
33013032900,6
33011002901,6
33015101100,6
33013003200,6
33011002500,6
33009961000,6
33011011200,5
33013038000,5
33003956100,5
33015107200,5
33017084300,5
33013031001,4
33017084500,4
33015100400,4
33015061001,4
33015107500,4
33007950600,4
33011025000,4
33007950900,4
33017081200,4
33013041000,4
33013032300,4
33011002702,4
33015063002,4
33007951100,4
33005970500,4
33011011102,3
33005971300,3
33011002100,3
33015003601,3
33017085000,3
33011010400,3
33001965800,3
33015069100,3
33005970200,3
33011016100,3
33011017100,3
33007950800,3
33017080100,3
33011020000,3
33011011000,2
33015057000,2
33011001800,2
33015055001,2
33005971500,2
33011001700,2
33009960400,2
33019975700,2
33001965598,2
33011012200,2
33013039000,2
33007950200,2
33015103100,2
33011014100,2
33011025500,2
33015067502,2
33015058000,2
33015067501,2
33011010500,2
33013003006,2
33015003703,2
33011011500,2
33015004000,2
33015107100,2
33019975400,2
33011001000,2
33011000101,2
33011018502,1
33013043001,1
33015050000,1
33015003302,1
33013044000,1
33019975800,1
33005970900,1
33011980101,1
33015056000,1
33013032800,1
33003956300,1
33005970600,1
33013040000,1
33011000203,1
33001966500,1
33009961500,1
33005970400,1
33013034000,1
33005971100,1
33009961400,1
33003956400,1
33011021500,1
33011013100,1
33015071000,1
33003955600,1
33011002800,1
33001965100,1
33013032400,1
33011014202,1
33007950400,1
33011021000,1
33011000700,1
33013040500,1
33015104101,1
33011001900,1
33009960300,1
33009960500,1
33017084200,1
33015069300,1
33001966200,1
33009960200,1
33011001600,1
33011019000,1
33009961602,1
33011002000,1
33013033000,1
33015003602,1
33013035000,1
