,State_County_Tract_FIPS_Code
33015101100,4
33011010200,4
33017081500,4
33015106400,4
33017084300,3
33019975902,3
33013041000,3
33011012200,3
33011002500,3
33015003400,2
33007950500,2
33003955600,2
33015065001,2
33011010900,2
33001965598,2
33015105100,2
33003955300,2
33015003703,2
33013032600,1
33001965800,1
33013003001,1
33013032200,1
33001965900,1
33009961602,1
33011022500,1
33011010600,1
33011002000,1
33011011500,1
33013032701,1
33013032500,1
33011002300,1
33009961200,1
33017083002,1
33011010700,1
33017087000,1
33001966500,1
33011010800,1
33011200400,1
33011014100,1
33009960100,1
33009960400,1
33009961700,1
33005971100,1
33005971402,1
33011010500,1
33013035000,1
33015069700,1
