,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
177,1400000US33001965100,"Census Tract 9651, Belknap County, New Hampshire",0,6,0,0,0,7,4,11,82,26,7,28,136,5,0,0,10,0,0,4,16,19,39,30,13,218,33,10,0,0,0,0,0,0,48,69,15,43,106,189.2,93.8,136,525,257889
179,1400000US33001965200,"Census Tract 9652, Belknap County, New Hampshire",197,44,0,0,13,0,0,0,18,0,0,26,150,40,35,0,0,5,0,16,0,38,0,0,16,188,0,0,0,10,13,0,0,0,30,0,38,97,373,86,0,177,636,
174,1400000US33001965300,"Census Tract 9653, Belknap County, New Hampshire",0,0,0,0,0,0,22,0,36,61,0,139,185,0,0,0,0,7,0,32,0,40,80,10,16,169,6,20,0,0,0,0,0,0,70,28,21,24,87,196.7,118.3,210,612,
171,1400000US33001965400,"Census Tract 9654, Belknap County, New Hampshire",0,0,0,6,0,0,0,0,49,30,0,60,223,0,0,0,10,0,0,0,11,36,101,14,51,158,6,0,0,0,0,0,0,0,33,49,5,65,33,172,126,195,526,
180,1400000US33001965598,"Census Tract 9655.98, Belknap County, New Hampshire",16,0,0,17,14,0,0,46,74,0,0,35,170,0,0,0,17,23,0,34,0,46,0,22,28,185,0,0,0,0,16,0,18,0,54,82,0,15,201,198.6,57.4,100,557,
178,1400000US33001965600,"Census Tract 9656, Belknap County, New Hampshire",33,0,0,0,0,0,0,0,0,117,48,31,354,14,0,0,36,0,0,0,0,146,15,56,87,159,0,0,0,0,0,0,0,0,26,71,11,51,83,232.9,142.1,284,742,
176,1400000US33001965700,"Census Tract 9657, Belknap County, New Hampshire",0,0,0,0,0,16,0,0,36,48,92,39,275,11,0,0,0,0,50,0,0,45,48,74,47,469,27,0,0,104,0,16,0,0,157,73,20,72,224,288.7,118.3,344,975,
181,1400000US33001965800,"Census Tract 9658, Belknap County, New Hampshire",63,0,0,0,0,0,0,0,101,63,0,12,560,0,38,0,0,0,115,31,0,50,191,120,15,641,0,20,0,0,0,104,31,0,74,32,222,158,402,310.8,200.2,527,1440,
172,1400000US33001965900,"Census Tract 9659, Belknap County, New Hampshire",39,18,45,0,53,0,0,0,62,12,21,20,191,0,35,62,19,43,0,0,0,0,0,14,18,242,0,19,43,20,36,52,0,0,20,21,31,0,484,91.9,23.1,104,703,
173,1400000US33001966000,"Census Tract 9660, Belknap County, New Hampshire",38,84,0,0,0,53,0,0,52,0,20,52,329,0,60,105,0,0,19,0,0,73,17,55,0,282,0,0,54,65,20,18,0,0,37,17,0,71,516,172.2,23.8,198,910,
