idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 CHOCTAW WAY,TALIHINA,OK,74571-2022",1.0,0.0,1.0,34.76612219,-95.0926791,1,1
1,"100 NW 9TH ST,CHECOTAH,OK,74426-3018",3.0,0.0,0.0,35.47361758,-95.53389778,1,1
2,"100 S BLISS AVE,TAHLEQUAH,OK,74464-2512",9.25,0.0,1.0,35.91243813,-94.94973105,1,1
3,"100 STARLITE DR,KINGFISHER,OK,73750-4944",2.0,0.0,0.0,35.8276935,-97.935015,1,1
4,"100 W 15TH ST,EDMOND,OK,73013-3603",2.0,0.0,0.0,35.63825849,-97.48587354,1,1
5,"1000 N LINCOLN BLVD STE 200,OKLAHOMA CITY,OK,73104-3252",1.0,0.0,0.0,35.47653708,-97.50246871,1,1
6,"1000 N LINCOLN BLVD STE 2000,OKLAHOMA CITY,OK,73104-3252",1.0,0.0,1.5,35.47653708,-97.50246871,1,1
7,"1000 W CHOCTAW AVE STE 10,CHICKASHA,OK,73018-2256",1.0,0.0,0.0,35.05241147,-97.945902,1,1
8,"10004 S MEMORIAL DR,TULSA,OK,74133-6103",3.0,0.0,0.0,36.019377,-95.88664795,1,1
9,"1001 E STATE HIGHWAY 152 STE 113,MUSTANG,OK,73064-5131",1.0,0.0,0.0,35.39167651,-97.70402152,1,1
10,"1001 S 41ST ST E,MUSKOGEE,OK,74403-6253",6.0,0.0,0.0,35.73168300000001,-95.31029387,1,1
11,"1001 W I 240 SERVICE RD,OKLAHOMA CITY,OK,73139-2102",1.0,0.0,0.0,35.39173746,-97.53219444,1,1
12,"10032 S SHERIDAN RD STE F,TULSA,OK,74133-6293",1.0,0.0,0.0,36.01811674,-95.90427499,1,1
13,"1009 24TH AVE NW,NORMAN,OK,73069-6365",1.0,0.0,0.0,35.23064352,-97.48035782,1,1
14,"1009 PARKWOODS DR,NOBLE,OK,73068-9391",2.0,0.0,0.0,35.14940814,-97.39878797,1,1
15,"101 N DOUGLAS BLVD STE T,MIDWEST CITY,OK,73130-3328",1.0,0.0,0.0,35.46506695,-97.37089721,1,1
16,"101 S ADAIR ST,PRYOR,OK,74361-3625",2.0,0.0,0.0,36.305865600000004,-95.31772947,1,1
17,"101 S MOORE AVE,CLAREMORE,OK,74017-5047",3.0,0.0,0.0,36.31642233,-95.62827808,1,1
18,"101 S SAINTS BLVD STE 212,EDMOND,OK,73034-3083",2.0,1.0,0.0,35.65340047,-97.41744673,1,1
19,"1011 N MAIN ST,ELK CITY,OK,73644-2830",2.0,0.0,0.0,35.42008533,-99.40486373,1,1
20,"1015 E 6TH ST,OKMULGEE,OK,74447-4705",1.0,0.0,0.0,35.62344552,-95.95949399,1,1
21,"1019 N COUNCIL AVE STE 2,BLANCHARD,OK,73010-8046",1.0,0.0,0.0,35.14686255,-97.65336245,1,1
22,"102 S CHERRY ST,SKIATOOK,OK,74070-1321",2.0,0.0,0.0,36.36854638,-96.00845741,1,1
23,"102 SW 7TH ST,LINDSAY,OK,73052-5212",2.0,0.0,0.0,34.83692079,-97.61085792,1,1
24,"1020 24TH AVE NW STE 101,NORMAN,OK,73069-6341",1.0,0.0,0.0,35.231157,-97.48043411,1,1
25,"1020 N LAWSON BLVD,CLAYTON,OK,74536",1.0,0.0,0.0,34.59826537,-95.34332794,1,1
26,"1022 W MAIN ST,DUNCAN,OK,73533-4536",1.0,0.0,0.0,34.50209861,-97.96073349999999,1,1
27,"1024 SW 104TH ST,OKLAHOMA CITY,OK,73139-2990",8.0,0.0,0.0,35.36326653,-97.53380099,1,1
28,"1025 E VANDAMENT AVE STE 300,YUKON,OK,73099-4910",1.0,0.0,0.0,35.4934195,-97.73064963,1,1
29,"1025 STRAKA TER,OKLAHOMA CITY,OK,73139-2544",8.0,0.0,0.0,35.38737312,-97.53360258,1,1
30,"103 S BROADWAY ST,CLEVELAND,OK,74020-4614",1.0,0.0,0.0,36.308655,-96.46398742,1,1
31,"103 SW 1ST ST,CHECOTAH,OK,74426-3801",1.0,0.0,0.0,35.47012882,-95.52419503,1,1
32,"10321 N 2274 RD,CLINTON,OK,73601-7521",0.3333333333333333,0.0,0.0,35.51698699,-98.93353382,1,1
33,"10342 E 21ST ST,TULSA,OK,74129-1606",1.0,0.0,0.0,36.13333325,-95.86169061,1,1
34,"104 E MCELROY RD,STILLWATER,OK,74075-3803",1.0,0.0,0.0,36.13056052,-97.05813185,1,1
35,"104 W RAY FINE BLVD UNIT 5,ROLAND,OK,74954-5299",2.0,0.0,0.0,35.40500447,-94.51585269,1,1
36,"1041 E STATE HIGHWAY 152,MUSTANG,OK,73064-5117",2.5,0.0,0.0,35.39167748,-97.7024835,1,1
37,"1044 E LINCOLN AVE,SAPULPA,OK,74066-4505",1.0,0.0,0.0,35.99570252,-96.09920099,1,1
38,"1044 SW 44TH ST STE 510,OKLAHOMA CITY,OK,73109-3609",1.3333333333333333,0.0,0.0,35.42072249,-97.53412338,1,1
