,State_County_Tract_FIPS_Code
40143007611,32
40143007634,28
40109106402,27
40143007524,26
40109108303,24
40109108511,23
40109108106,23
40027201509,22
40143005806,19
40143005200,19
40109101400,19
40109108506,18
40031002301,18
40109106601,18
40119011000,15
40109107207,15
40027201609,14
40109108504,14
40017300801,13
40143007415,13
40109108706,13
40143005002,12
40109108220,10
40109107706,10
40027201508,10
40027202105,10
40019892600,9
40009966200,9
40109108530,9
40109108519,9
40109100100,9
40047001601,9
40143004200,9
40121486000,8
40027200800,8
40109106708,8
40119010900,7
40109105100,7
40109108201,7
40109108512,7
40137000800,7
40147001200,7
40041375700,7
40143005100,6
40109101500,6
40143007518,6
40143007801,6
40109106912,5
40027201510,5
40109108110,5
40143006905,5
40143006903,5
40153953200,5
40109107101,5
40143006707,5
40027201507,5
40143009500,5
40109106503,4
40109108703,4
40143007702,4
40027200900,4
40109106302,4
40109102200,4
40109106403,4
40101001300,4
40101001200,4
40065968500,4
40143003500,4
40123089000,4
40071000600,4
40143005402,4
40037020601,4
40143003900,4
40013796200,4
40143002301,3
40109101700,3
40143005807,3
40145030509,3
40109108520,3
40109108601,3
40139950700,3
40143000100,3
40109107703,3
40041376000,3
40039960600,3
40131050201,3
40019893000,3
40131050304,3
40051000800,3
40109108107,3
40109106401,3
40049681300,3
40109108113,3
40083600300,3
40109108315,3
40109108317,3
40091780100,3
40109108213,3
40123088900,3
40109102700,3
40047001500,3
40113940009,3
40109106704,3
40051001000,3
40079040402,3
40143007503,3
40087400202,3
40109105000,3
40125501004,3
40143007523,3
40087400101,3
40145030800,3
40027201505,3
40125501102,2
40065968400,2
40039950800,2
40101000900,2
40143007639,2
40031001000,2
40147000500,2
40103956900,2
40021978300,2
40047000700,2
40143007407,2
40109108215,2
40143006705,2
40131050603,2
40143007638,2
40143002500,2
40013796100,2
40109102900,2
40151954200,2
40021977900,2
40109103800,2
40027202404,2
40111000200,2
40031000403,2
40143007506,2
40109103601,2
40091779700,2
40109107810,2
40109106604,2
40097040100,2
40143007624,2
40013796300,2
40009966800,2
40143007637,2
40139950600,2
40143004000,2
40051000600,2
40031002200,2
40017301410,2
40109108529,2
40017300802,2
40109106804,2
40109106608,2
40089098400,2
40109108507,2
40017301408,2
40125501001,2
40109109201,2
40109107405,2
40109103000,2
40051000500,2
40027201802,2
40089098500,2
40143003100,2
40101001400,2
40147000700,2
40099790800,1
40027201405,1
40109105202,1
40021977700,1
40041375801,1
40131050101,1
40131050103,1
40027201607,1
40129960000,1
40143007620,1
40027201612,1
40019892500,1
40109107219,1
40095094801,1
40027201403,1
40027202205,1
40109107807,1
40027202201,1
40133583400,1
40109107222,1
40047001401,1
40119011302,1
40143005500,1
40073958100,1
40109107206,1
40079040299,1
40131050202,1
40027202206,1
40109101000,1
40143007616,1
40089098800,1
40109107103,1
40101001500,1
40149965100,1
40123089200,1
40011958900,1
40011958600,1
40081961700,1
40077087100,1
40035373200,1
40143007633,1
40109107500,1
40109105300,1
40071000201,1
40137001100,1
40143001500,1
40015161800,1
40027202007,1
40143005808,1
40027202008,1
40121485800,1
40095094700,1
40109103200,1
40147000600,1
40081961500,1
40079040601,1
40027201610,1
40109106000,1
40143007619,1
40143007617,1
40131050203,1
40125500900,1
40017300201,1
40101000802,1
40075963700,1
40109108527,1
40051000903,1
40143003200,1
40109100300,1
40033871100,1
40017301100,1
40143009008,1
40143009007,1
40111000800,1
40017300202,1
40115574400,1
40069660300,1
40143006902,1
40093955200,1
40055967200,1
40087400102,1
40109108314,1
40109108313,1
40109108316,1
40109108528,1
40069660200,1
40109106501,1
40113940001,1
40145030602,1
40135030201,1
40109106610,1
40109106602,1
40119010800,1
40047001100,1
40083600800,1
40109102500,1
40031002001,1
40031002005,1
40017301007,1
40109102600,1
40143007101,1
40135030101,1
40109106705,1
40119011102,1
40037021000,1
40113940004,1
40109102400,1
40147000400,1
40109108302,1
40131050801,1
40109108114,1
40021978000,1
40141070100,1
40109108109,1
40109108101,1
40047000600,1
40151954300,1
40027201000,1
40143008600,1
40143000400,1
40143004500,1
40109107001,1
40109101900,1
40139950900,1
40109108008,1
40109108007,1
40109108005,1
40131050104,1
40027202301,1
40109105905,1
40109109004,1
40073958300,1
40143007412,1
40119010200,1
40111000600,1
40083600400,1
40071001100,1
40131050502,1
40109108219,1
40047001300,1
40109106903,1
40125500400,1
40109106910,1
40109108203,1
40143005401,1
40061279200,1
40105172400,1
40037020602,1
40005587900,1
40109106914,1
40109106100,1
40131050409,1
40017300600,1
40143007519,1
