,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
197,1400000US40001376600,"Census Tract 3766, Adair County, Oklahoma",35,52,7,6,15,34,2,33,15,14,11,0,183,20,30,9,17,3,30,2,18,32,2,17,3,163,40,27,16,4,6,5,4,4,36,0,11,10,287,140.3,90.7,52,570,939978
198,1400000US40001376700,"Census Tract 3767, Adair County, Oklahoma",96,66,68,0,16,14,3,10,96,29,23,0,457,76,96,42,17,49,11,7,10,54,67,0,28,490,64,41,127,72,39,16,0,0,79,35,5,12,869,93.9,337.1,68,1368,
199,1400000US40001376800,"Census Tract 3768, Adair County, Oklahoma",28,16,23,17,48,77,11,9,35,21,5,16,489,60,48,39,35,41,52,9,12,115,42,30,6,422,43,39,53,34,24,30,3,22,106,38,12,18,548,250.6,331.4,87,1217,
200,1400000US40001376900,"Census Tract 3769, Adair County, Oklahoma",82,119,60,36,20,29,32,3,51,38,2,0,366,107,63,16,48,13,10,0,14,57,24,14,0,459,132,29,64,53,19,17,0,1,59,80,5,0,861,122.7,292.3,21,1297,
201,1400000US40001377000,"Census Tract 3770, Adair County, Oklahoma",60,13,26,114,20,28,17,39,77,16,0,6,438,136,15,83,32,38,5,14,13,42,20,22,18,378,67,28,46,20,41,5,17,19,100,14,16,5,739,178.9,247.1,67,1232,
47,1400000US40003955600,"Census Tract 9556, Alfalfa County, Oklahoma",3,2,0,27,0,2,0,14,8,19,21,21,142,0,6,19,5,0,7,11,0,34,30,12,18,126,0,13,17,2,0,2,6,0,45,9,11,21,94,50.7,136.3,104,385,
562,1400000US40003955700,"Census Tract 9557, Alfalfa County, Oklahoma",14,0,0,0,18,0,0,0,52,10,9,7,88,0,0,3,8,0,0,0,0,50,14,0,13,113,0,0,7,0,0,7,0,0,29,40,0,30,50,20.1,181.9,59,311,
48,1400000US40003956000,"Census Tract 9560, Alfalfa County, Oklahoma",7,9,0,5,2,19,0,2,31,32,10,9,173,0,12,4,4,37,0,5,6,47,23,12,23,148,6,6,0,11,38,0,1,5,37,25,18,1,141,49.5,183.5,73,447,
202,1400000US40005587600,"Census Tract 5876, Atoka County, Oklahoma",5,5,0,12,16,0,6,6,15,14,0,0,115,8,5,6,7,10,13,0,5,20,37,4,0,126,8,15,9,0,24,8,0,0,26,23,11,2,130,44.1,128.9,17,320,
203,1400000US40005587700,"Census Tract 5877, Atoka County, Oklahoma",75,77,17,34,32,23,8,15,17,7,75,0,397,90,88,18,36,34,0,0,9,70,18,0,34,318,42,16,6,47,13,6,13,0,42,42,41,50,625,86.9,183.1,200,1095,
204,1400000US40005587800,"Census Tract 5878, Atoka County, Oklahoma",24,22,49,21,20,30,4,25,48,29,15,28,297,8,42,22,21,33,34,9,24,39,37,6,22,267,73,14,5,9,8,7,5,10,39,43,23,31,371,160.6,222.4,125,879,
205,1400000US40005587900,"Census Tract 5879, Atoka County, Oklahoma",0,6,22,5,19,44,7,14,32,39,9,20,305,8,11,27,42,12,0,4,19,99,43,10,30,302,12,18,24,45,18,5,0,16,43,40,38,43,269,126.4,278.6,150,824,
508,1400000US40007951600,"Census Tract 9516, Beaver County, Oklahoma",20,13,5,4,3,29,1,9,68,5,0,0,191,6,11,4,1,28,17,0,12,64,38,0,10,247,0,3,17,13,64,20,18,14,43,31,12,12,192,137.5,231.5,34,595,
125,1400000US40007951700,"Census Tract 9517, Beaver County, Oklahoma",0,0,0,0,3,0,5,2,9,6,23,0,110,15,19,0,0,11,0,0,4,4,7,37,13,115,7,18,7,0,10,0,6,9,7,5,20,26,90,28,36,119,273,
