IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 ABINGTON PLZ,JENKINTOWN,PA,19046-3912",0.3394230769230769,0.3671568627450981,0.1111111111111111,0.7416243347847121,0.0,0.0,0.6788461538461538,0.7343137254901962,0.2222222222222222,1.4832486695694242,40.08271018,-75.08352851,40.08271018,-75.08352851,1.0,0.0,0.0,1.0
"1 ELIZABETH ST STE 6,TOWANDA,PA,18848-1629",0.5,1.8333333333333333,0.0,0.0,0.0,0.0,1.0,3.6666666666666665,0.0,0.0,41.76340638,-76.44231011,41.76340638,-76.44231011,1.0,0.0,0.0,1.0
"1 HACC DR # 102,HARRISBURG,PA,17110-2903",0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,40.294126899999995,-76.88466851,40.294126899999995,-76.88466851,1.0,0.0,0.0,1.0
"1 HACC DR,HARRISBURG,PA,17110-2903",0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,40.294126899999995,-76.88466851,40.294126899999995,-76.88466851,1.0,0.0,0.0,1.0
"1 HOSPITAL DR,LEWISBURG,PA,17837-9350",0.2,0.25,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,40.98032407,-76.88615503,40.98032407,-76.88615503,1.0,0.0,0.0,1.0
"1 PRESIDENTIAL BLVD STE 207,BALA CYNWYD,PA,19004-1007",0.02325581395348837,0.12836270871985156,0.0,0.0,0.1533404376243251,0.4643036659108088,0.04651162790697674,0.2567254174397031,0.0,0.0,40.00994647,-75.21130711,40.00994647,-75.21130711,1.0,0.0,0.0,1.0
"1 PRESIDENTIAL BLVD,BALA CYNWYD,PA,19004-1017",0.02325581395348837,0.04124149659863945,0.0,0.0,0.1292391304347826,0.2130682079595123,0.04651162790697674,0.0824829931972789,0.0,0.0,40.00994647,-75.21130711,40.00994647,-75.21130711,1.0,0.0,0.0,1.0
"1 ROBINSON PLZ STE 160,PITTSBURGH,PA,15205-1023",0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.44875884,-80.16338493,40.44875884,-80.16338493,1.0,0.0,0.0,1.0
"1 S MAIN ST,MAHANOY CITY,PA,17948-2611",0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.81269563,-76.14164886,40.81269563,-76.14164886,1.0,0.0,0.0,1.0
"10 DUFF RD,PITTSBURGH,PA,15235-3260",0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,40.46407983,-79.82852722,40.46407983,-79.82852722,1.0,0.0,0.0,1.0
"10 LINNIPPI TRL,LOCK HAVEN,PA,17745-3115",0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,41.15006564,-77.35267409999999,41.15006564,-77.35267409999999,1.0,0.0,0.0,1.0
"10 S CLINTON ST STE 204,DOYLESTOWN,PA,18901-4220",0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.8333333333333333,0.0,0.0,0.0,0.3333333333333333,40.30852772,-75.1329141,40.30852772,-75.1329141,1.0,0.0,0.0,1.0
