IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 BELMONT AVE STE 316,BALA CYNWYD,PA,19004-1604",,0.0,,0.0,,1.0,,0.0,,0.0,,,40.00446199,-75.22103462,,,0.0,1.0
"1 BELMONT AVE STE 414,BALA CYNWYD,PA,19004-1607",,0.0625,,0.0,,0.0,,0.125,,0.0,,,40.00446199,-75.22103462,,,0.0,1.0
"1 BELMONT AVE STE 516,BALA CYNWYD,PA,19004-1608",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.00446199,-75.22103462,,,0.0,1.0
"1 BELMONT AVE,BALA CYNWYD,PA,19004-1617",,0.0,,0.0,,0.25,,0.0,,0.0,,,40.00446199,-75.22103462,,,0.0,1.0
"1 BRIDGE ST,BEAVER,PA,15009-2953",,0.9666666666666666,,0.0,,0.2,,1.9333333333333331,,0.0,,,40.70089829999999,-80.29246296,,,0.0,1.0
"1 CENTER ST,DOYLESTOWN,PA,18901-3930",,1.3668040293040291,,0.0,,0.0,,2.7336080586080582,,0.0,,,40.32620151,-75.12675555,,,0.0,1.0
"1 COLLEGE AVE,WILLIAMSPORT,PA,17701-5778",,0.5,,0.0,,0.0,,1.0,,0.0,,,41.23513866,-77.02276226,,,0.0,1.0
"1 COMMERCE BLVD,WEST GROVE,PA,19390-9198",,0.75,,0.0,,0.0,,1.5,,0.0,,,39.82434645,-75.87792526,,,0.0,1.0
"1 E LINCOLN HWY FL 538,COATESVILLE,PA,19320",,1.0,,0.0,,0.0,,2.0,,0.0,,,39.98318686,-75.82383022,,,0.0,1.0
"1 ELIZABETH ST,TOWANDA,PA,18848-1629",,0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,,41.76340638,-76.44231011,,,0.0,1.0
"1 FAIRHILL DR,NEW CASTLE,PA,16105-1174",,2.0,,0.0,,0.0,,4.0,,0.0,,,41.05018046,-80.35734305,,,0.0,1.0
"1 FORSYTHE RD STE 1,PRESTO,PA,15142-1170",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.37495621,-80.11538181,,,0.0,1.0
"1 HACC DR RM SM102,HARRISBURG,PA,17110-2903",,0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,,40.294126899999995,-76.88466851,,,0.0,1.0
"1 HACC DR,HARRISBURG,PA,17110",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.294126899999995,-76.88466851,,,0.0,1.0
"1 JASONS WAY,ANNVILLE,PA,17003-2037",,4.0,,0.0,,0.0,,8.0,,0.0,,,40.33382672,-76.49160678,,,0.0,1.0
"1 LONG LN FL 410,UPPER DARBY,PA,19082-2507",,0.0,,0.0,,0.5,,0.0,,0.0,,,39.96046306,-75.26271062,,,0.0,1.0
"1 MASONIC DR,ELIZABETHTOWN,PA,17022-2199",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.14622752,-76.61192498,,,0.0,1.0
"1 MEDICAL CENTER BLVD,CHESTER,PA,19013-3902",,0.0,,0.0,,0.8666666666666667,,0.0,,0.0,,,39.85612193,-75.36861828,,,0.0,1.0
"1 N FRONT ST FL 3029,STEELTON,PA,17113-2317",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.23468891,-76.84002790000002,,,0.0,1.0
"1 NORTHGATE SQ STE 100,GREENSBURG,PA,15601-1341",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.32569151,-79.54476399,,,0.0,1.0
"1 PARK LN,DOUGLASSVILLE,PA,19518-1499",,0.0,,0.0,,2.0,,0.0,,0.0,,,40.26473478,-75.73730712,,,0.0,1.0
"1 ROBINSON PLZ,PITTSBURGH,PA,15205-1021",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.44875884,-80.16338493,,,0.0,1.0
"1 S MAIN ST,WILKES BARRE,PA,18701-1724",,1.0,,0.0,,0.0,,2.0,,0.0,,,41.24547428,-75.88264747,,,0.0,1.0
"1 SPRING GARDEN ST FL 1825,PHILADELPHIA,PA,19123-3103",,0.25,,0.0,,0.0,,0.5,,0.0,,,39.9602381,-75.13739307,,,0.0,1.0
"1 TARLETON AVE,DALLAS,PA,18612-1248",,3.0,,0.0,,1.5,,6.0,,0.0,,,41.33368068,-75.95470134,,,0.0,1.0
"1 TWILIGHT HOLLOW RD,CHARLEROI,PA,15022",,0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,,40.11832636,-79.88795707,,,0.0,1.0
"1 VILLAGE ROW,NEW HOPE,PA,18938",,1.125,,0.0,,0.0,,2.25,,0.0,,,40.35740309,-74.97611273,,,0.0,1.0
"1 VILLAGE ROW,NEW HOPE,PA,18938-1061",,0.0,,0.0,,0.5,,0.0,,0.0,,,40.35740309,-74.97611273,,,0.0,1.0
"1 W ASHLAND AVE,GLENOLDEN,PA,19036-1348",,1.0,,0.0,,0.0,,2.0,,0.0,,,39.90162679,-75.28824242,,,0.0,1.0
"1 W WOODLAND AVE,SPRINGFIELD,PA,19064-2325",,0.5,,0.0,,0.0,,1.0,,0.0,,,39.92477235,-75.34002213,,,0.0,1.0
"1 WINDING DR STE 105,PHILADELPHIA,PA,19131-2907",,0.0,,0.0,,0.5833333333333333,,0.0,,0.0,,,40.00798153,-75.20660496,,,0.0,1.0
"10 DUFF RD STE 106,PITTSBURGH,PA,15235-3261",,0.0,,0.0,,0.4166666666666666,,0.0,,0.0,,,40.46407983,-79.82852722,,,0.0,1.0
"10 E SCHOOL HOUSE LN,PHILADELPHIA,PA,19144-2235",,1.125,,0.0,,0.0,,2.25,,0.0,,,40.03476437,-75.17222735,,,0.0,1.0
"10 HERRING ALY,KUTZTOWN,PA,19530-1630",,0.0,,0.0,,1.0,,0.0,,0.0,,,40.51604481,-75.77731735,,,0.0,1.0
"10 LIBERTY LN,LATROBE,PA,15650",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.29074798,-79.3939063,,,0.0,1.0
"10 MORGAN TER,WELLSBORO,PA,16901-1803",,1.0,,0.0,,0.0,,2.0,,0.0,,,41.74387392,-77.29900029,,,0.0,1.0
"10 OLD MILL BLVD,WASHINGTON,PA,15301-6738",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.18840733,-80.22085884,,,0.0,1.0
"10 PRESIDENTIAL BLVD STE 102,BALA CYNWYD,PA,19004-1107",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.01128472,-75.21211422,,,0.0,1.0
"10 RITTENHOUSE PL,DRUMS,PA,18222-7000",,0.8333333333333333,,0.0,,0.0,,1.6666666666666663,,0.0,,,41.01105177,-75.96559074,,,0.0,1.0
"10 S CLINTON ST,DOYLESTOWN,PA,18901-4220",,0.0,,0.125,,0.0,,0.0,,0.25,,,40.30852772,-75.1329141,,,0.0,1.0
"10 SHADY LN,JENKINTOWN,PA,19046-4289",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.08705274,-75.07667449,,,0.0,1.0
"10 SHERATON DR,ALTOONA,PA,16601-9316",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.45881632,-78.41055388,,,0.0,1.0
"10 W NORTHAMPTON ST,WILKES BARRE,PA,18701-1710",,1.0,,0.0,,0.0,,2.0,,0.0,,,41.24425844,-75.88502629,,,0.0,1.0
"100 ALEXANDER ST,MONONGAHELA,PA,15063-1002",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.17342582,-79.91410673,,,0.0,1.0
"100 CAMPBELL BLVD STE 102,EXTON,PA,19341-2545",,1.3333333333333333,,0.0,,0.0,,2.6666666666666665,,0.0,,,40.02222461,-75.64824783,,,0.0,1.0
"100 CHATHAM PARK DR STE 100,PITTSBURGH,PA,15220-2109",,0.14285714285714285,,0.0,,0.0,,0.2857142857142857,,0.0,,,40.40272468,-80.05803883,,,0.0,1.0
"100 CHATHAM PARK DR,PITTSBURGH,PA,15220-2109",,0.25396825396825395,,0.0,,0.0,,0.5079365079365079,,0.0,,,40.40272468,-80.05803883,,,0.0,1.0
"100 CHERRINGTON PKWY,MOON TOWNSHIP,PA,15108-4303",,0.0,,0.0,,0.5,,0.0,,0.0,,,40.49858201,-80.20324487,,,0.0,1.0
"100 DUTTON ST,RIDLEY PARK,PA,19078-2203",,0.5,,0.0,,0.3333333333333333,,1.0,,0.0,,,39.87881158,-75.32192777,,,0.0,1.0
"100 E LEHIGH AVE STE PM2,PHILADELPHIA,PA,19125-1012",,0.25,,0.75,,2.3166666666666664,,0.5,,1.5,,,39.99086662,-75.13088417,,,0.0,1.0
"100 E LEHIGH AVE,PHILADELPHIA,PA,19125",,0.0,,0.09090909090909093,,0.0,,0.0,,0.18181818181818185,,,39.99086662,-75.13088417,,,0.0,1.0
"100 E UNION ST,POTTSVILLE,PA,17901-3519",,0.12916666666666668,,0.0,,0.3864468864468864,,0.25833333333333336,,0.0,,,40.68352596,-76.19304251,,,0.0,1.0
"100 GRANT ST,SALISBURY,PA,15558",,0.2,,0.0,,0.0,,0.4,,0.0,,,39.75272879999999,-79.08156687,,,0.0,1.0
"100 HIGHLANDS DR STE 304,LITITZ,PA,17543-7692",,0.0,,1.5,,0.0,,0.0,,3.0,,,40.13678694,-76.30563555,,,0.0,1.0
"100 HIGHLANDS DR,LITITZ,PA,17543-7693",,0.0,,1.0,,0.0,,0.0,,2.0,,,40.13678694,-76.30563555,,,0.0,1.0
"100 HOUSTON SQ STE 1A,CANONSBURG,PA,15317-1469",,2.0,,0.0,,0.0,,4.0,,0.0,,,40.24481334,-80.19711828,,,0.0,1.0
"100 MARIS GROVE WAY,GLEN MILLS,PA,19342-1282",,0.5,,0.0,,0.0,,1.0,,0.0,,,39.87935053,-75.53079474,,,0.0,1.0
"100 MCKNIGHT PARK DR STE 102,PITTSBURGH,PA,15237-6519",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.53609024,-80.00852594,,,0.0,1.0
"100 MCKNIGHT PARK DR STE 106,PITTSBURGH,PA,15237-6519",,0.1111111111111111,,0.0,,0.0,,0.2222222222222222,,0.0,,,40.53609024,-80.00852594,,,0.0,1.0
"100 N 3RD ST FL 2,EASTON,PA,18042-1869",,2.033333333333333,,0.16666666666666666,,0.0,,4.066666666666666,,0.3333333333333333,,,40.69342746,-75.2093602,,,0.0,1.0
"100 N 3RD ST STE 200,EASTON,PA,18042-1833",,0.5,,0.0,,0.0,,1.0,,0.0,,,40.69342746,-75.2093602,,,0.0,1.0
"100 N 3RD ST,EASTON,PA,18042-1869",,0.95,,0.16666666666666666,,0.0,,1.9,,0.3333333333333333,,,40.69342746,-75.2093602,,,0.0,1.0
"100 N BUCKSTOWN RD STE 206,LANGHORNE,PA,19047-1875",,0.13942307692307693,,0.0,,0.0,,0.27884615384615385,,0.0,,,40.18719719,-74.87644725,,,0.0,1.0
"100 NORTHPOINTE CIR,SEVEN FIELDS,PA,16046-7851",,2.377020202020202,,0.0,,0.3333333333333333,,4.754040404040404,,0.0,,,40.68357479,-80.06551751,,,0.0,1.0
"100 PASSAVANT WAY,PITTSBURGH,PA,15238",,1.3785714285714286,,0.0,,0.6583333333333333,,2.7571428571428567,,0.0,,,40.54226452,-79.83779857,,,0.0,1.0
"100 PENNSYLVANIA AVE STE 5,IRWIN,PA,15642-3552",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.3380075,-79.71346391,,,0.0,1.0
"100 PORTER RD,POTTSTOWN,PA,19464-3240",,1.0,,0.0,,0.0,,2.0,,0.0,,,40.24201786,-75.61014485,,,0.0,1.0
"100 S BROAD ST,PHILADELPHIA,PA,19110-1023",,0.07692307692307693,,0.0,,0.2047619047619048,,0.15384615384615385,,0.0,,,39.95046233,-75.16406604,,,0.0,1.0
"100 STATE ST STE B102,ERIE,PA,16507-1462",,0.0,,0.0,,0.6666666666666666,,0.0,,0.0,,,42.13375981,-80.08815885,,,0.0,1.0
"100 STOOPS DR STE 260,MONONGAHELA,PA,15063-3553",,2.5,,0.0,,0.0,,5.0,,0.0,,,40.16249444,-79.92333368,,,0.0,1.0
