IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 ELIZABETH ST STE 6,BURLINGTN TWP,PA,18848-1629",1.5,,0.0,,0.0,,3.0,,0.0,,41.76340638,-76.44231011,,,1.0,0.0,,
"1 GUTHRIE SQ,SAYRE,PA,18840-1625",2.0,,0.0,,0.0,,4.0,,0.0,,41.98089748,-76.51876239,,,1.0,0.0,,
"1 MEDICAL CENTER BLVD,CHESTER,PA,19013",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,39.85608007,-75.36862995,,,1.0,0.0,,
"100 HOSPITAL AVE,DU BOIS,PA,15801-1440",0.0,,0.0,,0.3666666666666667,,0.0,,0.0,,41.11427059,-78.77555408,,,1.0,0.0,,
"100 N 3RD ST FL,EASTON,PA,18042-1869",3.033333333333333,,0.3333333333333333,,0.0,,6.066666666666666,,0.6666666666666666,,40.69342746,-75.2093602,,,1.0,0.0,,
"101 OLD YORK RD,JENKINTOWN,PA,19046",2.9014563652721552,,2.608485958485958,,0.3333333333333333,,5.8029127305443104,,5.216971916971916,,40.09297287,-75.12532471,,,1.0,0.0,,
"1019 GHANER RD STE 100,PORT MATILDA,PA,16870-7236",0.5,,1.5,,2.25,,1.0,,3.0,,40.81639953,-77.93939249,,,1.0,0.0,,
"1019 GHANER RD STE A,PORT MATILDA,PA,16870-7235",0.5,,0.5,,0.0,,1.0,,1.0,,40.81640154,-77.93916299,,,1.0,0.0,,
"1023 PITTSBURGH RD,UNIONTOWN,PA,15401-8407",0.027777777777777776,,0.0,,0.0,,0.05555555555555555,,0.0,,39.93132754,-79.72880304,,,1.0,0.0,,
"1032 PARK RD,BLANDON,PA,19510-9558",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.44079514,-75.88743961,,,1.0,0.0,,
"104 FRONT ST STE 1,MOUNT MORRIS,PA,15349-2342",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,39.73719802,-80.06493694,,,1.0,0.0,,
"1040 DEKALB PIKE STE 100,BLUE BELL,PA,19422-1812",0.0,,1.1428571428571428,,0.0,,0.0,,2.2857142857142856,,40.16383612,-75.29340919,,,1.0,0.0,,
"1040 POND ST,BRISTOL,PA,19007-5340",0.14285714285714285,,0.0,,0.0,,0.2857142857142857,,0.0,,40.10286074,-74.84827622,,,1.0,0.0,,
"106 MORAITIS BLVD,LEWISTOWN,PA,17044-2110",0.5,,0.0,,0.0,,1.0,,0.0,,40.597989,-77.57048149,,,1.0,0.0,,
"109 MAIN AVE,CLARKS GREEN,PA,18411-1522",1.0,,0.0,,0.0,,2.0,,0.0,,41.49497696,-75.70306933,,,1.0,0.0,,
"110 DANIEL DR STE 5,UNIONTOWN,PA,15401-8002",0.0,,0.0,,0.3333333333333333,,0.0,,0.0,,39.90314597,-79.7579763,,,1.0,0.0,,
"1100 MONTOUR RD,LOYSVILLE,PA,17047-9200",1.0,,0.0,,0.0,,2.0,,0.0,,40.36414945,-77.33940925,,,1.0,0.0,,
"111 ELWYN RD,MEDIA,PA,19063-4622",0.7,,0.0,,0.0,,1.4,,0.0,,39.9064214,-75.41429000000002,,,1.0,0.0,,
"111 PERRYMONT RD,PITTSBURGH,PA,15237-5246",0.5,,0.0,,0.0,,1.0,,0.0,,40.55810049,-80.02601193,,,1.0,0.0,,
"1110 ROCKLAND ST,READING,PA,19604-1525",1.25,,0.0,,0.0,,2.5,,0.0,,40.36517095,-75.91505535,,,1.0,0.0,,
"112 S HESS ST,QUARRYVILLE,PA,17566-1250",1.0,,0.0,,0.0,,2.0,,0.0,,39.89548304,-76.16043975,,,1.0,0.0,,
"1127 SHAKESPEARE AVE,MILTON,PA,17847-9558",1.0,,0.0,,0.0,,2.0,,0.0,,41.00184061,-76.84077562,,,1.0,0.0,,
"113 W MCMURRAY RD,CANONSBURG,PA,15317-2427",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.27374135,-80.12917294,,,1.0,0.0,,
"1144 HAMILTON ST,ALLENTOWN,PA,18101-1042",2.0,,0.0,,0.0,,4.0,,0.0,,40.59952916,-75.48145333,,,1.0,0.0,,
"1150 1ST AVE STE 805,KING OF PRUSSIA,PA,19406-1338",0.25,,0.0,,0.0,,0.5,,0.0,,40.09509944,-75.41409163,,,1.0,0.0,,
"1157 MCKINNEY LN,PITTSBURGH,PA,15220-3409",0.027777777777777776,,0.0,,0.0,,0.05555555555555555,,0.0,,40.42559084,-80.04109989,,,1.0,0.0,,
"11625 PENN HILLS DR,PENN HILLS,PA,15235-3329",0.3333333333333333,,0.0,,0.0,,0.6666666666666666,,0.0,,40.46433753,-79.827626,,,1.0,0.0,,
"118 FRALEY ST,KANE,PA,16735-1327",0.5666666666666667,,0.0,,0.0,,1.1333333333333333,,0.0,,41.65155179,-78.81239662,,,1.0,0.0,,
"119 MAIN ST,OLYPHANT,PA,18447-1291",1.3333333333333333,,0.0,,0.0,,2.6666666666666665,,0.0,,41.47192338,-75.60708663,,,1.0,0.0,,
