idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,hygienist_for_general,hygienist_for_pediatric
0,"  236 BRENTON CIRCLE,-,-,HARLEYSVILLE,PENNSYLVANIA,19438",1.0,0.0,0.0,91.0,40.26252488,40.26252488,2.0,0.0
1,"  3040 E COUNTY LINE ROAD,-,-,HATBORO,PENNSYLVANIA,19040",1.0,0.0,0.0,91.0,40.17985510000001,40.17985510000001,2.0,0.0
2,"  400 E SWAMP ROAD,-,-,DOYLESTOWN,PENNSYLVANIA,18901",1.0,0.0,0.0,17.0,40.31256782,40.31256782,2.0,0.0
3,"  ENDODONTICS ASSOCIATES, 1199 COLONIAL ROAD,-,HARRISBURG,PENNSYLVANIA,17112",0.0,0.0,1.0,43.0,40.37310269,40.37310269,0.0,0.0
4,"  P.O. BOX 76,3822 MAPLE STREET,-,HAWTHORN,PENNSYLVANIA,16230",0.0,0.0,1.0,31.0,41.01880299,41.01880299,0.0,0.0
5," # 1,1296 PENNSYLVANIA AVE,-,PROSPECT PARK,PENNSYLVANIA,19076",1.0,0.0,0.0,45.0,39.88590687,39.88590687,2.0,0.0
6," # 145,145 TOWNSHIP LINE RD,-,JENKINTOWN,PENNSYLVANIA,19046",0.0,0.0,1.0,91.0,40.10140531,40.10140531,0.0,0.0
7," # 2,902 JACKS CREEK RD,-,LEWISTOWN,PENNSYLVANIA,17044",1.0,0.0,0.0,87.0,40.57810223,40.57810223,2.0,0.0
8," 1 ALDWYN LANE,-,-,VILLANOVA,PENNSYLVANIA,19085",0.0,0.0,2.0,45.0,40.03418676,40.03418676,0.0,0.0
9," 1 BELMONT AVENUE,SUITE 316,-,BALA CYNWYD,PENNSYLVANIA,19004",0.0,0.0,1.0,91.0,40.00567789,40.00567789,0.0,0.0
10," 1 BROWN STREET,UNIT 1304,-,PHILADELPHIA,PENNSYLVANIA,19123",1.0,0.0,0.0,101.0,39.96245364,39.96245364,2.0,0.0
11," 1 CHESLEY DRIVE,-,-,MEDIA,PENNSYLVANIA,19063",0.0,0.0,2.0,45.0,39.91400718,39.91400718,0.0,0.0
12," 1 CHESTER ROAD,-,-,WALLINGFORD,PENNSYLVANIA,19086",1.0,0.0,0.0,45.0,39.89063273,39.89063273,2.0,0.0
13," 1 COTTON STREET #207,-,-,PHILADELPHIA,PENNSYLVANIA,19127",1.0,0.0,0.0,101.0,40.02474203,40.02474203,2.0,0.0
14," 1 CRESCENT DR,SUITE 300,-,PHILADELPHIA,PENNSYLVANIA,19112",2.0,0.0,0.0,101.0,39.88984399,39.88984399,4.0,0.0
