idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"1 ABINGTON PLZ,JENKINTOWN,PA,19046-3912",0.3671568627450981,0.7416243347847121,0.0,40.08271018,-75.08352851,0,1,0.7343137254901962,1.4832486695694242
1,"1 BELMONT AVE STE 316,BALA CYNWYD,PA,19004-1604",0.0,0.0,1.0,40.00446199,-75.22103462,0,1,0.0,0.0
2,"1 BELMONT AVE STE 414,BALA CYNWYD,PA,19004-1607",0.0625,0.0,0.0,40.00446199,-75.22103462,0,1,0.125,0.0
3,"1 BELMONT AVE STE 516,BALA CYNWYD,PA,19004-1608",1.0,0.0,0.0,40.00446199,-75.22103462,0,1,2.0,0.0
4,"1 BELMONT AVE,BALA CYNWYD,PA,19004-1617",0.0,0.0,0.25,40.00446199,-75.22103462,0,1,0.0,0.0
5,"1 BRIDGE ST,BEAVER,PA,15009-2953",0.9666666666666666,0.0,0.2,40.70089829999999,-80.29246296,0,1,1.933333333333333,0.0
6,"1 CENTER ST,DOYLESTOWN,PA,18901-3930",1.3668040293040291,0.0,0.0,40.32620151,-75.12675555,0,1,2.7336080586080582,0.0
7,"1 COLLEGE AVE,WILLIAMSPORT,PA,17701-5778",0.5,0.0,0.0,41.23513866,-77.02276226,0,1,1.0,0.0
8,"1 COMMERCE BLVD,WEST GROVE,PA,19390-9198",0.75,0.0,0.0,39.82434645,-75.87792526,0,1,1.5,0.0
9,"1 E LINCOLN HWY FL 538,COATESVILLE,PA,19320",1.0,0.0,0.0,39.98318686,-75.82383022,0,1,2.0,0.0
10,"1 ELIZABETH ST STE 6,TOWANDA,PA,18848-1629",1.8333333333333333,0.0,0.0,41.76340638,-76.44231011,0,1,3.6666666666666665,0.0
11,"1 ELIZABETH ST,TOWANDA,PA,18848-1629",0.8333333333333333,0.0,0.0,41.76340638,-76.44231011,0,1,1.6666666666666663,0.0
12,"1 FAIRHILL DR,NEW CASTLE,PA,16105-1174",2.0,0.0,0.0,41.05018046,-80.35734305,0,1,4.0,0.0
13,"1 FORSYTHE RD STE 1,PRESTO,PA,15142-1170",1.0,0.0,0.0,40.37495621,-80.11538181,0,1,2.0,0.0
14,"1 HACC DR # 102,HARRISBURG,PA,17110-2903",0.3333333333333333,0.0,0.0,40.2941269,-76.88466851,0,1,0.6666666666666666,0.0
15,"1 HACC DR RM SM102,HARRISBURG,PA,17110-2903",0.3333333333333333,0.0,0.0,40.2941269,-76.88466851,0,1,0.6666666666666666,0.0
16,"1 HACC DR,HARRISBURG,PA,17110",1.0,0.0,0.0,40.2941269,-76.88466851,0,1,2.0,0.0
17,"1 HACC DR,HARRISBURG,PA,17110-2903",0.3333333333333333,0.0,0.0,40.2941269,-76.88466851,0,1,0.6666666666666666,0.0
18,"1 HOSPITAL DR,LEWISBURG,PA,17837-9350",0.25,0.0,0.0,40.98032407,-76.88615503,0,1,0.5,0.0
19,"1 JASONS WAY,ANNVILLE,PA,17003-2037",4.0,0.0,0.0,40.33382672,-76.49160678,0,1,8.0,0.0
20,"1 LONG LN FL 410,UPPER DARBY,PA,19082-2507",0.0,0.0,0.5,39.96046306,-75.26271062,0,1,0.0,0.0
21,"1 MASONIC DR,ELIZABETHTOWN,PA,17022-2199",1.0,0.0,0.0,40.14622752,-76.61192498,0,1,2.0,0.0
22,"1 MEDICAL CENTER BLVD,CHESTER,PA,19013-3902",0.0,0.0,0.8666666666666667,39.85612193,-75.36861828,0,1,0.0,0.0
23,"1 N FRONT ST FL 3029,STEELTON,PA,17113-2317",0.5,0.0,0.0,40.23468891,-76.84002790000002,0,1,1.0,0.0
24,"1 NORTHGATE SQ STE 100,GREENSBURG,PA,15601-1341",1.0,0.0,0.0,40.32569151,-79.54476399,0,1,2.0,0.0
25,"1 PARK LN,DOUGLASSVILLE,PA,19518-1499",0.0,0.0,2.0,40.26473478,-75.73730712,0,1,0.0,0.0
26,"1 PRESIDENTIAL BLVD STE 207,BALA CYNWYD,PA,19004-1007",0.12836270871985156,0.0,0.4643036659108088,40.00994647,-75.21130711,0,1,0.2567254174397031,0.0
27,"1 PRESIDENTIAL BLVD,BALA CYNWYD,PA,19004-1017",0.04124149659863945,0.0,0.2130682079595123,40.00994647,-75.21130711,0,1,0.0824829931972789,0.0
28,"1 ROBINSON PLZ STE 160,PITTSBURGH,PA,15205-1023",0.5,0.0,0.0,40.44875884,-80.16338493,0,1,1.0,0.0
29,"1 ROBINSON PLZ,PITTSBURGH,PA,15205-1021",1.0,0.0,0.0,40.44875884,-80.16338493,0,1,2.0,0.0
30,"1 S MAIN ST,MAHANOY CITY,PA,17948-2611",0.5,0.0,0.0,40.81269563,-76.14164886,0,1,1.0,0.0
31,"1 S MAIN ST,WILKES BARRE,PA,18701-1724",1.0,0.0,0.0,41.24547428,-75.88264747,0,1,2.0,0.0
32,"1 SPRING GARDEN ST FL 1825,PHILADELPHIA,PA,19123-3103",0.25,0.0,0.0,39.9602381,-75.13739307,0,1,0.5,0.0
