idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"1 ABINGTON PLZ,JENKINTOWN,PA,19046-3912",0.3394230769230769,0.1111111111111111,0.0,40.08271018,-75.08352851,1,0,0.6788461538461538,0.2222222222222222
1,"1 ELIZABETH ST STE 6,BURLINGTN TWP,PA,18848-1629",1.5,0.0,0.0,41.76340638,-76.44231011,1,0,3.0,0.0
2,"1 ELIZABETH ST STE 6,TOWANDA,PA,18848-1629",0.5,0.0,0.0,41.76340638,-76.44231011,1,0,1.0,0.0
3,"1 GUTHRIE SQ,SAYRE,PA,18840-1625",2.0,0.0,0.0,41.98089748,-76.51876239,1,0,4.0,0.0
4,"1 HACC DR # 102,HARRISBURG,PA,17110-2903",0.5,0.0,0.0,40.2941269,-76.88466851,1,0,1.0,0.0
5,"1 HACC DR,HARRISBURG,PA,17110-2903",0.5,0.0,0.0,40.2941269,-76.88466851,1,0,1.0,0.0
6,"1 HOSPITAL DR,LEWISBURG,PA,17837-9350",0.2,0.0,0.0,40.98032407,-76.88615503,1,0,0.4,0.0
7,"1 MEDICAL CENTER BLVD,CHESTER,PA,19013",0.0,0.0,0.3333333333333333,39.85608007,-75.36862995,1,0,0.0,0.0
8,"1 PRESIDENTIAL BLVD STE 207,BALA CYNWYD,PA,19004-1007",0.02325581395348837,0.0,0.1533404376243251,40.00994647,-75.21130711,1,0,0.04651162790697674,0.0
9,"1 PRESIDENTIAL BLVD,BALA CYNWYD,PA,19004-1017",0.02325581395348837,0.0,0.1292391304347826,40.00994647,-75.21130711,1,0,0.04651162790697674,0.0
10,"1 ROBINSON PLZ STE 160,PITTSBURGH,PA,15205-1023",0.5,0.0,0.0,40.44875884,-80.16338493,1,0,1.0,0.0
11,"1 S MAIN ST,MAHANOY CITY,PA,17948-2611",0.5,0.0,0.0,40.81269563,-76.14164886,1,0,1.0,0.0
12,"10 DUFF RD,PITTSBURGH,PA,15235-3260",0.0,0.0,0.3333333333333333,40.46407983,-79.82852722,1,0,0.0,0.0
13,"10 LINNIPPI TRL,LOCK HAVEN,PA,17745-3115",0.0,0.0,0.6666666666666666,41.15006564,-77.35267409999999,1,0,0.0,0.0
14,"10 S CLINTON ST STE 204,DOYLESTOWN,PA,18901-4220",0.0,0.0,0.3333333333333333,40.30852772,-75.1329141,1,0,0.0,0.0
15,"10 TAYLOR LN,MONTROSE,PA,18801-6702",0.5,0.0,0.0,41.83005888,-75.87385702,1,0,1.0,0.0
16,"10 W DORRANCE ST,KINGSTON,PA,18704-3790",0.0,0.0,0.3333333333333333,41.27105199,-75.8880357,1,0,0.0,0.0
17,"10 W NORTHAMPTON ST STE 1000,WILKES BARRE,PA,18701-1710",1.0,0.0,0.0,41.24425844,-75.88502629,1,0,2.0,0.0
18,"100 COMMUNITY DR STE 201,TOBYHANNA,PA,18466-8987",2.0,0.0,0.0,41.14779341,-75.37133767,1,0,4.0,0.0
19,"100 E ALLEGHENY AVE,PHILADELPHIA,PA,19134-2207",1.25,0.0,0.0,39.99850864,-75.12913542,1,0,2.5,0.0
20,"100 E LEHIGH AVE,PHILADELPHIA,PA,19125-1012",0.7569444444444444,0.875,3.9166666666666665,39.99086662,-75.13088417,1,0,1.5138888888888888,1.75
21,"100 HOSPITAL AVE,DU BOIS,PA,15801-1440",0.0,0.0,0.3666666666666667,41.11427059,-78.77555408,1,0,0.0,0.0
22,"100 KENNEDY BLVD,PITTSTON,PA,18640-1835",0.0,0.0,0.5,41.32411464,-75.79088591,1,0,0.0,0.0
23,"100 N 3RD ST FL,EASTON,PA,18042-1869",3.033333333333333,0.3333333333333333,0.0,40.69342746,-75.2093602,1,0,6.066666666666666,0.6666666666666666
24,"100 N 3RD ST,EASTON,PA,18042",0.8333333333333333,0.3333333333333333,0.0,40.69342746,-75.2093602,1,0,1.6666666666666663,0.6666666666666666
25,"100 N ACADEMY AVE,DANVILLE,PA,17822-9800",3.6666666666666665,1.0,0.3333333333333333,40.96979521,-76.60171314,1,0,7.333333333333332,2.0
26,"100 N HANOVER ST,CARLISLE,PA,17013-2421",1.0,0.0,0.0,40.20318873,-77.18888595,1,0,2.0,0.0
27,"100 NORTHPOINTE CIR STE 204,SEVEN FIELDS,PA,16046-7851",0.4982323232323233,0.0,0.07142857142857142,40.68357479,-80.06551751,1,0,0.9964646464646466,0.0
28,"100 PASSAVANT WAY,PITTSBURGH,PA,15238-1318",0.7539682539682538,0.0,0.047619047619047616,40.54226452,-79.83779857,1,0,1.5079365079365077,0.0
29,"100 S BROAD ST STE 1530,PHILADELPHIA,PA,19110-1026",0.09090909090909093,0.0,0.3206349206349206,39.95046233,-75.16406604,1,0,0.18181818181818185,0.0
30,"100 S EAGLE RD,HAVERTOWN,PA,19083-3202",0.0,0.0,1.0,39.97075151,-75.32019854,1,0,0.0,0.0
31,"1000 BROOKTREE RD STE 200,WEXFORD,PA,15090-9286",0.0,0.0,1.0,40.61588643,-80.05680193,1,0,0.0,0.0
32,"1000 E MOUNTAIN DR,WILKES BARRE,PA,18711-0027",0.3333333333333333,0.3333333333333333,0.3333333333333333,41.25683849,-75.81176496,1,0,0.6666666666666666,0.6666666666666666
33,"1000 EASTON RD STE 315,WYNCOTE,PA,19095-2900",0.8225168170070244,0.02,0.04,40.08288057,-75.17072139,1,0,1.6450336340140488,0.04
34,"1000 EASTON RD,WYNCOTE,PA,19095-2918",0.6511846784168213,0.02,0.0,40.08288057,-75.17072139,1,0,1.3023693568336423,0.04
35,"1001 E 2ND ST,COUDERSPORT,PA,16915-8161",2.25,0.0,0.0,41.77067088,-77.97970725,1,0,4.5,0.0
36,"1001 S 4TH ST,HAMBURG,PA,19526-9211",0.07142857142857142,0.0,0.0,40.54102777,-75.97746871,1,0,0.14285714285714285,0.0
37,"1001 S GEORGE ST,YORK,PA,17403-3676",1.3333333333333333,0.0,0.0,39.94541417,-76.71975146,1,0,2.6666666666666665,0.0
38,"1004 W VIEW PARK DR,PITTSBURGH,PA,15229-1771",0.6353821015585721,0.05882352941176471,0.13392857142857142,40.51617379,-80.03790015,1,0,1.2707642031171442,0.11764705882352942
39,"1005 GREEN LN,LEVITTOWN,PA,19057-3103",2.0277777777777777,0.0,0.0,40.13368919,-74.85880758,1,0,4.055555555555555,0.0
40,"1006 MAIN ST,REPUBLIC,PA,15475",0.4,0.0,0.0,39.96293018,-79.87804958,1,0,0.8,0.0
41,"101 LONG LN FL 1,UPPER DARBY,PA,19082-3112",1.0,0.0,0.0,39.95954617,-75.26285103,1,0,2.0,0.0
42,"101 LONG LN,UPPER DARBY,PA,19082-3112",0.5,0.0,0.0,39.95954617,-75.26285103,1,0,1.0,0.0
43,"101 OLD YORK RD STE 301,JENKINTOWN,PA,19046-3931",1.6195765620688218,1.3362135449091972,0.0,40.09297287,-75.12532471,1,0,3.239153124137644,2.6724270898183944
44,"101 OLD YORK RD,JENKINTOWN,PA,19046",2.9014563652721552,2.608485958485958,0.3333333333333333,40.09297287,-75.12532471,1,0,5.8029127305443104,5.216971916971916
45,"101 OLD YORK RD,JENKINTOWN,PA,19046-3912",3.1776181120221363,1.7322452909409431,0.0,40.09297287,-75.12532471,1,0,6.355236224044273,3.4644905818818863
46,"101 S 9TH ST,LEBANON,PA,17042-5108",3.083333333333333,0.0,0.0,40.33763822,-76.4260885,1,0,6.166666666666666,0.0
47,"101 W FAIRMONT AVE,NEW CASTLE,PA,16105-2853",0.0,0.0,0.3333333333333333,41.02116153,-80.34981299,1,0,0.0,0.0
48,"1010 JEFFERSON ST,LATROBE,PA,15650-1856",0.0,0.0,0.3333333333333333,40.31484156,-79.38426541,1,0,0.0,0.0
49,"10108 BUSTLETON AVE,PHILADELPHIA,PA,19116-3704",6.894444444444442,0.0,0.0,40.10396034,-75.02820143,1,0,13.788888888888884,0.0
50,"1012 BIGLER AVE,NORTHERN CAMBRIA,PA,15714",0.3333333333333333,0.0,0.0,40.63945448,-78.76382374,1,0,0.6666666666666666,0.0
51,"10154 WOODBURY DR,WEXFORD,PA,15090-9580",1.0,0.0,0.0,40.59639056,-80.05841578,1,0,2.0,0.0
52,"1016 HEDY LYNN DR,IRWIN,PA,15642-1729",0.5,0.0,0.0,40.33235435,-79.76648224,1,0,1.0,0.0
53,"1016 HEDY LYNN DR,NORTH HUNTINGDON,PA,15642-1729",0.5,0.0,0.0,40.33235435,-79.76648224,1,0,1.0,0.0
54,"1019 GHANER RD STE 100,PORT MATILDA,PA,16870-7236",0.5,1.5,2.25,40.81639953,-77.93939249,1,0,1.0,3.0
55,"1019 GHANER RD STE A,PORT MATILDA,PA,16870-7235",0.5,0.5,0.0,40.81640154,-77.93916299,1,0,1.0,1.0
56,"102 BUTE RD,UNIONTOWN,PA,15401-5544",1.5,0.0,0.0,39.91529506,-79.70847993,1,0,3.0,0.0
