,id,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
853,1400000US42001030101,"Census Tract 301.01, Adams County, Pennsylvania",22,14,0,0,15,7,6,8,41,14,8,12,229,10,19,0,0,6,16,0,9,28,77,22,42,208,28,6,0,0,6,8,0,16,51,33,7,53,112.5,228.3,99.2,144,584,2628648
852,1400000US42001030102,"Census Tract 301.02, Adams County, Pennsylvania",0,0,0,0,17,0,0,0,109,141,93,0,392,0,0,0,0,18,5,0,0,70,110,46,143,411,43,0,0,0,0,0,0,21,61,71,30,185,60.5,347.9,257.6,497,1163,
2010,1400000US42001030200,"Census Tract 302, Adams County, Pennsylvania",30,28,18,10,0,26,30,0,108,33,16,24,438,35,22,22,28,3,32,10,0,106,95,44,41,477,34,32,44,5,8,30,21,3,77,110,40,73,313.5,496.1,190.4,238,1238,
2002,1400000US42001030300,"Census Tract 303, Adams County, Pennsylvania",15,0,11,0,0,0,21,0,63,67,73,11,293,17,12,7,0,0,8,23,36,54,33,24,79,434,2,0,7,16,4,0,45,13,148,24,85,90,89,437.8,99.2,362,988,
850,1400000US42001030400,"Census Tract 304, Adams County, Pennsylvania",33,6,38,50,4,44,0,70,19,37,59,24,402,15,71,13,32,0,7,0,0,57,72,10,125,422,16,2,4,3,0,121,30,7,64,125,24,26,285,467.8,187.2,268,1208,
2000,1400000US42001030500,"Census Tract 305, Adams County, Pennsylvania",3,10,23,9,15,5,0,9,50,15,0,22,287,2,17,48,16,12,32,0,23,42,46,26,23,256,18,0,18,4,15,37,5,4,44,40,18,53,189,292.2,80.8,142,704,
2007,1400000US42001030600,"Census Tract 306, Adams County, Pennsylvania",72,10,41,0,0,0,32,0,45,9,58,31,352,55,0,17,7,0,28,5,0,42,125,25,48,202,0,0,0,0,0,22,0,0,44,50,8,78,202,254.8,147.2,248,852,
2003,1400000US42001030700,"Census Tract 307, Adams County, Pennsylvania",44,11,94,3,0,19,12,38,43,95,55,74,377,4,0,30,4,13,12,0,26,59,70,46,113,682,0,28,0,18,15,18,0,0,197,76,141,189,250,486.2,192.8,618,1547,
846,1400000US42001030800,"Census Tract 308, Adams County, Pennsylvania",36,9,22,31,17,11,3,9,66,156,60,60,456,43,24,18,13,7,9,4,14,78,110,49,87,553,21,22,22,20,28,9,18,35,113,117,41,107,307,471.6,306.4,404,1489,
849,1400000US42001030900,"Census Tract 309, Adams County, Pennsylvania",89,0,0,23,25,0,15,12,63,159,22,69,664,54,56,5,94,57,31,7,22,69,68,55,146,587,53,56,0,4,78,72,6,35,47,51,100,85,514,514.6,222.4,477,1728,
2004,1400000US42001031000,"Census Tract 310, Adams County, Pennsylvania",7,0,0,19,16,0,8,0,27,19,16,27,187,13,0,0,0,8,0,0,7,44,51,57,7,115,6,0,0,0,15,0,0,17,43,15,6,13,64.5,182.5,68,126,441,
2001,1400000US42001031101,"Census Tract 311.01, Adams County, Pennsylvania",0,14,22,21,0,0,0,0,194,35,34,21,384,0,0,0,0,96,0,0,0,194,8,55,31,340,0,0,0,0,13,38,36,0,121,88,0,44,111.5,663.7,104.8,185,1065,
