idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 LAURENSVILLE LN,LAURENS,SC,29360-2327",0.5,0.0,0.0,34.50183709,-82.02024914,1,0
1,"1 MEMORIAL MEDICAL DR,GREENVILLE,SC,29605-4407",3.0285714285714285,0.0,0.0,34.816646,-82.42108882,1,0
2,"1 THAMES VLY,IRMO,SC,29063-2469",0.0,1.0,0.0,34.08924128,-81.18633494,1,0
3,"1 WINCHESTER CT,MAULDIN,SC,29662-2626",1.6444444444444444,0.0,0.0,34.77219291,-82.30299282,1,0
4,"10 ATRIUM RIDGE CT,COLUMBIA,SC,29223-6438",0.0,0.0,1.0,34.0874619,-80.93845314,1,0
5,"10 HOSPITAL CENTER CMNS STE D,HILTON HEAD ISLAND,SC,29926-2849",0.0,0.0,0.5,32.22235253,-80.71393402,1,0
6,"10 HOSPITAL CENTER CMNS STE D,HILTON HEAD,SC,29926-2849",0.0,0.0,0.5,32.22235253,-80.71393402,1,0
7,"10 PELHAM RD,GREENVILLE,SC,29615-2142",0.5,0.0,0.0,34.86818348,-82.35398663,1,0
8,"10 RICHLAND MEDICAL PARK DR STE A,COLUMBIA,SC,29203-6892",1.3333333333333333,0.0,1.5,34.02895196,-81.03238296,1,0
9,"10 RICHLAND MEDICAL PARK DR,COLUMBIA,SC,29203",0.3333333333333333,0.0,0.5,34.02895196,-81.03238296,1,0
10,"10 RICHLAND MEDICAL PARK DR,COLUMBIA,SC,29203-6864",0.3333333333333333,0.0,0.0,34.02895196,-81.03238296,1,0
11,"100 BERKELEY SQUARE LN,GOOSE CREEK,SC,29445-2958",2.125,0.0,0.0,33.00162201,-80.03954994,1,0
12,"100 COMMERCE ST APT A,WALTERBORO,SC,29488-2943",0.5,0.0,0.0,32.90807217,-80.66608522,1,0
13,"100 COMMERCE ST,WALTERBORO,SC,29488-2943",0.5,0.0,0.0,32.90807217,-80.66608522,1,0
14,"100 DUKES ST,SAINT GEORGE,SC,29477-2502",1.0,0.0,0.0,33.17825543,-80.57551795,1,0
15,"100 HAMLET CIR,GOOSE CREEK,SC,29445-7111",0.16666666666666666,0.25,0.0,33.01461984,-80.08042672,1,0
16,"100 HARTH PL,SUMMERVILLE,SC,29485-8107",1.0,0.0,0.0,32.9645884,-80.1598046,1,0
17,"100 OLD CHEROKEE RD PMB 14,LEXINGTON,SC,29072-9316",0.5,0.0,0.0,33.99849131,-81.22002932,1,0
18,"100 OMALLEY DR UNIT B,SUMMERVILLE,SC,29483-5635",1.111904761904762,0.0,0.0,32.99897182,-80.22870988,1,0
19,"100 OMALLEY DR,SUMMERVILLE,SC,29483-5635",0.028571428571428567,0.0,0.0,32.99897182,-80.22870988,1,0
20,"100 PALMETTO HEALTH PKWY STE 310,COLUMBIA,SC,29212-1756",0.0,0.0,1.0,34.0892518,-81.16056093,1,0
21,"100 PONTIAC BUSINESS CENTER DR STE C,ELGIN,SC,29045-9171",0.5,0.0,0.0,34.10910244,-80.83567125,1,0
22,"100 PONTIAC BUSINESS CENTER DR,ELGIN,SC,29045-9171",0.75,0.0,0.0,34.10910244,-80.83567125,1,0
23,"100 REGENT PARK CT,GREENVILLE,SC,29607-6534",1.094424172318909,0.5523767697680741,0.0,34.80838203,-82.28024657,1,0
24,"1000 CLYBURN PL,AIKEN,SC,29801-4193",1.5,0.0,0.0,33.573438,-81.71150296,1,0
25,"1000 COLLEGE AVE,CLEMSON,SC,29631-2804",2.6666666666666665,0.0,0.0,34.70446697,-82.83336623,1,0
26,"1000 E RUTHERFORD ST STE A,LANDRUM,SC,29356-1727",1.0454545454545454,0.0,0.0,35.17776761,-82.17728807,1,0
27,"1000 E RUTHERFORD ST,LANDRUM,SC,29356-1727",0.045454545454545456,0.0,0.0,35.17776761,-82.17728807,1,0
28,"1000 TANNER FORD BLVD STE 370,HANAHAN,SC,29410-4712",0.2891645781119465,0.0,0.0,32.93329749,-79.99857102,1,0
29,"1000 TANNER FORD BLVD,HANAHAN,SC,29410-4707",0.037037037037037035,0.0,0.0,32.93329749,-79.99857102,1,0
30,"10030 OCEAN HWY # 17,PAWLEYS ISLAND,SC,29585-7805",1.0,0.0,0.0,33.43529721,-79.13405845,1,0
31,"1005 TANNER FORD BLVD STE 102,HANAHAN,SC,29410-4713",2.5,0.0,0.0,32.93312956,-79.99926239,1,0
32,"10092 CHARLOTTE HWY STE 107,INDIAN LAND,SC,29707-7202",0.3333333333333333,0.0,0.0,35.01261185,-80.85194275,1,0
33,"101 DURST AVE W,GREENWOOD,SC,29649-2020",2.290909090909091,0.0,0.0,34.20083393,-82.16107692,1,0
34,"101 E JACKSON ST,DILLON,SC,29536-2421",2.0,0.0,0.0,34.42239368,-79.36813907,1,0
35,"101 PATRIOT LN,SUMMERVILLE,SC,29486-1793",0.1111111111111111,0.0,0.0,33.05093926,-80.10313577,1,0
36,"101 R L SAWYER MD DR,SALUDA,SC,29138-9199",1.970367540955776,0.0,0.0,33.99227874,-81.74190408,1,0
37,"101 RUTLEDGE AVE,CHARLESTON,SC,29401-1722",0.4166666666666666,0.0,0.0,32.78112682,-79.94260871,1,0
38,"101 W MARKET ST,TIMMONSVILLE,SC,29161-1725",1.0,0.0,0.0,34.13307931,-79.94129699,1,0
39,"101 WESTMINSTER HWY,WESTMINSTER,SC,29693-1427",0.3333333333333333,0.0,0.0,34.66896154,-83.10052349,1,0
40,"1015 CREEKSIDE MEDICAL DR,YORK,SC,29745-8624",1.0,0.0,0.0,34.98487219,-81.21877443,1,0
41,"1015 FAIR ST,CAMDEN,SC,29020-4408",2.0,0.0,0.0,34.24609595,-80.60096354,1,0
42,"102 BRYANT ST,SAINT GEORGE,SC,29477-2160",1.3333333333333333,0.0,0.0,33.191545899999994,-80.58607626,1,0
43,"102 CLAIR DR,PIEDMONT,SC,29673-7771",1.8409090909090908,0.0,0.0,34.78224791,-82.47696215,1,0
44,"102 LUSK DR,WEST UNION,SC,29696-2629",2.0,0.0,0.0,34.74221774,-83.03690574,1,0
45,"102 SEA ISLAND PKWY STE J,BEAUFORT,SC,29907-1568",1.5,0.0,0.0,32.41663763,-80.65597361,1,0
46,"102 SPRINGHALL DR,GOOSE CREEK,SC,29445-5335",0.14285714285714285,0.0,0.0,33.01069347,-80.05163276,1,0
47,"103 MORGAN PL,SUMMERVILLE,SC,29485-8106",1.0,0.0,0.0,32.96486002,-80.16114256,1,0
48,"103 SPRINGHALL DR,GOOSE CREEK,SC,29445-5336",0.0,1.0,0.0,33.01053168,-80.05111667,1,0
49,"103A HARTH PL,SUMMERVILLE,SC,29485-8107",0.0,0.0,0.3333333333333333,32.96470047,-80.15969628,1,0
