id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,
1400000US45001950100,,"Census Tract 9501, Abbeville County, South Carolina",40,17,7,0,0,19,0,12,10,5,51,0,211,0,8,0,0,72,39,15,11,16,0,21,29,147,0,0,0,0,1,47,1,12,12,17,11,46,93.9,212.04,55.06,158,519,1078541
1400000US45001950200,,"Census Tract 9502, Abbeville County, South Carolina",22,0,28,6,0,4,3,3,57,38,0,5,270,0,9,25,3,21,24,6,10,124,48,0,0,345,29,9,85,17,63,6,0,0,94,34,4,4,258.2,150.55,359.25,13,781,
1400000US45001950300,,"Census Tract 9503, Abbeville County, South Carolina",2,0,34,3,13,0,6,0,18,7,0,60,183,4,0,76,5,23,0,7,0,40,28,0,0,194,4,0,64,11,0,8,0,11,21,45,0,30,213.8,67.47,148.73,90,520,
1400000US45001950400,,"Census Tract 9504, Abbeville County, South Carolina",217,0,81,0,8,0,0,0,89,66,54,41,435,90,29,81,9,0,4,0,0,66,54,12,90,636,63,0,11,31,23,37,0,0,304,67,34,66,621.3,122.37,586.33,297,1627,
1400000US45001950500,,"Census Tract 9505, Abbeville County, South Carolina",42,88,0,30,0,10,0,0,82,0,16,23,437,128,114,7,0,0,18,0,0,150,0,20,0,256,44,0,7,0,13,53,0,14,83,24,0,18,463.9,145.05,298.05,77,984,
1400000US45001950600,,"Census Tract 9506, Abbeville County, South Carolina",102,0,0,10,25,42,0,0,20,0,0,0,230,75,22,11,18,0,49,0,0,44,0,11,0,291,11,36,7,56,39,0,40,10,92,0,0,0,367.2,206.08,135.72,11,720,
1400000US45003020100,,"Census Tract 201, Aiken County, South Carolina",26,0,0,49,44,0,13,0,70,87,0,0,335,19,0,37,99,29,0,0,30,0,74,25,22,455,58,0,24,92,19,9,11,13,40,92,2,95,431.6,154.7,348.7,144,1079,
1400000US45003020200,,"Census Tract 202, Aiken County, South Carolina",0,0,0,27,0,0,0,0,60,0,99,0,206,0,0,0,0,0,0,22,0,116,25,0,43,636,0,46,34,53,0,0,19,0,324,96,18,46,160,106,556,206,1028,
1400000US45003020301,,"Census Tract 203.01, Aiken County, South Carolina",24,0,0,0,0,0,0,51,18,135,0,5,243,12,0,0,12,8,0,8,0,67,112,0,24,228,25,0,0,11,0,0,9,0,51,90,8,34,86.4,91.28,455.32,71,704,
1400000US45003020302,,"Census Tract 203.02, Aiken County, South Carolina",66,38,0,0,62,242,0,0,0,94,0,60,396,41,0,6,15,127,17,0,0,66,19,51,54,516,0,62,12,61,209,0,14,22,74,20,20,22,420.4,591.8,254.8,207,1474,
1400000US45003020400,,"Census Tract 204, Aiken County, South Carolina",154,167,47,67,133,0,0,8,30,267,29,59,895,161,17,184,48,39,120,18,24,56,184,0,44,605,42,0,107,169,0,15,0,9,89,106,0,68,1214.6,337.15,709.25,200,2461,
1400000US45003020500,,"Census Tract 205, Aiken County, South Carolina",0,17,17,0,15,0,0,20,219,80,145,60,577,0,23,20,37,0,0,0,0,79,27,191,200,452,17,47,0,139,0,13,0,0,85,21,0,130,321.5,93.29,461.21,726,1602,
1400000US45003020601,,"Census Tract 206.01, Aiken County, South Carolina",0,0,0,0,0,12,0,35,125,9,42,54,285,0,0,0,24,0,14,0,11,11,80,42,103,365,0,0,0,14,0,27,0,0,56,93,51,124,38,123.96,349.04,416,927,
1400000US45003020602,,"Census Tract 206.02, Aiken County, South Carolina",124,15,0,0,88,0,62,0,48,0,25,67,521,159,16,0,76,10,12,0,0,147,76,25,0,332,62,0,0,77,33,8,0,0,122,0,30,0,568.3,214.91,351.79,147,1282,
1400000US45003020701,,"Census Tract 207.01, Aiken County, South Carolina",0,39,0,109,0,0,0,0,43,0,21,49,415,0,51,0,84,0,0,0,0,202,60,0,18,400,0,106,0,27,38,0,0,0,0,144,19,66,427.4,58.45,417.15,173,1076,
1400000US45003020702,,"Census Tract 207.02, Aiken County, South Carolina",36,0,81,33,9,47,47,0,84,0,0,0,469,84,144,28,10,0,47,29,0,127,0,0,0,483,63,39,28,18,9,74,0,42,172,38,0,0,569.4,348.39,371.21,0,1289,
1400000US45003020801,,"Census Tract 208.01, Aiken County, South Carolina",0,0,0,0,18,0,0,0,86,11,31,37,247,0,0,0,9,20,17,0,15,127,37,8,14,148,0,0,0,18,12,16,0,13,8,19,40,22,42,124.73,259.27,152,578,
1400000US45003020802,,"Census Tract 208.02, Aiken County, South Carolina",88,111,44,13,69,0,0,0,75,0,19,52,333,0,17,77,16,59,0,0,0,0,36,0,128,575,1,0,78,0,135,81,0,57,64,115,0,44,523.9,340.17,271.93,243,1379,
1400000US45003020901,,"Census Tract 209.01, Aiken County, South Carolina",0,20,0,0,0,0,20,0,39,43,0,9,233,20,70,0,0,105,0,17,9,0,12,0,0,189,0,7,0,4,61,0,28,0,0,44,35,10,170.8,195.27,132.93,54,553,
1400000US45003020902,,"Census Tract 209.02, Aiken County, South Carolina",24,44,0,44,0,29,13,18,21,24,18,41,320,67,21,0,54,63,8,0,16,32,31,0,28,463,0,69,67,6,25,0,0,107,60,0,10,119,422.4,267.29,153.31,216,1059,
1400000US45003021001,,"Census Tract 210.01, Aiken County, South Carolina",74,23,26,21,134,17,0,0,11,0,9,24,347,84,84,0,32,30,5,0,0,26,24,37,25,342,0,78,20,23,6,0,0,11,63,68,51,22,516,165,179,168,1028,
