IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"100 SPRINGHOUSE CT STE 230,HENDERSONVILLE,TN,37075-1610",0.0,0.0,0.0,0.0,0.5,0.3333333333333333,36.31380410000001,-86.59898999,36.31380410000001,-86.59898999,1.0,0.0,0.0,1.0
"100 W BURTON ST,MURFREESBORO,TN,37130-3657",1.0,0.2,0.0,0.0,0.0,0.0,35.84915142,-86.39156056,35.84915142,-86.39156056,1.0,0.0,0.0,1.0
"1000 WASHINGTON ST W STE A,FAYETTEVILLE,TN,37334-2872",0.5,1.3333333333333333,0.0,0.0,0.0,0.0,35.15582663,-86.58323569,35.15582663,-86.58323569,1.0,0.0,0.0,1.0
"1005 DR DB TODD JR BLVD,NASHVILLE,TN,37208-3501",1.0,0.3333333333333333,0.0,0.0,0.0,0.0,36.16813057,-86.80612141,36.16813057,-86.80612141,1.0,0.0,0.0,1.0
"1005 EXECUTIVE DR STE 105,HIXSON,TN,37343-7904",0.0,1.0,0.0,0.0,0.8333333333333333,0.0,35.13083046,-85.23608383,35.13083046,-85.23608383,1.0,0.0,0.0,1.0
"1007 E REELFOOT AVE,UNION CITY,TN,38261-5807",3.0,1.0,0.0,0.0,0.0,0.0,36.41362055,-89.04685188,36.41362055,-89.04685188,1.0,0.0,0.0,1.0
"101 OKOLONA DR,ERWIN,TN,37650-1387",0.3333333333333333,0.14285714285714285,0.0,0.0,0.0,0.0,36.13771772,-82.40851548,36.13771772,-82.40851548,1.0,0.0,0.0,1.0
"104 REGAN AVE,JAMESTOWN,TN,38556-3302",1.0,1.5,0.0,0.0,0.0,0.0,36.42205748,-84.93373308,36.42205748,-84.93373308,1.0,0.0,0.0,1.0
"1065 PEERLESS XING NW,CLEVELAND,TN,37312-3764",1.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,35.20014615,-84.86913256,35.20014615,-84.86913256,1.0,0.0,0.0,1.0
"107 BONNABROOK DR,HERMITAGE,TN,37076-1910",0.0,0.25,0.8333333333333333,0.25,0.8333333333333333,0.0,36.19225136,-86.62576712,36.19225136,-86.62576712,1.0,0.0,0.0,1.0
