IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"101 EAST CT,GOODLETTSVILLE,TN,37072-1817",,0.5,,0.0,,0.0,,,36.3208476,-86.71149026,,,0.0,1.0
"1012 PLEASANT GROVE RD,WESTMORELAND,TN,37186-2139",,1.0,,0.0,,0.0,,,36.56148887,-86.2467982,,,0.0,1.0
"102 CAMDEN CT,MURFREESBORO,TN,37128-4641",,0.0,,0.0,,0.3333333333333333,,,35.84432564,-86.45457495,,,0.0,1.0
"102 GLEN OAK BLVD STE 50A,HENDERSONVILLE,TN,37075-3069",,1.0,,0.0,,0.0,,,36.32470729,-86.61944622,,,0.0,1.0
"103 KENNEDY DR,MARTIN,TN,38237-3309",,1.0,,0.0,,0.0,,,36.33551151,-88.86696338,,,0.0,1.0
"103 PHYSICIANS WAY STE 150,LEBANON,TN,37090-4131",,0.0,,2.0,,0.0,,,36.17969519,-86.32752895,,,0.0,1.0
"1033 E OLD HICKORY BLVD,MADISON,TN,37115-4160",,0.3333333333333333,,0.0,,0.0,,,36.26284322,-86.68638691,,,0.0,1.0
"1035 14TH AVE N,NASHVILLE,TN,37208-3050",,1.0,,0.0,,0.0,,,36.1705555,-86.80120677,,,0.0,1.0
"10407 DAYTON PIKE,SODDY DAISY,TN,37379-5213",,0.0,,0.0,,0.5,,,35.25911131,-85.17665603,,,0.0,1.0
"10480 WALDEN ST,SODDY DAISY,TN,37379-5441",,0.0,,1.0,,0.0,,,35.26054297,-85.17693984,,,0.0,1.0
"105 S PORTER ST,BOLIVAR,TN,38008-1734",,1.0,,0.0,,0.0,,,35.25883077,-89.00746185,,,0.0,1.0
"106 BABB DR,LEBANON,TN,37087-2506",,0.0,,1.0,,0.0,,,36.21589374,-86.32672598,,,0.0,1.0
"107 E LOCUST ST,DRESDEN,TN,38225-1440",,0.5,,0.0,,0.0,,,36.29021444,-88.70762255,,,0.0,1.0
"10910 KINGSTON PIKE UNIT 105,KNOXVILLE,TN,37934-2948",,0.3333333333333333,,0.6666666666666666,,0.0,,,35.89108561,-84.1463421,,,0.0,1.0
"110 GLANCY ST STE 109,GOODLETTSVILLE,TN,37072-2326",,1.0,,0.0,,0.0,,,36.29809554,-86.70238049,,,0.0,1.0
"110 N FORREST AVE,CAMDEN,TN,38320-2062",,1.0,,0.0,,0.0,,,36.05948392,-88.09743751,,,0.0,1.0
"11092 HIGHWAY 51 S STE B,ATOKA,TN,38004-4947",,1.0,,0.0,,0.0,,,35.44728564,-89.78465318,,,0.0,1.0
"111 FOX RD STE B-201,KNOXVILLE,TN,37922-9000",,0.0,,0.0,,1.0,,,35.90272612,-84.11407395,,,0.0,1.0
"112 SAUNDERSVILLE RD STE B226,HENDERSONVILLE,TN,37075-8918",,2.0,,0.0,,0.0,,,36.32638804,-86.59293877,,,0.0,1.0
"1121 GREENLAND DR,MURFREESBORO,TN,37130-2751",,1.0,,0.0,,0.0,,,35.85509627,-86.37119703,,,0.0,1.0
"114 PARLIAMENT DR,MARYVILLE,TN,37804-6209",,0.0,,0.0,,0.3333333333333333,,,35.75541718,-83.93986236,,,0.0,1.0
"11462 LEBANON RD,MOUNT JULIET,TN,37122-5503",,0.0,,0.0,,0.5,,,36.23095048,-86.51737213,,,0.0,1.0
"1177 OLD HICKORY BLVD STE 201,BRENTWOOD,TN,37027-4242",,0.0,,0.0,,1.0,,,36.03952544,-86.81433091,,,0.0,1.0
"1189 VANN DR,JACKSON,TN,38305-6098",,1.0,,0.0,,0.0,,,35.66419628,-88.85942431,,,0.0,1.0
"1195 POPLAR AVE,MEMPHIS,TN,38105-4807",,0.5,,0.0,,0.0,,,35.14435563,-90.02061438,,,0.0,1.0
"1209 RUSSELL ST,UNION CITY,TN,38261-5352",,1.0,,0.0,,0.0,,,36.41435184,-89.0465353,,,0.0,1.0
"121 BELLE FOREST CIR,NASHVILLE,TN,37221-2157",,1.0,,0.0,,0.0,,,36.0757509,-86.92406203,,,0.0,1.0
"1210 HAZELWOOD DR STE A,SMYRNA,TN,37167-3964",,1.0,,0.0,,0.0,,,35.96255127,-86.52002355,,,0.0,1.0
"1211 MEDICAL CENTER DR,NASHVILLE,TN,37232-0004",,0.2,,0.0,,0.0,,,36.14119862,-86.80149507,,,0.0,1.0
"1216 THOMAS ST,MEMPHIS,TN,38107-1703",,3.0,,0.0,,0.0,,,35.17462738,-90.0359184,,,0.0,1.0
"12173 MAIN ST STE B,MASON,TN,38049-7054",,1.0,,0.0,,0.0,,,35.41184827,-89.53314912,,,0.0,1.0
"122 COLONIAL AVE,COPPERHILL,TN,37317-4000",,1.0,,0.0,,0.0,,,34.99129899,-84.37371439,,,0.0,1.0
"1229 TAFT HWY,SIGNAL MOUNTAIN,TN,37377-3251",,1.0,,0.0,,0.0,,,35.1392615,-85.32911523,,,0.0,1.0
"125 COOL SPRINGS BLVD STE 120,FRANKLIN,TN,37067-6475",,0.2909090909090909,,0.0,,0.0,,,35.94111808,-86.83868585,,,0.0,1.0
"125 COOL SPRINGS BLVD STE 140,FRANKLIN,TN,37067-6475",,1.5409090909090908,,0.4,,0.6000000000000001,,,35.94111808,-86.83868585,,,0.0,1.0
"127 W MACON LN STE 1,SEYMOUR,TN,37865-4776",,2.0,,0.0,,0.0,,,35.8784416,-83.77691058,,,0.0,1.0
"1273 E RAINES RD,MEMPHIS,TN,38116-5816",,1.0,,0.0,,0.0,,,35.03549246,-90.02158183,,,0.0,1.0
"1277 HIGHWAY 11W,BEAN STATION,TN,37708-5810",,1.0,,0.0,,0.0,,,36.34379669,-83.26865257,,,0.0,1.0
"129 N STAR DR,JACKSON,TN,38305-5634",,1.0,,0.0,,0.0,,,35.70260432,-88.85410518,,,0.0,1.0
"1297 MARLIN RD,MEMPHIS,TN,38116-5814",,0.5,,0.0,,0.0,,,35.03416247,-90.02069099,,,0.0,1.0
"1300 HATCHER LN STE 1,COLUMBIA,TN,38401-3554",,1.0,,0.0,,0.0,,,35.60349760000001,-87.05815545,,,0.0,1.0
"131 MAPLE ROW BLVD STE D402,HENDERSONVILLE,TN,37075-3777",,1.0,,0.0,,0.0,,,36.30600133,-86.60046025,,,0.0,1.0
"1336 HAZELWOOD DR,SMYRNA,TN,37167-3958",,1.0,,0.0,,0.0,,,35.95919604,-86.52064376,,,0.0,1.0
"1347 ROCK SPRINGS RD,SMYRNA,TN,37167-6108",,1.3333333333333333,,0.0,,0.0,,,35.97892758,-86.55286527,,,0.0,1.0
"1362 N GATEWAY AVE,ROCKWOOD,TN,37854-4108",,0.2,,0.0,,0.0,,,35.88711778,-84.649013,,,0.0,1.0
"1405 E WOOD ST,PARIS,TN,38242-5655",,0.0,,0.0,,1.0,,,36.30977437,-88.29481778,,,0.0,1.0
"1408 N HIGHLAND AVE STE 101,JACKSON,TN,38301-3450",,1.0,,0.0,,0.0,,,35.63756472,-88.82392848,,,0.0,1.0
"1409 W BADDOUR PKWY STE F,LEBANON,TN,37087-2599",,0.0,,0.0,,1.0,,,36.21904648,-86.32784476,,,0.0,1.0
"1464 BYPASS RD,WINCHESTER,TN,37398-2332",,0.0,,0.0,,0.45,,,35.18143769,-86.0825849,,,0.0,1.0
"1498 MADISON ST STE B,CLARKSVILLE,TN,37040-8660",,1.0,,0.0,,0.0,,,36.51912023,-87.32884474,,,0.0,1.0
"1502 TINY TOWN RD STE A,CLARKSVILLE,TN,37042-8088",,0.5,,0.0,,0.0,,,36.62495944,-87.36911504,,,0.0,1.0
"1505 WOODLAWN AVE STE A,DYERSBURG,TN,38024-3145",,0.0,,0.0,,0.3333333333333333,,,36.04671878,-89.3786075,,,0.0,1.0
"1506 CHURCH ST STE 110,NASHVILLE,TN,37203-3038",,1.0,,0.0,,0.0,,,36.15744411,-86.79350404,,,0.0,1.0
"1511 E LAMAR ALEXANDER PKWY,MARYVILLE,TN,37804-5131",,0.3333333333333333,,0.0,,0.0,,,35.7552095,-83.95108369,,,0.0,1.0
"1515 GUNBARREL RD STE 126,CHATTANOOGA,TN,37421-0001",,0.5,,0.0,,0.0,,,35.01755057,-85.16243246,,,0.0,1.0
"1551 E MORRIS BLVD,MORRISTOWN,TN,37813-5729",,0.0,,0.0,,0.5,,,36.21825935,-83.2742016,,,0.0,1.0
"1570 GALLATIN PIKE N,MADISON,TN,37115-2124",,1.0,,0.0,,0.0,,,36.29149959,-86.7033114,,,0.0,1.0
"16 S CENTRAL AVE,MONTEAGLE,TN,37356-3075",,0.0,,0.0,,0.2,,,35.23945431,-85.83514914,,,0.0,1.0
"162 SHARP AND PERKINS RD,JACKSBORO,TN,37757-2507",,0.2,,0.0,,0.0,,,36.32757899,-84.19117151,,,0.0,1.0
"1704 CHARLOTTE AVE STE 100,NASHVILLE,TN,37203-2972",,1.0,,0.0,,0.0,,,36.1592101,-86.7990295,,,0.0,1.0
"1710 NASHVILLE PIKE STE 102,GALLATIN,TN,37066-3154",,1.0,,0.0,,0.0,,,36.35351543,-86.50750153,,,0.0,1.0
"1720 GUNBARREL RD STE 310,CHATTANOOGA,TN,37421-3192",,1.0,,0.0,,0.0,,,35.02197102,-85.15997486,,,0.0,1.0
"1720 WEST AVE STE 106,CROSSVILLE,TN,38555-6066",,0.0,,0.0,,0.16666666666666666,,,35.96423221,-85.04368240000002,,,0.0,1.0
"1722 MEMORIAL DR,CLARKSVILLE,TN,37043-4542",,1.0,,0.0,,0.0,,,36.51479626,-87.31211795,,,0.0,1.0
"1740 BIG SPRINGS RD,MARYVILLE,TN,37801-8206",,1.0,,0.0,,0.0,,,35.75292323,-84.01557681,,,0.0,1.0
"1747 MEDICAL CENTER PKWY STE 300,MURFREESBORO,TN,37129-2579",,1.65,,0.45,,0.6909090909090909,,,35.85774699,-86.42543952,,,0.0,1.0
"1750 FRAYSER BLVD STE 1,MEMPHIS,TN,38127-6439",,1.0,,0.0,,0.0,,,35.2176535,-90.00486196,,,0.0,1.0
