IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 MEDICAL PARK BLVD,BRISTOL,TN,37620",0.0,,0.0,,0.6666666666666666,,36.58862767,-82.25344241,,,1.0,0.0,,
"100 CHAPEL ST,GRAY,TN,37615-3050",1.0,,0.0,,0.0,,36.41666287,-82.47625992,,,1.0,0.0,,
"1000 HAYNES ST,MEMPHIS,TN,38114-3374",2.0,,0.0,,0.0,,35.10445346,-89.96597005,,,1.0,0.0,,
"1001 SCOTTSVILLE RD,LAFAYETTE,TN,37083-1402",0.5,,0.0,,0.0,,36.53124888,-86.02736902,,,1.0,0.0,,
"1003 E REELFOOT AVE,UNION CITY,TN,38261-5870",0.0,,0.0,,0.5,,36.41367055,-89.04750552,,,1.0,0.0,,
"1005B UNION SCHOOL ROAD,WESTMORELAND,TN,37186-5032",0.5,,0.0,,0.0,,36.554766,-86.24295349,,,1.0,0.0,,
"101 MAX LANE DR,JACKSON,TN,38305-5206",0.0,,0.0,,0.3333333333333333,,35.65485214,-88.84909722,,,1.0,0.0,,
"1013 WOODLAWN DR,BYRDSTOWN,TN,38549-2317",0.5,,0.0,,0.0,,36.57514915,-85.13677477,,,1.0,0.0,,
"1014 W G ST,ELIZABETHTON,TN,37643-2915",1.0,,0.0,,0.0,,36.34249599,-82.24114281,,,1.0,0.0,,
"1018 TUSCULUM BLVD,GREENEVILLE,TN,37745-4037",1.0,,0.0,,0.0,,36.16839673,-82.80919105,,,1.0,0.0,,
"102 WESSINGTON PL STE 102-B,HENDERSONVILLE,TN,37075-3085",1.0,,0.0,,0.0,,36.3205016,-86.62209187,,,1.0,0.0,,
"1021 W OAKLAND AVE STE 109,JOHNSON CITY,TN,37604-2192",0.0,,0.0,,1.0,,36.35120197,-82.40139127,,,1.0,0.0,,
"103 E GORE AVE,GAINESBORO,TN,38562",1.3333333333333333,,0.0,,0.0,,36.35499461,-85.65889735,,,1.0,0.0,,
"103 LEXINGTON PLZ,LEXINGTON,TN,38351-1505",0.0,,0.0,,0.3333333333333333,,35.65332985,-88.39567063,,,1.0,0.0,,
"104 BERRYWOOD DR,COLUMBIA,TN,38401-6408",0.0,,0.0,,1.0,,35.60679089,-87.06336267,,,1.0,0.0,,
"104 LEXINGTON PLZ,LEXINGTON,TN,38351-1505",3.0,,0.0,,0.0,,35.65332741,-88.39567426,,,1.0,0.0,,
"105 BERRYWOOD DR,COLUMBIA,TN,38401-6409",0.0,,0.0,,1.0,,35.60679114,-87.06322137,,,1.0,0.0,,
"105 LEDFORD MILL RD STE A,TULLAHOMA,TN,37388-8262",1.0,,0.0,,0.0,,35.39260668,-86.2423575,,,1.0,0.0,,
"107 MAPLE ROW BLVD,HENDERSONVILLE,TN,37075-3853",1.0,,0.0,,0.0,,36.30863049,-86.60033924,,,1.0,0.0,,
"108 TULSA RD,OAK RIDGE,TN,37830-6601",0.5,,0.0,,0.0,,36.00695994,-84.26312667,,,1.0,0.0,,
"10825 OLD HIGHWAY 64,BOLIVAR,TN,38008-3599",1.0,,0.0,,0.0,,35.27780764,-89.02818836,,,1.0,0.0,,
"109 S NORTHSHORE DR STE 404,KNOXVILLE,TN,37919-4925",0.0,,0.0,,1.0,,35.93199244,-84.00225025,,,1.0,0.0,,
"110 MCMURRY BLVD E,HARTSVILLE,TN,37074-1108",1.0,,0.0,,0.0,,36.399092,-86.16178116,,,1.0,0.0,,
"1101 FOX MEADOWS BLVD STE 102,SEVIERVILLE,TN,37862-6937",1.0,,0.0,,0.0,,35.85018164,-83.53566276,,,1.0,0.0,,
"111 1ST AVE SW,WINCHESTER,TN,37398-1727",1.0,,0.0,,0.0,,35.18546634,-86.11241342,,,1.0,0.0,,
