idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 SPRINGHOUSE CT STE 230,HENDERSONVILLE,TN,37075-1610",0.0,0.0,0.3333333333333333,36.31380410000001,-86.59898999,0,1
1,"100 W BURTON ST,MURFREESBORO,TN,37130-3657",0.2,0.0,0.0,35.84915142,-86.39156056,0,1
2,"1000 WASHINGTON ST W STE A,FAYETTEVILLE,TN,37334-2872",1.3333333333333333,0.0,0.0,35.15582663,-86.58323569,0,1
3,"1005 DR DB TODD JR BLVD,NASHVILLE,TN,37208-3501",0.3333333333333333,0.0,0.0,36.16813057,-86.80612141,0,1
4,"1005 EXECUTIVE DR STE 105,HIXSON,TN,37343-7904",1.0,0.0,0.0,35.13083046,-85.23608383,0,1
5,"1007 E REELFOOT AVE,UNION CITY,TN,38261-5807",1.0,0.0,0.0,36.41362055,-89.04685188,0,1
6,"101 EAST CT,GOODLETTSVILLE,TN,37072-1817",0.5,0.0,0.0,36.3208476,-86.71149026,0,1
7,"101 OKOLONA DR,ERWIN,TN,37650-1387",0.14285714285714285,0.0,0.0,36.13771772,-82.40851548,0,1
8,"1012 PLEASANT GROVE RD,WESTMORELAND,TN,37186-2139",1.0,0.0,0.0,36.56148887,-86.2467982,0,1
9,"102 CAMDEN CT,MURFREESBORO,TN,37128-4641",0.0,0.0,0.3333333333333333,35.84432564,-86.45457495,0,1
10,"102 GLEN OAK BLVD STE 50A,HENDERSONVILLE,TN,37075-3069",1.0,0.0,0.0,36.32470729,-86.61944622,0,1
11,"103 KENNEDY DR,MARTIN,TN,38237-3309",1.0,0.0,0.0,36.33551151,-88.86696338,0,1
12,"103 PHYSICIANS WAY STE 150,LEBANON,TN,37090-4131",0.0,2.0,0.0,36.17969519,-86.32752895,0,1
13,"1033 E OLD HICKORY BLVD,MADISON,TN,37115-4160",0.3333333333333333,0.0,0.0,36.26284322,-86.68638691,0,1
14,"1035 14TH AVE N,NASHVILLE,TN,37208-3050",1.0,0.0,0.0,36.1705555,-86.80120677,0,1
15,"104 REGAN AVE,JAMESTOWN,TN,38556-3302",1.5,0.0,0.0,36.42205748,-84.93373308,0,1
16,"10407 DAYTON PIKE,SODDY DAISY,TN,37379-5213",0.0,0.0,0.5,35.25911131,-85.17665603,0,1
17,"10480 WALDEN ST,SODDY DAISY,TN,37379-5441",0.0,1.0,0.0,35.26054297,-85.17693984,0,1
18,"105 S PORTER ST,BOLIVAR,TN,38008-1734",1.0,0.0,0.0,35.25883077,-89.00746185,0,1
19,"106 BABB DR,LEBANON,TN,37087-2506",0.0,1.0,0.0,36.21589374,-86.32672598,0,1
20,"1065 PEERLESS XING NW,CLEVELAND,TN,37312-3764",0.3333333333333333,0.0,0.16666666666666666,35.20014615,-84.86913256,0,1
21,"107 BONNABROOK DR,HERMITAGE,TN,37076-1910",0.25,0.25,0.0,36.19225136,-86.62576712,0,1
22,"107 CHARLES E DAVIS BLVD,NASHVILLE,TN,37210-2745",0.6000000000000001,0.0,0.0,36.15132587,-86.7620363,0,1
23,"107 E LOCUST ST,DRESDEN,TN,38225-1440",0.5,0.0,0.0,36.29021444,-88.70762255,0,1
24,"108 W 10TH AVE,JOHNSON CITY,TN,37604-3800",1.0,0.0,0.0,36.3248975,-82.36304476,0,1
25,"10910 KINGSTON PIKE UNIT 105,KNOXVILLE,TN,37934-2948",0.3333333333333333,0.6666666666666666,0.0,35.89108561,-84.1463421,0,1
26,"11 MEDICAL PARK CT,JACKSON,TN,38305-2157",0.0,0.0,1.0,35.68468644,-88.8517713,0,1
27,"110 GLANCY ST STE 109,GOODLETTSVILLE,TN,37072-2326",1.0,0.0,0.0,36.29809554,-86.70238049,0,1
28,"110 N FORREST AVE,CAMDEN,TN,38320-2062",1.0,0.0,0.0,36.05948392,-88.09743751,0,1
29,"1100 NEAL ST STE B,COOKEVILLE,TN,38501-0900",0.25,0.25,0.0,36.14556857,-85.4807083,0,1
30,"11092 HIGHWAY 51 S STE B,ATOKA,TN,38004-4947",1.0,0.0,0.0,35.44728564,-89.78465318,0,1
31,"111 FOX RD STE B-201,KNOXVILLE,TN,37922-9000",0.0,0.0,1.0,35.90272612,-84.11407395,0,1
32,"1113 MURFREESBORO RD STE 113,FRANKLIN,TN,37064-1319",0.5,0.0,0.0,35.91630942,-86.83628216,0,1
33,"112 SAUNDERSVILLE RD STE B226,HENDERSONVILLE,TN,37075-8918",2.0,0.0,0.0,36.32638804,-86.59293877,0,1
34,"1121 GREENLAND DR,MURFREESBORO,TN,37130-2751",1.0,0.0,0.0,35.85509627,-86.37119703,0,1
35,"114 PARLIAMENT DR,MARYVILLE,TN,37804-6209",0.0,0.0,0.3333333333333333,35.75541718,-83.93986236,0,1
36,"11462 LEBANON RD,MOUNT JULIET,TN,37122-5503",0.0,0.0,0.5,36.23095048,-86.51737213,0,1
37,"11548 CHAPMAN HWY,SEYMOUR,TN,37865-5044",0.0,0.0,0.5,35.8680436,-83.75268634,0,1
38,"1155 KENNEDY DR STE 104,MURFREESBORO,TN,37129-3192",0.5,0.0,0.0,35.86325821,-86.42149746,0,1
39,"1177 OLD HICKORY BLVD STE 201,BRENTWOOD,TN,37027-4242",0.0,0.0,1.0,36.03952544,-86.81433091,0,1
40,"118 MAPLE ROW BLVD STE A1A,HENDERSONVILLE,TN,37075-3824",0.5,1.0,0.0,36.30702317,-86.59945488,0,1
41,"1189 VANN DR,JACKSON,TN,38305-6098",1.0,0.0,0.0,35.66419628,-88.85942431,0,1
42,"1195 POPLAR AVE,MEMPHIS,TN,38105-4807",0.5,0.0,0.0,35.14435563,-90.02061438,0,1
