,State_County_Tract_FIPS_Code
47157003900,49
47157021311,36
47187050203,28
47187050304,24
47001980100,23
47157021331,23
47037016800,23
47065011321,21
47093005100,21
47037016300,18
47189030307,18
47157009600,18
47157021111,17
47187051201,17
47113001501,17
47065011443,17
47037018203,17
47179060400,17
47119010202,16
47065010431,16
47163041400,15
47187051001,15
47037013900,15
47037017901,15
47149041102,15
47157021341,14
47093004404,14
47157004200,13
47093005603,13
47011011300,13
47141000301,13
47093005803,13
47119010400,13
47093005813,12
47157021530,12
47065011201,12
47163041000,12
47157021351,12
47093005706,12
47063100500,11
47037015401,11
47157008500,11
47189030102,11
47093006104,11
47187050208,11
47149040308,11
47107970200,10
47065001600,10
47165021205,10
47037010303,10
47065011446,10
47037014200,10
47037018904,10
47037015100,10
47009011001,9
47157021140,9
47157021138,9
47155080300,9
47149041000,9
47009010900,9
47157021420,9
47113001606,9
47157021613,9
47165021009,9
47149040306,9
47019071300,8
47037017902,8
47037018601,8
47105060600,8
47037018401,8
47065002800,8
47037010202,8
47045964200,8
47157021342,8
47163042701,8
47125101802,8
47165020800,8
47157020622,7
47187050905,7
47163042600,7
47051960400,7
47125100601,7
47157021520,7
47165021002,7
47093005708,7
47065011600,7
47065010600,7
47009010700,7
47157022112,7
47009010500,6
47011011500,6
47051960201,6
47065011411,6
47009011602,6
47187050406,6
47093005807,6
47149041600,6
47093004610,6
47157020634,6
47157021353,6
47093004403,6
47157021135,6
47037019500,6
47065011002,6
47125101804,6
47065011445,6
47179062000,6
47043060601,6
47037015610,6
47157003200,6
47157021430,6
47187050205,6
47059090300,6
47187050907,6
47149040901,6
47149042300,6
47185935400,5
47165020700,5
47147080500,5
47157008700,5
47155080802,5
47093004800,5
47157009500,5
47037010701,5
47125100700,5
47147080402,5
47157021112,5
47065002000,5
47179060502,5
47177930500,5
47163040300,5
47029920200,5
47079969300,5
47109930100,5
47157021137,5
47093005704,5
47037018801,5
47105060301,5
47037015612,5
47037017702,5
47149041302,5
47037014400,5
47053966500,5
47129110400,5
47125100602,5
47149040809,5
47157002500,5
47143975401,4
47187050602,4
47125101101,4
47093004401,4
47089070600,4
47071920500,4
47093004611,4
47065010432,4
47037018404,4
47037018408,4
47157002700,4
47113001401,4
47001021100,4
47165020300,4
47037019114,4
47123925400,4
47123925100,4
47131965500,4
47179061500,4
47149041700,4
47157020632,4
47179061200,4
47031970600,4
47063100700,4
47157021320,4
