,State_County_Tract_FIPS_Code
47141000600,12
47037014400,11
47011010200,11
47149040901,10
47165021205,10
47179060400,10
47189030307,9
47149040306,8
47165020902,7
47157021724,7
47119010700,7
47163042701,6
47187050304,6
47147080301,6
47037016900,6
47157009902,6
47065010903,6
47157022500,6
47157002800,6
47157022111,6
47157020541,6
47149041600,6
47157010820,6
47125101804,5
47077975300,5
47093005706,5
47031970900,5
47009010700,5
47039955002,5
47017962100,5
47065011311,5
47113001606,5
47131965700,5
47011010600,5
47093004200,5
47037010303,5
47125101304,4
47189030500,4
47093006600,4
47187050205,4
47053966700,4
47125101306,4
47113001300,4
47163040200,4
47037015402,4
47155080802,4
47093001400,4
47059090400,4
47107970200,4
47037016400,4
47093002600,4
47009011001,3
47065010432,3
47079969400,3
47109930500,3
47065011321,3
47115050202,3
47157020651,3
47113001501,3
47043060501,3
47125101307,3
47065012400,3
47165021009,3
47037019112,3
47119010802,3
47157021311,3
47031970801,3
47113001604,3
47021070300,3
47045964200,3
47141000500,3
47157003700,3
47157021746,3
47087960300,3
47001980100,3
47173040201,3
47179061100,3
47037019500,3
47099960401,3
47037015900,3
47093004300,3
47065000400,3
47071920400,3
47037018700,2
47065011443,2
47031970400,2
47049965100,2
47065011201,2
47035970502,2
47063100300,2
47133950301,2
47127930200,2
47093005704,2
47125101903,2
47063100800,2
47187050905,2
47105060600,2
47125102001,2
47069950400,2
47157021135,2
47071920600,2
47015960100,2
47143975401,2
47149040905,2
47141000700,2
47169090100,2
47189030401,2
47045964300,2
47065010433,2
47149040902,2
47157007900,2
47149042200,2
47037019004,2
47151975100,2
47123925400,2
47037012801,2
47047060502,2
47165020102,2
47037018000,2
47029920501,2
47037011900,2
47149040701,2
47187050306,2
47037010701,2
47001021201,2
47119010801,2
47157021333,2
47185935400,2
47065010303,2
47093006104,2
47037017200,2
47147080500,2
47155080102,2
47167040303,2
47001020202,2
47099960402,2
47035970400,2
47187050208,2
47059090100,2
47037018801,2
47023970300,2
47163042801,2
47073050503,2
47179061300,2
47189030901,2
47075930302,2
47163042600,2
47137925100,2
47155080202,2
47157020644,2
47163042500,2
47019070200,2
47037010904,2
47157007000,2
47157002600,2
47187050800,1
47157011500,1
47149041700,1
47037017402,1
47093004100,1
47013950500,1
47055920400,1
47025970200,1
47125100602,1
47047060800,1
47003950402,1
47089070100,1
47117955400,1
47037015404,1
47141000200,1
47165020501,1
47157008120,1
47157009600,1
47165020700,1
47051960500,1
47031971000,1
47009010200,1
47037015628,1
47041920200,1
47065011402,1
47093004500,1
47123925200,1
47159975100,1
47157010610,1
47089070300,1
47045964000,1
47093003500,1
47093003700,1
47065001200,1
47099960501,1
47125100601,1
47179061500,1
47037016500,1
47161110700,1
47037019300,1
47157009400,1
47165020300,1
47117955200,1
47093004404,1
47187050602,1
47065011445,1
47081950302,1
47157009500,1
47037018401,1
47141000800,1
47113000200,1
47081950200,1
47157021010,1
47165021204,1
47157011300,1
47135930200,1
47163040600,1
47113000300,1
47165021005,1
47037017902,1
47189030700,1
47037017901,1
47037012600,1
47129110300,1
47001021302,1
47085130100,1
47037014800,1
47179061000,1
47177930500,1
47157006800,1
47179062000,1
47037018901,1
47157021420,1
47175925200,1
47177930600,1
47037010801,1
47107970401,1
47047060401,1
47031970802,1
47037018102,1
47057500300,1
47125100500,1
47183968202,1
47157020622,1
47035970501,1
47047060402,1
47165021104,1
47047060404,1
47037010802,1
47065002900,1
47051960202,1
47165021105,1
47073050502,1
47151975300,1
47043060602,1
47021070201,1
47103975300,1
47059090300,1
47011011300,1
47187051202,1
47187051201,1
47157021112,1
47031970500,1
47019070300,1
47123925502,1
47159975400,1
47037010401,1
47163042100,1
47053966500,1
47157021137,1
47037015502,1
47125102005,1
47161110200,1
47157022112,1
47163041400,1
47147080103,1
47037017500,1
47001020100,1
47097050504,1
47093005708,1
47037010302,1
47055920500,1
47113001502,1
47125101103,1
47011010100,1
47037015612,1
47037014200,1
47073050301,1
47149040307,1
47177930400,1
47015960200,1
47157020300,1
47065001600,1
47013951100,1
47171080200,1
47025970800,1
47187050102,1
47111970300,1
47157003000,1
47065011800,1
47091956300,1
47157003800,1
47179060800,1
47037015623,1
47145030202,1
47139950100,1
