id,,Geographic Area Name,Estimate!!Total!!Under 6 years!!Under .50,Estimate!!Total!!Under 6 years!!.50 to .74,Estimate!!Total!!Under 6 years!!.75 to .99,Estimate!!Total!!Under 6 years!!1.00 to 1.24,Estimate!!Total!!Under 6 years!!1.25 to 1.49,Estimate!!Total!!Under 6 years!!1.50 to 1.74,Estimate!!Total!!Under 6 years!!1.75 to 1.84,Estimate!!Total!!Under 6 years!!1.85 to 1.99,Estimate!!Total!!Under 6 years!!2.00 to 2.99,Estimate!!Total!!Under 6 years!!3.00 to 3.99,Estimate!!Total!!Under 6 years!!4.00 to 4.99,Estimate!!Total!!Under 6 years!!5.00 and over,Estimate!!Total!!6 to 11 years,Estimate!!Total!!6 to 11 years!!Under .50,Estimate!!Total!!6 to 11 years!!.50 to .74,Estimate!!Total!!6 to 11 years!!.75 to .99,Estimate!!Total!!6 to 11 years!!1.00 to 1.24,Estimate!!Total!!6 to 11 years!!1.25 to 1.49,Estimate!!Total!!6 to 11 years!!1.50 to 1.74,Estimate!!Total!!6 to 11 years!!1.75 to 1.84,Estimate!!Total!!6 to 11 years!!1.85 to 1.99,Estimate!!Total!!6 to 11 years!!2.00 to 2.99,Estimate!!Total!!6 to 11 years!!3.00 to 3.99,Estimate!!Total!!6 to 11 years!!4.00 to 4.99,Estimate!!Total!!6 to 11 years!!5.00 and over,Estimate!!Total!!12 to 17 years,Estimate!!Total!!12 to 17 years!!Under .50,Estimate!!Total!!12 to 17 years!!.50 to .74,Estimate!!Total!!12 to 17 years!!.75 to .99,Estimate!!Total!!12 to 17 years!!1.00 to 1.24,Estimate!!Total!!12 to 17 years!!1.25 to 1.49,Estimate!!Total!!12 to 17 years!!1.50 to 1.74,Estimate!!Total!!12 to 17 years!!1.75 to 1.84,Estimate!!Total!!12 to 17 years!!1.85 to 1.99,Estimate!!Total!!12 to 17 years!!2.00 to 2.99,Estimate!!Total!!12 to 17 years!!3.00 to 3.99,Estimate!!Total!!12 to 17 years!!4.00 to 4.99,Estimate!!Total!!12 to 17 years!!5.00 and over,n^M_i,n^H_i,n^U_i,n^O_i,p_i,,
1400000US47001020100,,"Census Tract 201, Anderson County, Tennessee",0,30,57,33,78,0,0,0,61,37,17,28,75,18,0,0,16,0,0,0,0,33,8,0,0,152,10,0,17,8,11,8,0,0,29,20,47,2,218.37,129.13,126.5,94,568,"For Tennessee, <133% of FPL as Medicaid, ",
1400000US47001020201,,"Census Tract 202.01, Anderson County, Tennessee",0,0,0,0,0,33,0,0,7,24,41,65,240,0,0,8,0,0,12,0,0,0,38,46,136,357,0,0,0,0,0,27,0,32,0,35,85,178,8,107.5,100.5,551,767,"133-255% as CHIP, 255-400% as w/out financial access, and >400% as private financial access",
1400000US47001020202,,"Census Tract 202.02, Anderson County, Tennessee",24,0,13,0,56,31,0,38,43,9,20,0,394,8,0,63,0,33,51,0,68,0,0,131,40,197,0,0,52,0,45,0,0,0,46,0,34,20,204.22,322.28,53.5,245,825,,
1400000US47001020300,,"Census Tract 203, Anderson County, Tennessee",51,9,49,0,62,9,8,0,107,14,35,38,322,19,0,0,0,71,14,0,0,131,54,22,11,408,6,0,0,0,5,44,0,18,155,133,27,20,179.54,381.96,397.5,153,1112,,population
1400000US47001020400,,"Census Tract 204, Anderson County, Tennessee",108,64,0,0,0,0,0,0,25,40,31,0,283,0,85,23,33,0,0,0,0,54,30,58,0,215,24,16,0,84,0,15,0,0,49,0,27,0,437,79,134,116,766,,1476498
1400000US47001020500,,"Census Tract 205, Anderson County, Tennessee",45,9,44,17,10,33,15,0,47,59,0,0,309,57,73,29,21,15,24,8,0,39,25,0,18,303,38,0,70,0,52,40,0,42,61,0,0,0,428.41,287.09,157.5,18,891,,
1400000US47001020600,,"Census Tract 206, Anderson County, Tennessee",13,5,38,5,6,11,2,4,42,11,5,20,241,10,5,13,61,5,0,4,0,66,13,19,45,203,10,5,12,24,10,0,6,0,58,11,24,43,207.93,124.07,118,156,606,,
1400000US47001020700,,"Census Tract 207, Anderson County, Tennessee",0,0,6,22,0,0,0,0,10,0,0,4,129,0,30,14,0,6,9,0,0,63,0,0,7,97,5,9,22,6,13,0,0,0,33,0,9,0,120.27,74.73,53,20,268,,
1400000US47001020800,,"Census Tract 208, Anderson County, Tennessee",74,0,0,0,36,0,0,4,92,26,4,58,426,170,0,7,0,39,53,7,18,88,35,5,4,203,21,13,16,0,29,10,22,5,47,13,6,21,335.32,302.18,187.5,98,923,,
1400000US47001020901,,"Census Tract 209.01, Anderson County, Tennessee",0,20,0,14,17,51,0,35,37,50,5,17,278,0,46,0,15,0,33,0,52,15,64,0,53,514,0,8,0,13,17,49,0,0,38,185,55,149,127.22,287.78,344,279,1038,,
1400000US47001020902,,"Census Tract 209.02, Anderson County, Tennessee",45,0,0,44,134,0,0,0,39,12,0,22,582,20,0,0,139,188,0,0,0,80,155,0,0,536,0,0,92,96,0,14,0,0,104,192,0,38,542.26,341.24,470.5,60,1414,,
1400000US47001021000,,"Census Tract 210, Anderson County, Tennessee",0,60,55,25,0,0,0,0,94,55,10,33,482,22,163,0,19,0,0,0,0,132,101,0,45,640,85,0,34,72,0,0,20,0,155,150,59,65,535,210.5,496.5,212,1454,,
1400000US47001021100,,"Census Tract 211, Anderson County, Tennessee",0,0,0,20,0,50,0,0,27,35,36,16,333,0,0,0,0,24,0,0,0,125,52,120,12,331,0,0,0,47,50,0,8,25,85,28,59,29,91.42,251.08,233.5,272,848,,
1400000US47001021201,,"Census Tract 212.01, Anderson County, Tennessee",66,27,7,0,0,0,0,0,87,17,23,12,292,39,36,31,10,0,0,0,6,86,53,18,13,355,0,35,46,6,0,19,0,6,58,98,0,87,303,146.5,283.5,153,886,,
