IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,hygienist_for_general_med,hygienist_for_general_chip,hygienist_for_pediatric_med,hygienist_for_pediatric_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1 CLINIC DR,BOYS RANCH,TX,79010-0009",1.0,0.5,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.53548,-102.288131,35.53548,-102.288131,1,0,0,1
"1 EUREKA CIR STE 103,WICHITA FALLS,TX,76308-2929",1.125,0.1,1.0,0.16666666666666666,0.0,0.3666666666666667,2.25,0.2,2.0,0.3333333333333333,33.86981247,-98.52626162,33.86981247,-98.52626162,1,0,0,1
"1 PROFESSIONAL PARK DR,WEBSTER,TX,77598-4123",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,29.54598467,-95.12776070000001,29.54598467,-95.12776070000001,1,0,0,1
"100 CARLOS G PARKER BLVD NW STE 110,TAYLOR,TX,76574-7059",3.5414682539682545,1.2854807028720072,0.0,0.0,0.0,0.0,7.082936507936509,2.5709614057440144,0.0,0.0,30.60076252,-97.41798949,30.60076252,-97.41798949,1,0,0,1
"100 E EBONY LN,EDINBURG,TX,78539-5648",1.4333333333333331,0.5,0.0,0.0,0.0,0.0,2.8666666666666663,1.0,0.0,0.0,26.29048017,-98.16348914,26.29048017,-98.16348914,1,0,0,1
"100 E PECAN BLVD,MCALLEN,TX,78501-9555",0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,26.21643767,-98.21603376,26.21643767,-98.21603376,1,0,0,1
"100 FORREST TER,MARSHALL,TX,75670-6804",1.0476190476190477,1.5416666666666663,0.0,0.0,0.0,0.0,2.095238095238096,3.0833333333333326,0.0,0.0,32.52800026,-94.37042982,32.52800026,-94.37042982,1,0,0,1
"100 KINGS FORT PKWY STE 100,KAUFMAN,TX,75142-3544",2.0587662337662342,0.4194444444444445,0.5284090909090909,0.9817922817922818,0.0,0.14285714285714285,4.1175324675324685,0.8388888888888891,1.056818181818182,1.963584563584564,32.57145415,-96.31060583,32.57145415,-96.31060583,1,0,0,1
"100 MEDICAL CENTER BLVD STE 109,CONROE,TX,77304-2821",1.5555555555555556,1.05,0.045454545454545456,0.0,0.0,0.0,3.111111111111111,2.1,0.09090909090909093,0.0,30.28791773,-95.46293517,30.28791773,-95.46293517,1,0,0,1
"100 MEDICAL CENTER BLVD STE 110,CONROE,TX,77304-2821",1.5055555555555555,0.8666666666666667,0.0,0.0,0.0,1.0,3.011111111111111,1.7333333333333334,0.0,0.0,30.28791773,-95.46293517,30.28791773,-95.46293517,1,0,0,1
"100 S AMERICAS AVE,EL PASO,TX,79907-6901",0.75,0.7,1.0,0.0,0.0,0.0,1.5,1.4,2.0,0.0,31.67964865,-106.3128893,31.67964865,-106.3128893,1,0,0,1
"100 S MAIN ST,LA FERIA,TX,78559-5005",2.2,0.3333333333333333,0.0,0.0,0.0,0.0,4.4,0.6666666666666666,0.0,0.0,26.15767679,-97.8240583,26.15767679,-97.8240583,1,0,0,1
"100 SAN ELIZARIO RD STE M,CLINT,TX,79836-6738",0.3333333333333333,1.2909090909090908,0.0,0.0,0.0,0.0,0.6666666666666666,2.5818181818181816,0.0,0.0,31.58721942,-106.23092369999999,31.58721942,-106.23092369999999,1,0,0,1
"100 WOLFE NURSERY RD STE 180,STEPHENVILLE,TX,76401-3767",2.585752740775624,2.5676464260555325,1.0,0.0,0.0,0.0,5.171505481551248,5.135292852111065,2.0,0.0,32.20490577,-98.23868063,32.20490577,-98.23868063,1,0,0,1
"1000 E ELDORADO PKWY STE 130,LITTLE ELM,TX,75068-6475",1.6761904761904762,0.25,0.0,0.0,0.0,0.0,3.3523809523809525,0.5,0.0,0.0,33.1688445,-96.92355905,33.1688445,-96.92355905,1,0,0,1
"1000 N FIELDER RD,ARLINGTON,TX,76012-3149",1.0,0.0,1.0,0.5,0.0,0.0,2.0,0.0,2.0,1.0,32.748489,-97.1317542,32.748489,-97.1317542,1,0,0,1
