idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator,hygienist_for_general,hygienist_for_pediatric
0,"#1 CLINIC DR.,BOYS RANCH,TX,79010",1.0,0.0,0.0,35.531195200000006,-102.2562362,1,0,2.0,0.0
1,"1 CLINIC DR,BOYS RANCH,TX,79010-0009",1.0,0.0,0.0,35.53548,-102.288131,1,0,2.0,0.0
2,"1 EUREKA CIR STE 103,WICHITA FALLS,TX,76308-2929",1.125,1.0,0.0,33.86981247,-98.52626162,1,0,2.25,2.0
3,"1 PROFESSIONAL PARK DR,WEBSTER,TX,77598-4123",0.0,1.0,0.0,29.54598467,-95.12776070000001,1,0,0.0,2.0
4,"100 CARLOS G PARKER BLVD NW STE 110,TAYLOR,TX,76574-7059",3.5414682539682545,0.0,0.0,30.60076252,-97.41798949,1,0,7.082936507936509,0.0
5,"100 E EBONY LN,EDINBURG,TX,78539-5648",1.4333333333333331,0.0,0.0,26.29048017,-98.16348914,1,0,2.8666666666666663,0.0
6,"100 E PECAN BLVD,MCALLEN,TX,78501-9555",0.5,0.0,0.3333333333333333,26.21643767,-98.21603376,1,0,1.0,0.0
7,"100 FORREST TER,MARSHALL,TX,75670-6804",1.0476190476190477,0.0,0.0,32.52800026,-94.37042982,1,0,2.095238095238096,0.0
8,"100 KINGS FORT PKWY STE 100,KAUFMAN,TX,75142-3544",2.0587662337662342,0.5284090909090909,0.0,32.57145415,-96.31060583,1,0,4.1175324675324685,1.056818181818182
9,"100 KINGS FORT PKWY,KAUFMAN,TX,75142-3536",0.5178571428571428,0.7477073365231259,0.16666666666666666,32.57145415,-96.31060583,1,0,1.0357142857142856,1.495414673046252
10,"100 MEDICAL CENTER BLVD STE 109,CONROE,TX,77304-2821",1.5555555555555556,0.045454545454545456,0.0,30.28791773,-95.46293517,1,0,3.111111111111111,0.09090909090909093
11,"100 MEDICAL CENTER BLVD STE 110,CONROE,TX,77304-2821",1.5055555555555555,0.0,0.0,30.28791773,-95.46293517,1,0,3.011111111111111,0.0
12,"100 N CENTRAL EXPY STE 1108,RICHARDSON,TX,75080-5328",1.0,0.3333333333333333,0.0,32.95108358,-96.73388517,1,0,2.0,0.6666666666666666
13,"100 N N ST,MIDLAND,TX,79701-6409",0.16666666666666666,0.0,0.0,31.99393028,-102.096813,1,0,0.3333333333333333,0.0
14,"100 S AMERICAS AVE,EL PASO,TX,79907-6901",0.75,1.0,0.0,31.67964865,-106.3128893,1,0,1.5,2.0
15,"100 S MAIN ST,LA FERIA,TX,78559-5005",2.2,0.0,0.0,26.15767679,-97.8240583,1,0,4.4,0.0
16,"100 SAN ELIZARIO RD STE M,CLINT,TX,79836-6738",0.3333333333333333,0.0,0.0,31.58721942,-106.23092369999999,1,0,0.6666666666666666,0.0
17,"100 SAN ELIZARIO RD UNIT M,CLINT,TX,79836-6738",2.0,0.0,0.0,31.58721942,-106.23092369999999,1,0,4.0,0.0
18,"100 W PIONEER PKWY STE 106,ARLINGTON,TX,76010-6111",2.0,0.0,0.0,32.70801951,-97.10897319,1,0,4.0,0.0
19,"100 WOLFE NURSERY RD STE 180,STEPHENVILLE,TX,76401-3767",2.585752740775624,1.0,0.0,32.20490577,-98.23868063,1,0,5.171505481551248,2.0
20,"1000 E CAMPBELL RD STE 116,RICHARDSON,TX,75081-1855",1.5,0.0,0.0,32.97521153,-96.70709491,1,0,3.0,0.0
21,"1000 E ELDORADO PKWY STE 130,LITTLE ELM,TX,75068-6475",1.6761904761904762,0.0,0.0,33.1688445,-96.92355905,1,0,3.3523809523809525,0.0
22,"1000 LEE DR,BAYTOWN,TX,77520-6980",1.0,0.0,0.0,29.72679097,-94.97838837,1,0,2.0,0.0
23,"1000 N FIELDER RD,ARLINGTON,TX,76012-3149",1.0,1.0,0.0,32.748489,-97.1317542,1,0,2.0,2.0
24,"1000 N MIDKIFF RD # B-6,MIDLAND,TX,79701-2101",0.9625526978468156,0.15725806451612906,0.0,32.00029409,-102.118602,1,0,1.9251053956936317,0.3145161290322581
25,"1000 N MIDKIFF RD STE 23,MIDLAND,TX,79701-2101",0.14285714285714285,0.0,0.0,32.00029409,-102.118602,1,0,0.2857142857142857,0.0
26,"1000 N MIDKIFF RD STE 6,MIDLAND,TX,79701-2133",0.06666666666666668,0.0,0.0,32.00029409,-102.118602,1,0,0.13333333333333336,0.0
27,"1000 N MIDKIFF RD STE 6B,MIDLAND,TX,79701-2133",1.1222095708155868,0.0,0.0,32.00029409,-102.118602,1,0,2.2444191416311736,0.0
28,"1000 N MIDKIFF RD STE B-6,MIDLAND,TX,79701-2101",2.605274118625732,0.18253968253968253,0.029411764705882363,32.00029409,-102.118602,1,0,5.210548237251464,0.36507936507936506
29,"1000 N MIDKIFF RD,MIDLAND,TX,79701-2101",0.02325581395348837,0.0,0.0,32.00029409,-102.118602,1,0,0.04651162790697674,0.0
30,"1000 N STATE HIGHWAY 289,PROSPER,TX,75078-8779",0.0,1.0,0.0,33.24579089,-96.78521024,1,0,0.0,2.0
31,"1000 S MIDKIFF RD # B6,MIDLAND,TX,79701-7132",0.1880341880341881,0.0,0.0,31.978692,-102.11153440000001,1,0,0.3760683760683762,0.0
32,"1000 W ROSEMEADE PKWY STE 100,CARROLLTON,TX,75007-6222",1.4677206851119895,1.0,0.0,33.01134418,-96.9118112,1,0,2.9354413702239786,2.0
33,"10000 HARWIN DR STE A,HOUSTON,TX,77036-1671",3.0,0.0,0.0,29.71782026,-95.53998693,1,0,6.0,0.0
34,"10001 S INTERSTATE 35 STE 350,AUSTIN,TX,78747-1705",1.0,0.07142857142857142,0.5333333333333333,30.15627679,-97.79022066,1,0,2.0,0.14285714285714285
35,"10001 S INTERSTATE 35,AUSTIN,TX,78747-1701",0.0,0.0,0.16666666666666666,30.15627679,-97.79022066,1,0,0.0,0.0
36,"10003 NW MILITARY HWY STE 3201,SAN ANTONIO,TX,78231-1892",0.5333333333333333,0.125,0.0,29.55486019,-98.53394016,1,0,1.0666666666666669,0.25
37,"10009 N LAMAR BLVD STE C,AUSTIN,TX,78753-4117",1.0,0.0,0.0,30.37002151,-97.69308563,1,0,2.0,0.0
38,"10009 N LAMAR BLVD,AUSTIN,TX,78753-4117",2.0,0.0,0.0,30.37002151,-97.69308563,1,0,4.0,0.0
39,"10009 N MACARTHUR BLVD STE 105,IRVING,TX,75063-5082",1.0,0.0,0.0,32.94146652,-96.95223574,1,0,2.0,0.0
40,"1001 E MILAM ST,MEXIA,TX,76667-2502",3.0769230769230766,0.0,0.2,31.68480495,-96.47124737,1,0,6.1538461538461515,0.0
41,"1001 HIGHLAND PARK AVE STE G,MISSION,TX,78572-4468",1.41025641025641,0.0,0.0,26.21458135,-98.31365209,1,0,2.82051282051282,0.0
42,"1001 NE GREEN OAKS BLVD STE 129,ARLINGTON,TX,76006-2300",1.0,0.0,0.0,32.78466745,-97.09434039,1,0,2.0,0.0
