idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"10 CHATHAM HEIGHTS RD,FREDERICKSBURG,VA,22405-2566",0.716666667,0.333333333,2.277777778,38.30627395,-77.452273,1,0
1,"100 DMV DR,KILMARNOCK,VA,22482-3843",0,0,0.5,37.69824756,-76.38914038,1,0
2,"100 PROFESSIONAL PARK DR SE STE 1,BLACKSBURG,VA,24060-6736",0,0,1.5,37.19758558,-80.40101528,1,0
3,"1000 E BROAD ST,RICHMOND,VA,23219-1930",0,0.142857143,0,37.5402886,-77.43296544,1,0
4,"1000 WILSON BLVD STE M745,ROSSLYN,VA,22209-3922",0.25,0,0,38.89409794,-77.06860161,1,0
5,"10007 JEFFERSON DAVIS HWY STE 125,FREDERICKSBURG,VA,22407-9428",0.333333333,0,0,38.22244047,-77.5069315,1,0
6,"1001 E STUART DR,GALAX,VA,24333-2511",0,0,1,36.68176105,-80.8935061,1,0
7,"1001 N FAIRFAX ST STE 100,ALEXANDRIA,VA,22314-2084",0.5,0,0,38.81468132,-77.03986838,1,0
8,"1001 N FAIRFAX ST,ALEXANDRIA,VA,22314-1797",0.333333333,0,0,38.81507289,-77.04022991,1,0
9,"1001 W NINE MILE RD,HENRICO,VA,23075-1146",0.333333333,0,0,37.55092459,-77.33501609,1,0
10,"1005 HEATHERCROFT CIR STE 200,CROZET,VA,22932-3373",0.111111111,0,0.142857143,38.05841939,-78.70941977,1,0
11,"1005 HEATHERCROFT CIR STE 300,CROZET,VA,22932-3369",0,0.25,0,38.05841939,-78.70941977,1,0
12,"1005 N GLEBE RD STE 460,ARLINGTON,VA,22201-5932",1.25,0,0,38.88297717,-77.11612936,1,0
13,"10068 DUMFRIES RD,MANASSAS,VA,20110-7949",0.916666667,0,0,38.7394866,-77.47180672,1,0
14,"10081 MARKET CIR,MANASSAS,VA,20110-2120",0,0,0.333333333,38.73948305,-77.45410533,1,0
15,"1009 CROWDER DR,MIDLOTHIAN,VA,23113-4237",0,0,0.666666667,37.50421412,-77.6506984,1,0
16,"101 ARCHWAY CT,LYNCHBURG,VA,24502-2890",0,0,1.666666667,37.36350129,-79.24611604,1,0
17,"101 AUBREYS LOOP,SOUTH BOSTON,VA,24592-5054",2,0,0,36.726495,-78.90898399,1,0
18,"101 COWARDIN AVE STE 306,RICHMOND,VA,23224-2078",2.7,0,0,37.51935968,-77.44915545,1,0
19,"101 ELM AVE SE,ROANOKE,VA,24013-2222",2.366666667,1,1,37.26675556,-79.93963204,1,0
20,"101 S WHITING ST STE 100,ALEXANDRIA,VA,22304-3416",0.333333333,0,0.142857143,38.8135946,-77.13701016,1,0
21,"101 S WHITING ST STE 313,ALEXANDRIA,VA,22304-3416",1,0,0,38.8135946,-77.13702014,1,0
22,"101 S WHITING ST,ALEXANDRIA,VA,22304-3418",1,0,0,38.8135946,-77.13701016,1,0
23,"1010 AMHERST ST,WINCHESTER,VA,22601-3308",0,0,0.833333333,39.18911626,-78.18062936,1,0
24,"1010 N GLEBE RD STE 120,ARLINGTON,VA,22201-5761",1,0,0,38.88341265,-77.11657307,1,0
25,"10101 BROOK RD,GLEN ALLEN,VA,23059-4225",3.376190476,0,0,37.67443277,-77.45963741,1,0
26,"10120 ROBIOUS RD,NORTH CHESTERFIELD,VA,23235-4432",2,0,0,37.50771516,-77.58265283,1,0
27,"1016 N HIGHLAND ST STE 131,ARLINGTON,VA,22201-2112",0,0,1,38.8848747,-77.09467789,1,0
28,"10164 W BROAD ST,GLEN ALLEN,VA,23060-3303",0,0.5,0,37.64576537,-77.57446987,1,0
29,"10170 STAPLES MILL RD STE B,GLEN ALLEN,VA,23060-3450",0,0,1,37.655568,-77.52498299,1,0
30,"102 15TH ST NW STE 302,NORTON,VA,24273-1627",1,0,0,36.93220562,-82.64260843,1,0
31,"102 ELDEN ST STE 17,HERNDON,VA,20170-4827",1,0,0,38.96638045,-77.36645013,1,0
32,"102 HERITAGE WAY NE STE 100,LEESBURG,VA,20176-4544",1,0,0,39.11464695,-77.54152616,1,0
33,"102 WESTERN AVE,SUFFOLK,VA,23434-4434",1.5,0,0,36.73657131,-76.58269709,1,0
34,"1020 ELDEN ST STE 106,HERNDON,VA,20170-3800",0.333333333,0,0,38.96786608,-77.39553818,1,0
35,"1020 JEFFERSON AVE,WAYNESBORO,VA,22980-5527",0.04,0,0,38.05649922,-78.89956839,1,0
36,"1021 EDEN WAY N STE 128,CHESAPEAKE,VA,23320-2776",0,0,0.333333333,36.77685862,-76.22526982,1,0
37,"10246 KINGS HWY,KING GEORGE,VA,22485-3429",1,0.583333333,1,38.26187589,-77.16883193,1,0
38,"10298 BRISTOW CENTER DR,BRISTOW,VA,20136-2200",0,0,1,38.73347398,-77.54990366,1,0
39,"103 E BROAD ST,BLACKSTONE,VA,23824-1815",0.083333333,0,0,37.08044224,-77.99740201,1,0
40,"103 HIGHLANDER RD,STEPHENS CITY,VA,22655-2916",0.25,0,0,39.07984733,-78.20870558,1,0
41,"1032 VOLVO PKWY STE 3,CHESAPEAKE,VA,23320-8603",0.392857143,0.25,0,36.76950349,-76.22437049,1,0
