,State_County_Tract_FIPS_Code
51810045424,57
51810045000,48
51810042400,46
51059470400,43
51760030200,42
51810044600,39
51059440600,36
51810046207,34
51059460702,34
51059440100,32
51760050500,32
51085320300,31
51810041002,29
51003011000,29
51107611014,29
51840000202,27
51810041200,26
51087200413,25
51610500200,25
51041100924,23
51059480202,22
51059482202,22
51510200500,21
51059482301,21
51059431802,21
51013100300,21
51041100912,21
51510201900,20
51660000205,20
51059451601,19
51630000500,19
51013101900,19
51550020807,19
51153901411,19
51041100928,18
51700031800,18
51059460501,18
51107611024,18
51041100508,18
51059460200,17
51059450602,17
51059471000,17
51041101007,17
51059480402,17
51013103402,16
51059470500,16
51161030300,16
51059490103,16
51059491803,15
51059492100,15
51061930302,15
51059430600,15
51840000201,15
51550021200,15
51087200109,15
51107611021,15
51013101404,15
51760050600,15
51059451300,15
51059480300,14
51041100505,14
51700032128,14
51510201801,14
51087200121,14
51760030500,13
51700032113,13
51059480802,13
51680000202,13
51059432202,13
51087200409,13
51830370100,12
51087200301,12
51003010700,12
51165011700,12
51059415200,12
51087200126,12
51059430801,12
51550021501,12
51003011202,12
51107611501,12
51095080402,12
51650010313,12
51019030104,12
51095080203,12
51059461202,12
51003010401,11
51107611207,11
51015070600,11
51041100920,11
51107611804,11
51153901224,11
51013101603,11
51059482602,11
51095080202,11
51760040400,11
51153901403,11
51059430901,11
51059461500,11
51161030801,11
51107610506,10
51121020400,10
51107610201,10
51770002100,10
51153900403,10
51013101801,10
51143011200,10
51041100915,10
51015070500,10
51059452301,10
51199050402,10
51075400100,10
51059440201,10
51630000200,10
51107610300,10
51680000300,10
51095080205,10
51710004900,10
51107611009,10
51059482501,9
51760050400,9
51550021009,9
51059461802,9
51550021004,9
51059460400,9
51153901504,8
51013101702,8
51087200119,8
51153901507,8
51153901228,8
51085320702,8
51047930201,8
51161030702,8
51590000200,8
51710003700,8
51199050205,8
51059452000,8
51770001200,8
51145500200,8
51059422402,8
51107611102,8
51760071002,8
51059452502,8
51700031500,8
51023040302,8
51059482400,8
51680001600,8
51041100902,7
51740210300,7
51041100907,7
51790000600,7
51059481105,7
51107611206,7
51085321002,7
51191010300,7
51013101300,7
51107611806,7
51067020900,7
51683910401,7
51107611802,7
51059431600,7
51059490101,7
51199051000,7
51153901208,7
51095080101,7
51059461201,7
51059470700,7
51059452200,7
51041100821,7
51059461100,7
51690000300,7
51760070900,6
51600300200,6
51165011200,6
51590000800,6
51087200120,6
51087200104,6
51059482203,6
51800075102,6
51059452501,6
51550020906,6
51003010300,6
51179010212,6
51107611019,6
51153900501,6
51079030200,6
51085320900,6
51540000800,6
51197050200,6
51550020804,6
51177020307,6
51510200102,6
51550021602,6
51087200127,6
51013101403,6
51770002900,6
51153901410,6
51085321300,6
51515050100,6
51179010406,6
51059491501,6
51059491102,6
51059491401,6
51003010202,6
51153901001,6
51107611025,6
51161030600,6
51059432000,6
51121021100,6
51059415500,6
51800075401,5
51161030802,5
51087200503,5
51059490502,5
51053840300,5
51735340200,5
51149850301,5
51059481600,5
51059440202,5
51095080304,5
51059480901,5
51153901408,5
51041100409,5
51177020406,5
51127700100,5
51059451900,5
51161030205,5
51013102901,5
51177020306,5
51510200900,5
51161030204,5
51059461000,5
51153900502,5
51085321402,5
51173030301,5
51107611006,5
51790000500,5
51043010100,5
51059421001,5
51059422301,5
51059422101,5
51041100927,5
51153900904,5
51683910201,5
51550021010,5
51059492500,5
51177020304,5
51059461700,5
51013102302,5
51085320804,5
51013100500,5
51107611208,5
51199050304,5
51165010200,5
51087200106,5
51133020300,5
51800075202,5
51061930403,5
51187020601,5
51107611015,5
51710001400,5
51059491101,4
51700032006,4
51059461602,4
51770001800,4
51087200202,4
51041100935,4
51059452400,4
51530930600,4
51059450702,4
51087200303,4
51683910100,4
51087200201,4
51173030701,4
51107611002,4
51107611502,4
51107610503,4
51163930300,4
51153901900,4
51041100822,4
51059421102,4
51107611803,4
51041100703,4
51107611004,4
51161031000,4
51770003000,4
51089010300,4
51540000302,4
51113930200,4
51750010200,4
51145500101,4
51550021005,4
51171040500,4
51550020805,4
51510200201,4
51109950201,4
51003011100,4
51059416300,4
51155210300,4
51107610702,4
51740213200,4
51760070100,4
51059440300,4
51650010304,4
51177020106,4
51061930205,4
51153901009,4
51710005500,4
51700032127,4
51085320803,4
51678930500,4
51059431001,4
51145500102,4
51117930200,4
51059482601,4
51600300100,4
51149850302,4
51191010502,4
51019030603,4
51735340300,4
51059421002,4
51740210900,4
51800075701,4
51003010902,4
51179010204,4
51041100936,4
51107980100,4
51153901100,4
51740213101,4
51650010312,3
51620090100,3
51059421300,3
51153900702,3
51141030100,3
51041101011,3
51179010105,3
51059481500,3
51047930502,3
51059432500,3
51510200406,3
51085320601,3
51059491301,3
51019030101,3
51089011100,3
51107611012,3
51073100203,3
51650011400,3
51013102100,3
51510200703,3
51041101008,3
51107610900,3
51041100403,3
51177020104,3
51073100400,3
51143011300,3
51053840500,3
51085320200,3
51740213002,3
51710000902,3
51171040100,3
51031020401,3
51059482302,3
51087200107,3
51550021301,3
51153901407,3
51153901231,3
51007930200,3
51760061000,3
51800075201,3
51059422302,3
51069050801,3
51059470100,3
51153901416,3
51059430101,3
51059420300,3
51059491303,3
51059471202,3
51830370300,3
51550021601,3
51059431400,3
51041100805,3
51119951000,3
51087201101,3
51165011800,3
51095080206,3
51153901412,3
51650010306,3
51087200124,3
51550020809,3
51165011500,3
51041100804,3
51680001700,3
51153901221,3
51640070101,3
51550020904,3
51059491502,3
51095080303,3
51041100910,3
51059460502,3
51650010702,3
51013101500,3
51153901233,3
51031020600,3
51775010501,3
51191010200,3
51153901510,3
51059432201,3
51013100900,3
51161030701,3
51099040100,3
51710001600,3
51710002500,3
51059430400,3
51023040402,3
51059480502,3
51077060202,3
51059416200,3
51059481101,3
51087201201,3
51059416000,3
51059491702,3
51149850200,3
51550020806,3
51041100931,3
51099040200,3
51600300500,3
51083930301,3
51179010503,3
51135980100,3
51065020300,3
51109950300,3
51680001800,3
51139030100,2
51087200105,2
51800075404,2
51800075702,2
51057950700,2
51139030200,2
51107611300,2
51171040700,2
51153901010,2
51001090800,2
51121020600,2
51069050200,2
51770000400,2
51019030103,2
51089010200,2
51003010500,2
51520020200,2
51003010601,2
51035080200,2
51770001000,2
51069050900,2
51710001200,2
51059481103,2
51093280103,2
51760041000,2
51059432702,2
51820003400,2
51059420400,2
51770000601,2
51035080500,2
51087201701,2
51059461601,2
51005080100,2
51660000401,2
51700031902,2
51085321201,2
51800065200,2
51101950200,2
51650010311,2
51121020800,2
51059480201,2
51195931200,2
51520020100,2
51199050305,2
51670820400,2
51710006901,2
51510200701,2
51087201502,2
51067020300,2
51107611900,2
51059480902,2
51021040100,2
51111930200,2
51161031101,2
51107611005,2
51199050500,2
51107611013,2
51153901209,2
51199050401,2
51179010303,2
51760040800,2
51107610507,2
51083930600,2
51199050204,2
51177020310,2
51153901505,2
51820003100,2
51153901506,2
51059491705,2
51059452101,2
51083930400,2
51059430202,2
51087200502,2
51630000100,2
51009010402,2
51177020114,2
51073100500,2
51059460100,2
51177020111,2
51019030605,2
51105950400,2
51081880200,2
51019030504,2
51011040300,2
51059470900,2
51059470800,2
51161031102,2
51087200700,2
51153901508,2
51187020200,2
51085320602,2
51059491202,2
51133020200,2
51179010301,2
51191010501,2
51680000100,2
51059480801,2
51680000201,2
51185021100,2
51163930200,2
51013101802,2
51179010304,2
51103030200,2
51760050300,2
51069050100,2
51071930400,2
51107611023,2
51147930100,2
51059421200,2
51153900801,2
51087200804,2
51199050306,2
51169030100,2
51147930201,2
51650010200,2
51041100926,2
51087201404,2
51775010200,2
51015071200,2
51059451502,2
51510201203,2
51175200400,2
51059440501,2
51067020102,2
51680000801,2
51031020300,2
51710006000,2
51059420202,2
51550021302,2
51041100823,2
51177020109,2
51019030201,2
51740213001,2
51550021502,2
51059482002,2
51650010104,2
51109950100,2
51700032130,2
51107610505,2
51059470300,2
51087200600,2
51121020201,2
51059415800,2
51059480203,2
51093280101,2
51760050100,2
51660000102,2
51700030100,2
51153901211,2
51165010600,2
51153901219,2
51087200905,2
51059420800,2
51061930706,2
51087200112,2
51059432300,2
51650010400,2
51087200116,2
51059481900,2
51165010800,2
51017920100,2
51009010200,2
51087201001,2
51107610800,1
51191010402,1
51660000302,1
51019030401,1
51650010307,1
51710002300,1
51137110200,1
51510200107,1
51041101012,1
51041100812,1
51177020204,1
51735340100,1
51013103503,1
51153901232,1
51159040100,1
51059492000,1
51161030500,1
51179010211,1
51760010402,1
51131930300,1
51710004002,1
51153901212,1
51059490501,1
51175200500,1
51125950200,1
51025930203,1
51087200406,1
51610500100,1
51013102801,1
51710002400,1
51540000401,1
51710006502,1
51059430802,1
51191010700,1
51093280300,1
51550021006,1
51670820300,1
51760070400,1
51059491703,1
51095080401,1
51143010600,1
51059492202,1
51149850100,1
51059430902,1
51077060102,1
51079030102,1
51730810400,1
51013101100,1
51059420503,1
51550021012,1
51019030300,1
51015071102,1
51013100800,1
51059415900,1
51027010600,1
51650011200,1
51179010103,1
51001090100,1
51650010701,1
51161030201,1
51775010300,1
51093280106,1
51131930100,1
51550021102,1
51510200103,1
51540000201,1
51710006602,1
51093280200,1
51197050301,1
51107611700,1
51059421701,1
51059420201,1
51117930800,1
51710001700,1
51153900300,1
51059491403,1
51001090600,1
51121021500,1
51600300300,1
51031020102,1
51640070102,1
51041100407,1
51003011301,1
51029930201,1
51700032132,1
51057950600,1
51001090700,1
51059415700,1
51059452102,1
51165010900,1
51185020800,1
51061930304,1
51660000301,1
51059480501,1
51107611020,1
51199050303,1
51165010500,1
51680000500,1
51121021300,1
51520020400,1
51059431900,1
51073100201,1
51041100208,1
51760071100,1
51047930300,1
51059482001,1
51107611011,1
51650011500,1
51001090400,1
51650011600,1
51510200702,1
51099040400,1
51810046206,1
51061930100,1
51029930101,1
51069050600,1
51770000300,1
51059450800,1
51161030900,1
51153901417,1
51540001000,1
51059421103,1
51117930400,1
51059422202,1
51035080602,1
51143011002,1
51107611010,1
51510200202,1
51187020602,1
51710002200,1
51800075301,1
51177020108,1
51740211900,1
51059422201,1
51177020404,1
51710004001,1
51013100700,1
51075400400,1
51117930600,1
51720960100,1
51137110103,1
51107610703,1
51087200122,1
51550020400,1
51059422102,1
51059431500,1
51091970100,1
51059432701,1
51660000101,1
51031020402,1
51059491704,1
51085321100,1
51085320400,1
51003010402,1
51770000602,1
51013102400,1
51101950102,1
51510201802,1
51059491701,1
51510201204,1
51059440502,1
51770002300,1
51690000500,1
51083930500,1
51153901005,1
51590000700,1
51013102500,1
51167030200,1
51800075204,1
51660000204,1
51171040202,1
51510201300,1
51107611601,1
51195931600,1
51059491801,1
51059450701,1
51067020101,1
51790000100,1
51760070802,1
51003011400,1
51085321403,1
51105950300,1
51069050500,1
51187020100,1
51063920101,1
51059421500,1
51013102200,1
51790000400,1
51700032129,1
51013101803,1
51710000600,1
51069051102,1
51013103800,1
51041100509,1
51155210400,1
51760040700,1
51179010205,1
51033030100,1
51760050200,1
51013102600,1
51059415401,1
51071930200,1
51093280400,1
51185020200,1
51710006603,1
51013102902,1
51760020500,1
51740212900,1
51059492201,1
51003010800,1
51107610202,1
51740212600,1
51540000202,1
51153901011,1
51550021101,1
51107610102,1
51015071101,1
51760041600,1
51710000500,1
51013103200,1
51033030202,1
51167030600,1
51510201600,1
51760070602,1
51153901223,1
51510200303,1
51003010100,1
51059440702,1
51510201400,1
51770002500,1
51143011400,1
51153901511,1
51153901503,1
51041100921,1
51041100929,1
51071930300,1
51069050802,1
51107611805,1
51107611801,1
51830370200,1
51107610701,1
51087200128,1
51710000400,1
51087200108,1
51041100106,1
51107611205,1
51041101010,1
51085321202,1
51059491802,1
51059491000,1
51031020500,1
51800075203,1
51187020700,1
51177020305,1
51025930100,1
51041100919,1
51810044807,1
51013103501,1
51059451800,1
51191010100,1
51540000600,1
51590001400,1
51059471100,1
51107610603,1
51005080302,1
51153901602,1
51700032226,1
51710003000,1
51093280104,1
51025930300,1
51059432800,1
51710007001,1
51191010401,1
51107610604,1
51041100930,1
51041100934,1
51041100922,1
51117930102,1
51710002800,1
51059482201,1
51510202001,1
51013101200,1
51059481701,1
51153901230,1
51059461801,1
51059482303,1
51053840100,1
51059440701,1
51149850400,1
51023040301,1
51041100510,1
51061930705,1
51155210600,1
51700032126,1
51045050100,1
51730811200,1
51683910202,1
51059415402,1
51121020700,1
51153900701,1
51199050206,1
51171040800,1
51810046400,1
51061930402,1
51059432600,1
51107610400,1
51163930100,1
51059421600,1
51700032001,1
51059481102,1
51059431801,1
51059481106,1
51760040500,1
51059421800,1
51840000301,1
51019030601,1
51510200600,1
51177020105,1
51510200404,1
51059482503,1
51760070300,1
51015070400,1
51157950100,1
51179010206,1
51087200411,1
51179010214,1
51179010210,1
51031020200,1
51195930800,1
51143010500,1
51700031100,1
51003011303,1
51117930101,1
51197050100,1
51630000400,1
51041100410,1
51119951200,1
