IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"#37 MADDEX PROFFESIONAL CENTER RTE 45W,SHEPHERDSTOWN,WV,25443",1.0,1.0,0.0,0.0,0.0,0.0,39.439499700000006,-77.82034329,39.439499700000006,-77.82034329,1.0,0.0,0.0,1.0
"1 EAGLE WAY,CLARKSBURG,WV,26301-9784",0.04651162790697674,0.04651162790697674,0.0,0.0,0.0,0.0,39.26598861,-80.35152861,39.26598861,-80.35152861,1.0,0.0,0.0,1.0
"1 FRENCH ST,CLENDENIN,WV,25045",1.0,1.0,0.0,0.0,0.0,0.0,38.48736,-81.35234738,38.48736,-81.35234738,1.0,0.0,0.0,1.0
"1 HIGHLANDER WAY,HUNTINGTON,WV,25701-5261",0.4908496732026144,0.4908496732026144,0.0,0.0,0.0,0.0,38.39381297,-82.39554492,38.39381297,-82.39554492,1.0,0.0,0.0,1.0
"1 MEDICAL CENTER DR,MORGANTOWN,WV,26506-1200",14.5,14.5,0.0,0.0,10.0,10.0,39.65333076,-79.95926164,39.65333076,-79.95926164,1.0,0.0,0.0,1.0
"1 MOUNTAINEER DR,CLARKSBURG,WV,26301-5511",0.04651162790697674,0.04651162790697674,0.0,0.0,0.0,0.0,39.27652547,-80.39936394,39.27652547,-80.39936394,1.0,0.0,0.0,1.0
"1 PARK VIEW LN,WHEELING,WV,26003-5442",1.0,1.0,0.0,0.0,0.0,0.0,40.05216277,-80.66610934,40.05216277,-80.66610934,1.0,0.0,0.0,1.0
"1 PHYSICIANS PLAZA SUITE A,LOCHGELLY,WV,25866",3.5,3.5,0.0,0.0,0.0,0.0,37.9992412,-81.13912114,37.9992412,-81.13912114,1.0,0.0,0.0,1.0
"1 PIONEER PATH,MAN,WV,25635-1235",0.06666666666666668,0.06666666666666668,0.0,0.0,0.0,0.0,37.72808197,-81.85582832,37.72808197,-81.85582832,1.0,0.0,0.0,1.0
"1 TIMBERWOLF LN,HUNTINGTON,WV,25704-9377",0.4908496732026144,0.4908496732026144,0.0,0.0,0.0,0.0,38.37967365,-82.52623612,38.37967365,-82.52623612,1.0,0.0,0.0,1.0
"1 WILDCAT WAY,LOGAN,WV,25601-3474",0.06666666666666668,0.06666666666666668,0.0,0.0,0.0,0.0,37.8507191,-81.99570984,37.8507191,-81.99570984,1.0,0.0,0.0,1.0
"100 CARTER BRAXTON DR,SUTTON,WV,26601-9773",0.04651162790697674,0.04651162790697674,0.0,0.0,0.0,0.0,38.69500376,-80.66438003,38.69500376,-80.66438003,1.0,0.0,0.0,1.0
"100 FLORIDA ST,BIG CHIMNEY,WV,25302-1131",9.75,9.083333333333332,0.0,0.0,0.0,0.0,38.36485597,-81.66178514,38.36485597,-81.66178514,1.0,0.0,0.0,1.0
"100 FLORIDA ST,CHARLESTON,WV,25302-1131",0.20192307692307693,0.20192307692307693,0.0,0.0,0.0,0.0,38.36485597,-81.66178514,38.36485597,-81.66178514,1.0,0.0,0.0,1.0
"100 GREENBRIER PLZ,FAIRMONT,WV,26554-1735",2.0,2.0,0.0,0.0,0.0,0.0,39.49464045,-80.15637146,39.49464045,-80.15637146,1.0,0.0,0.0,1.0
"100 KANAWHA BLVD W,CHARLESTON,WV,25302-2300",0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,38.35718466,-81.64722888,38.35718466,-81.64722888,1.0,0.0,0.0,1.0
"100 MORRISON DR,PRINCETON,WV,24740-2322",1.0,1.0,0.0,0.0,0.0,0.0,37.36577097,-81.11487224,37.36577097,-81.11487224,1.0,0.0,0.0,1.0
"100 PIONEER RD,WAYNE,WV,25570-9504",0.4908496732026144,0.4908496732026144,0.0,0.0,0.0,0.0,38.248334,-82.43476457,38.248334,-82.43476457,1.0,0.0,0.0,1.0
"1000 PARKWAY RD,SOUTH CHARLESTON,WV,25309",1.5,1.5,0.0,0.0,0.0,0.0,38.31555792,-81.71377207,38.31555792,-81.71377207,1.0,0.0,0.0,1.0
"10003 WEBSTER RD,CAMDEN ON GAULEY,WV,26208-7713",0.5,0.5,0.0,0.0,0.0,0.0,38.36520702,-80.61175599,38.36520702,-80.61175599,1.0,0.0,0.0,1.0
"10009 MACCORKLE AVE,MARMET,WV,25315-1913",1.0,1.0,0.0,0.0,0.0,0.0,38.24271366,-81.5639299,38.24271366,-81.5639299,1.0,0.0,0.0,1.0
"1003 SUSHRUTA DR,MARTINSBURG,WV,25401-8876",3.0,3.0,0.0,0.0,0.0,0.0,39.47483617,-77.97357866,39.47483617,-77.97357866,1.0,0.0,0.0,1.0
"1004 SUSHRUTA DR STE B,MARTINSBURG,WV,25401-8801",0.0,0.0,0.0,0.0,1.0,1.0,39.47462182,-77.97368582,39.47462182,-77.97368582,1.0,0.0,0.0,1.0
"1007 SUSHRUTA DR,MARTINSBURG,WV,25401-8876",1.0,1.0,0.0,0.0,2.0,1.0,39.47458220000001,-77.97361571,39.47458220000001,-77.97361571,1.0,0.0,0.0,1.0
"100A PRESTIGE PARK DR,HURRICANE,WV,25526-8417",0.25,0.25,0.0,0.0,1.0,1.0,38.46214174,-81.93257768,38.46214174,-81.93257768,1.0,0.0,0.0,1.0
"1016 MAPLE DR STE 103,MORGANTOWN,WV,26505-2893",2.125,2.125,0.0,0.0,0.16666666666666666,0.16666666666666666,39.65693768,-79.94966712,39.65693768,-79.94966712,1.0,0.0,0.0,1.0
