IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1065 MAIN ST,MILTON,WV,25541",,1.0,,0.0,,0.0,,,38.43450739,-82.13365589,,,0.0,1.0
"142 HOLIDAY LN,LEWISBURG,WV,24901-9381",,1.0,,0.0,,0.0,,,37.80617139,-80.46105529,,,0.0,1.0
"230 LAKEWOOD CTR,MORGANTOWN,WV,26508-4457",,2.0,,0.0,,0.0,,,39.678855,-79.85397049,,,0.0,1.0
"304 RIVERVIEW DR,SUTTON,WV,26601-1343",,1.0,,0.0,,0.0,,,38.66375259,-80.70863852,,,0.0,1.0
"307 10TH ST,WHITE HALL,WV,26554-3610",,1.0,,0.0,,0.0,,,39.47207009,-80.15146488,,,0.0,1.0
"319 LUTZ AVE,MARTINSBURG,WV,25404-6362",,0.0,,0.0,,1.0,,,39.48454923,-77.96042121,,,0.0,1.0
"3414 PENNSYLVANIA AVE,CHARLESTON,WV,25302-4633",,1.0,,0.0,,0.0,,,38.39614665,-81.56551632,,,0.0,1.0
"400 ALLEN DR STE 200,CHARLESTON,WV,25302-3947",,2.0,,0.0,,0.0,,,38.36388126,-81.6193889,,,0.0,1.0
"4325 GERRARDSTOWN RD,INWOOD,WV,25428-3449",,1.0,,0.0,,0.0,,,39.36087481,-78.05310531,,,0.0,1.0
"5555 US-60,HUNTINGTON,WV,25705",,1.0,,0.0,,0.0,,,38.40999449,-82.33294108,,,0.0,1.0
