IKN_addr,general_med,general_chip,pediatric_med,pediatric_chip,specialist_med,specialist_chip,Y_lat_med,X_long_med,Y_lat_chip,X_long_chip,med_indicator_med,chip_indicator_med,med_indicator_chip,chip_indicator_chip
"1021 QUARRIER ST STE 313,CHARLESTON,WV,25301-2313",0.5,,0.0,,0.0,,38.34820166,-81.63301002,,,1.0,0.0,,
"1031 QUARRIER ST STE 502,CHARLESTON,WV,25301-2325",0.5,,0.0,,0.0,,38.34786815,-81.63258143,,,1.0,0.0,,
"104 GOFF MOUNTAIN RD,CROSS LANES,WV,25313-1411",1.0,,0.0,,0.0,,38.41952402,-81.79182419,,,1.0,0.0,,
"1104 5TH AVE,HUNTINGTON,WV,25701-2255",1.0,,0.0,,0.0,,38.42013124,-82.43977801,,,1.0,0.0,,
"111 AUDREY EGLE DR,SHEPHERDSTOWN,WV,25443",1.0,,0.0,,0.0,,39.43033248,-77.80178082,,,1.0,0.0,,
"112 HILL ST,BRIDGEPORT,WV,26330-1756",1.0,,0.0,,0.0,,39.28308232,-80.25283468,,,1.0,0.0,,
"1210 VIRGINIA ST E,CHARLESTON,WV,25301-2928",1.0,,0.0,,0.0,,38.34488002,-81.63063492,,,1.0,0.0,,
"1215 LYNMAR ST,KEYSER,WV,26726-2111",1.0,,0.0,,0.0,,39.43282857,-78.98814441,,,1.0,0.0,,
"1321 VIRGINIA ST E STE 1,CHARLESTON,WV,25301-3053",1.0,,0.0,,0.0,,38.34341738,-81.62869667,,,1.0,0.0,,
"1701 OAKHURST DR,CHARLESTON,WV,25314-2445",1.0,,0.0,,0.0,,38.33622398,-81.70361542,,,1.0,0.0,,
"1840 HARPER RD,BECKLEY,WV,25801-3366",1.0,,0.0,,0.0,,37.79021152,-81.20834119,,,1.0,0.0,,
"215 5TH AVE,SAINT ALBANS,WV,25177",0.5,,0.0,,0.0,,38.38722695,-81.83490829,,,1.0,0.0,,
"2185 NATIONAL RD,WHEELING,WV,26003-5247",1.0,,0.0,,0.0,,40.04479715,-80.65969265,,,1.0,0.0,,
"2209 22ND ST,NITRO,WV,25143-1728",1.0,,0.0,,0.0,,38.42308282,-81.840936,,,1.0,0.0,,
"2700 E DUPONT AVE,BELLE,WV,25015-1842",1.0,,0.0,,0.0,,38.20424361,-81.50442785,,,1.0,0.0,,
"3011 PIEDMONT RD,HUNTINGTON,WV,25704-2732",1.0,,0.0,,0.0,,38.40244124,-82.50156169,,,1.0,0.0,,
"319 MAIN ST,MADISON,WV,25130-1221",1.0,,0.0,,0.0,,38.06522152,-81.82147708,,,1.0,0.0,,
"327 N JEFFERSON ST,LEWISBURG,WV,24901-1116",0.5,,0.0,,0.0,,37.80583727,-80.43813766,,,1.0,0.0,,
"339 E MAIN ST,BRIDGEPORT,WV,26330-1845",1.0,,0.0,,0.0,,39.28750804,-80.24618502,,,1.0,0.0,,
"3906 MACCORKLE AVE SE,CHARLESTON,WV,25304-1633",1.0,,0.0,,0.0,,38.32718925,-81.59163709999999,,,1.0,0.0,,
"3964 TEAYS VALLEY RD,HURRICANE,WV,25526-9796",1.0,,0.0,,0.0,,38.44826536,-81.94355522,,,1.0,0.0,,
"400 PRESTIGE PARK DR # A-1,HURRICANE,WV,25526-8420",1.0,,0.0,,0.0,,38.4625963,-81.93193033,,,1.0,0.0,,
"409 PENNSYLVANIA AVE,CHARLESTON,WV,25302-2317",1.0,,0.0,,0.0,,38.35788817,-81.6428994,,,1.0,0.0,,
"412 HAMPTON LN,RIPLEY,WV,25271-9652",1.0,,0.0,,0.0,,38.82169772,-81.74163921,,,1.0,0.0,,
"704 MARSHALL ST STE A,MCMECHEN,WV,26040-1016",1.0,,0.0,,0.0,,39.976743,-80.73093514,,,1.0,0.0,,
"71 MACCORKLE AVE SW,SOUTH CHARLESTON,WV,25303-1411",0.3333333333333333,,0.0,,0.0,,38.36392904,-81.7121653,,,1.0,0.0,,
"767 NATIONAL RD,WHEELING,WV,26003-6544",1.0,,0.0,,0.0,,40.07594118,-80.69881372,,,1.0,0.0,,
"818 13TH AVE,MARLINTON,WV,24954-1442",1.0,,0.0,,0.0,,38.21771791,-80.08587390000002,,,1.0,0.0,,
"918 CHESTNUT RIDGE RD,MORGANTOWN,WV,26505",1.0,,0.0,,0.0,,39.65662909,-79.95300607,,,1.0,0.0,,
"969 NATIONAL RD STE 1,WHEELING,WV,26003-6440",1.0,,0.0,,0.0,,40.07808705,-80.68981825,,,1.0,0.0,,
"PO BOX 125,SCOTT DEPOT,WV,25560-0125",1.0,,0.0,,0.0,,38.449662,-81.90273049,,,1.0,0.0,,
