idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"#37 MADDEX PROFFESIONAL CENTER RTE 45W,SHEPHERDSTOWN,WV,25443",1.0,0.0,0.0,39.439499700000006,-77.82034329,0,1
1,"1 EAGLE WAY,CLARKSBURG,WV,26301-9784",0.04651162790697674,0.0,0.0,39.26598861,-80.35152861,0,1
2,"1 FRENCH ST,CLENDENIN,WV,25045",1.0,0.0,0.0,38.48736,-81.35234738,0,1
3,"1 HIGHLANDER WAY,HUNTINGTON,WV,25701-5261",0.4908496732026144,0.0,0.0,38.39381297,-82.39554492,0,1
4,"1 MEDICAL CENTER DR,MORGANTOWN,WV,26506-1200",14.5,0.0,10.0,39.65333076,-79.95926164,0,1
5,"1 MOUNTAINEER DR,CLARKSBURG,WV,26301-5511",0.04651162790697674,0.0,0.0,39.27652547,-80.39936394,0,1
6,"1 PARK VIEW LN,WHEELING,WV,26003-5442",1.0,0.0,0.0,40.05216277,-80.66610934,0,1
7,"1 PHYSICIANS PLAZA SUITE A,LOCHGELLY,WV,25866",3.5,0.0,0.0,37.9992412,-81.13912114,0,1
8,"1 PIONEER PATH,MAN,WV,25635-1235",0.06666666666666668,0.0,0.0,37.72808197,-81.85582832,0,1
9,"1 TIMBERWOLF LN,HUNTINGTON,WV,25704-9377",0.4908496732026144,0.0,0.0,38.37967365,-82.52623612,0,1
10,"1 WILDCAT WAY,LOGAN,WV,25601-3474",0.06666666666666668,0.0,0.0,37.8507191,-81.99570984,0,1
11,"100 CARTER BRAXTON DR,SUTTON,WV,26601-9773",0.04651162790697674,0.0,0.0,38.69500376,-80.66438003,0,1
12,"100 FLORIDA ST,BIG CHIMNEY,WV,25302-1131",9.083333333333332,0.0,0.0,38.36485597,-81.66178514,0,1
13,"100 FLORIDA ST,CHARLESTON,WV,25302-1131",0.20192307692307693,0.0,0.0,38.36485597,-81.66178514,0,1
14,"100 GREENBRIER PLZ,FAIRMONT,WV,26554-1735",2.0,0.0,0.0,39.49464045,-80.15637146,0,1
15,"100 KANAWHA BLVD W,CHARLESTON,WV,25302-2300",0.3333333333333333,0.0,0.0,38.35718466,-81.64722888,0,1
16,"100 MORRISON DR,PRINCETON,WV,24740-2322",1.0,0.0,0.0,37.36577097,-81.11487224,0,1
17,"100 PIONEER RD,WAYNE,WV,25570-9504",0.4908496732026144,0.0,0.0,38.248334,-82.43476457,0,1
18,"1000 PARKWAY RD,SOUTH CHARLESTON,WV,25309",1.5,0.0,0.0,38.31555792,-81.71377207,0,1
