,State_County_Tract_FIPS_Code
54061010201,34
54061011100,26
54061011803,7
54003971201,7
54039000900,7
54033030601,6
54069002000,6
54033032101,6
54011010102,5
54107010702,5
54051020900,5
54039001300,5
54003971700,4
54003972000,4
54027968500,4
54011010202,4
54003971600,4
54039001800,4
54081000802,4
54069001400,4
54061010600,3
54081000600,3
54033032102,3
54061010102,3
54081001300,3
54003971400,3
54081000500,3
54039013702,3
54011010300,3
54029021500,3
54049020900,3
54039012800,3
54107010501,3
54099020500,2
54107000903,2
54107000100,2
54077963800,2
54037972505,2
54059957300,2
54079020605,2
54069001800,2
54055002400,2
54011000400,2
54055002200,2
54039011000,2
54003971300,2
54099020100,2
54003971202,2
54103030400,2
54091964600,2
54057010500,2
54029020600,2
54021967800,2
54011010500,2
54009031102,2
54025950100,2
54107011000,2
54107010102,2
54041967600,1
54001965500,1
54067950600,1
54039011401,1
54079020604,1
54019020700,1
54009031101,1
54055002100,1
54045956200,1
54029020700,1
54071970500,1
54019020800,1
54073962100,1
54019020400,1
54057010300,1
54037972402,1
54107000901,1
54037972503,1
54079020601,1
54011001400,1
54039000500,1
54085962300,1
54061011400,1
54033030100,1
54081001001,1
54107010602,1
54011001900,1
54049021200,1
54061012000,1
54083966500,1
54061010400,1
54081001500,1
54037972506,1
54051021100,1
54079020700,1
54051021300,1
54053954801,1
54029020900,1
54081000300,1
54077964000,1
54107010601,1
54061011300,1
54037972201,1
54053954802,1
54027968600,1
54039001500,1
54083966200,1
54007968000,1
54081000200,1
54065971000,1
54069001500,1
54023969600,1
54055001400,1
54039000800,1
54069002600,1
54055001800,1
54025950400,1
54039012200,1
54069001700,1
54039000700,1
54001965600,1
54047953800,1
54053954900,1
54007968100,1
54049020800,1
54087963000,1
54101970300,1
54107000500,1
54101970100,1
54055002300,1
54061010800,1
54039010500,1
54009031400,1
