idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"1 CORPORATE DR,WAUSAU,WI,54401",1.0,0.0,0.0,44.94913535,-89.66361823,1,1
1,"100 EVERGREEN RD,MOUNT CALVARY,WI,53057-9726",1.0,0.0,0.0,43.82548920000001,-88.25178935,1,1
2,"100 N CHURCH ST,RICHLAND CENTER,WI,53581",2.0,0.0,0.0,43.33605425,-90.38416827,1,1
3,"100 N CHURCH ST,RICHLAND CENTER,WI,53581-2250",2.0,0.0,0.0,43.33605425,-90.38416827,1,1
4,"100 N MAIN ST,WALWORTH,WI,53184-9780",1.0,0.0,0.0,42.53130125,-88.59958323,1,1
5,"100 PINE CREST LN,IOLA,WI,54945",1.0,0.0,0.0,44.50126687,-89.12178414,1,1
6,"100 RIVER PL STE 110,MONONA,WI,53716-4027",1.0,0.0,0.0,43.04681552,-89.32652813,1,1
7,"100 RIVER PL,MADISON,WI,53716",0.0,0.5,2.0,43.04681552,-89.32652813,1,1
8,"1000 N WISCONSIN ST,PORT WASHINGTON,WI,53074-1285",1.0,0.0,0.0,43.40113258,-87.87099272,1,1
9,"1001 N GAMMON RD STE 1,MIDDLETON,WI,53562-3874",1.0,0.0,0.0,43.08283064,-89.50221397,1,1
10,"1001 N GAMMON RD,MIDDLETON,WI,53562",2.0,0.0,0.0,43.08283016,-89.50221351,1,1
11,"1007 N MAIN ST,EDGERTON,WI,53534-1325",1.0,0.0,0.0,42.84428436,-89.06055371,1,1
12,"101 CAMELOT DR STE 3,FOND DU LAC,WI,54935-8048",2.0,0.0,0.0,43.74494051,-88.44513091,1,1
13,"1015 CAMPBELL ST N,PRESCOTT,WI,54021",1.0,0.0,0.0,44.75995263,-92.79205272,1,1
14,"1015 CAMPBELL ST N,PRESCOTT,WI,54021-1157",1.0,0.0,0.0,44.75995263,-92.79205272,1,1
15,"10155 WASHINGTON AVE,STURTEVANT,WI,53177",5.0,1.0,1.5,42.71980748,-87.90989429,1,1
16,"10155 WASHINGTON AVE,STURTEVANT,WI,53177-1645",3.0,0.0,0.0,42.71980748,-87.90989429,1,1
17,"1020 MENOMONIE ST,EAU CLAIRE,WI,54703-5952",1.0,0.0,0.0,44.80142247,-91.52081311,1,1
18,"1025 KING ST,LA CROSSE,WI,54601-4119",1.0,0.0,0.0,43.81007046,-91.24141066,1,1
19,"103 E FOUNTAIN ST,DODGEVILLE,WI,53533",1.0,0.0,0.0,42.95891906,-90.13031561,1,1
20,"103 E FOUNTAIN ST,DODGEVILLE,WI,53533-1749",2.0,0.0,0.0,42.95891906,-90.13031561,1,1
21,"103 W MCMILLAN ST,MARSHFIELD,WI,54449-1039",0.0,0.25,0.0,44.6852755,-90.16127397,1,1
22,"10345 N PORT WASHINGTON RD,MEQUON,WI,53092-5762",1.0,0.0,0.0,43.20584936,-87.92440068,1,1
23,"10401 W LINCOLN AVE,MILWAUKEE,WI,53227",0.0,0.0,1.0,43.00251247,-88.04199035,1,1
24,"105 E BLUFF ST,BOSCOBEL,WI,53805-1610",1.0,0.0,0.0,43.13385246,-90.70491141,1,1
25,"105 N MAIN ST,VERONA,WI,53593-1101",2.0,0.0,0.0,42.99112695,-89.53346561,1,1
26,"105 NORTHRIDGE DR,NEW LONDON,WI,54961-2703",1.0,0.0,0.0,44.40968949,-88.74008099,1,1
27,"1052 BEL AIRE CT,GREEN BAY,WI,54304-5015",1.0,0.0,0.0,44.49124059,-88.07342595,1,1
28,"10521 N PORT WASHINGTON RD,MEQUON,WI,53092",0.0,0.0,1.0,43.20923378,-87.92433971,1,1
29,"10521 N PORT WASHINGTON RD,MEQUON,WI,53092-5584",2.0,0.0,0.0,43.20923378,-87.92433971,1,1
30,"106 WISCONSIN AVE S,FREDERIC,WI,54837-7905",2.0,0.0,0.0,45.658908000000004,-92.46620327,1,1
31,"10618 N PORT WASHINGTON RD,MEQUON,WI,53092",0.0,1.0,0.0,43.21099758,-87.92405482,1,1
32,"10618 N PORT WASHINGTON RD,MEQUON,WI,53092-5013",1.0,0.0,0.0,43.21099758,-87.92405482,1,1
33,"1062 OAK FOREST DR,ONALASKA,WI,54650",1.0,0.0,0.0,43.87105712,-91.22039386,1,1
34,"108 CHIEFTAIN ST,OSCEOLA,WI,54020",4.0,0.0,0.0,45.31987584,-92.70479943,1,1
35,"108 S MAIN ST,BIRCHWOOD,WI,54817",2.0,0.0,0.0,45.65603624,-91.55589131,1,1
36,"1085 WILSHIRE BLVD,STEVENS POINT,WI,54481-2255",2.0,0.0,0.0,44.52525883,-89.54999494,1,1
37,"109 S BEAUMONT RD,PRAIRIE DU CHIEN,WI,53821-1414",1.0,0.0,0.0,43.05150911,-91.14652264,1,1
38,"109 S MADISON ST,EVANSVILLE,WI,53536",1.0,0.0,0.0,42.77868249,-89.29921845,1,1
39,"110 N OGDEN RD,PESHTIGO,WI,54157",1.0,0.0,0.0,45.05634103,-87.73313399999998,1,1
40,"1101 S AIRLINE RD,MOUNT PLEASANT,WI,53406-3888",5.0,1.0,0.0,42.72035756,-87.87575832,1,1
41,"1101 S AIRLINE RD,RACINE,WI,53406",7.0,1.0,0.0,42.72035756,-87.87575832,1,1
42,"1102 BEALL ST,HUDSON,WI,54016-2060",1.0,0.0,0.0,44.96716056,-92.74359742,1,1
43,"1102 REGIS CT,EAU CLAIRE,WI,54701",3.0,0.0,0.0,44.80589725,-91.4727516,1,1
44,"1102 REGIS CT,EAU CLAIRE,WI,54701-4404",1.0,0.0,0.0,44.80589725,-91.4727516,1,1
45,"11035 W FOREST HOME AVE STE 116,HALES CORNERS,WI,53130-2541",0.0,1.0,0.0,42.93218223,-88.05144224,1,1
46,"11035 W FOREST HOME AVE,HALES CORNERS,WI,53130",0.0,1.0,0.0,42.93218223,-88.05144224,1,1
47,"1111 DELAFIELD ST STE 319,WAUKESHA,WI,53188-3407",0.0,1.0,0.0,43.02328736,-88.24079943,1,1
48,"1111 LANGLADE RD,ANTIGO,WI,54409-2787",1.0,0.0,0.0,45.14707888,-89.13529194,1,1
