,State_County_Tract_FIPS_Code
55079060101,62
55079185300,49
55133200902,47
55089660303,44
55025010904,43
55133201202,37
55079980000,36
55133203200,32
55035000302,30
55087012902,29
55133204301,28
55063010600,27
55133200201,27
55139002300,26
55009020900,25
55133203102,24
55009021400,24
55101001706,24
55133201900,23
55015020800,23
55009002003,22
55079080300,22
55133202800,22
55025000504,21
55059002602,21
55079101100,20
55133201506,20
55105001202,19
55131400104,19
55117001000,19
55079130200,18
55127001602,18
55133202102,18
55079160202,18
55087012506,18
55139001803,17
55025011401,17
55079091200,17
55073001400,17
55089650300,17
55039040900,16
55079150303,16
55063010402,15
55131470203,15
55087011501,15
55025000300,15
55009000200,15
55073001102,15
55025011302,13
55097961100,13
55109120202,13
55009020504,13
55089640200,12
55133203500,12
55029100700,12
55093960200,12
55111000100,12
55015020308,12
55017010500,12
55079020700,11
55097961200,11
55071000300,11
55101002800,11
55081950600,11
55009021301,11
55025001802,10
55025002900,10
55133203403,10
55025001403,10
55131440104,10
55079018800,9
55073001800,9
55025011600,9
55021970400,9
55089630201,9
55139001900,9
55055100100,9
55025012502,9
55079019300,9
55059000601,9
55141011500,9
55117010501,8
55133203702,8
55075961200,8
55141010700,8
55055101400,8
55085971002,8
55043961000,8
55059002200,8
55031030200,8
55079120102,8
55133203000,8
55085971500,8
55005000600,8
55133201000,8
55045960400,8
55079050101,7
55039041800,7
55033970700,7
55063010102,7
55079001000,7
55039041000,7
55025002500,7
55059000700,7
55023960400,7
55097960500,7
55133203901,7
55101001502,7
55125950500,7
55105001302,6
55087012700,6
55079170600,6
55119960400,6
55089660201,6
55053960100,6
55105002200,6
55021970800,6
55117010100,6
55035001500,6
55079100400,6
55079180300,6
55079021500,6
55079016400,6
55079140201,6
55101002600,6
55079014400,6
55079186300,6
55087013300,6
55009001702,6
55039041500,6
55115100300,6
55133204004,6
55025000204,6
55125950600,6
55111000500,5
55133201600,5
55055100500,5
55127001604,5
55101001100,5
55063010201,5
55027960600,5
55129950600,5
55035000400,5
55059002903,5
55079120203,5
55131460101,5
55067960600,5
55079120202,5
55125950700,5
55079007000,5
55025000408,5
55135100100,5
55035000803,5
55135100600,5
55069960300,5
55127000101,5
55113100500,5
55133201402,5
55011960200,4
55079005500,4
55137960700,4
55029100100,4
55027961200,4
55087011900,4
55071010200,4
55121100200,4
55003950500,4
55025012201,4
55015020600,4
55079090300,4
55021971200,4
55139001100,4
55117000400,4
55069960400,4
55131420104,4
55015020500,4
55101000800,4
55087940000,4
55095960500,4
55081950200,4
55127000200,4
55007960300,4
55131450104,4
55045960200,3
55127001603,3
55089660301,3
55071010100,3
55111001001,3
55025001705,3
55117011300,3
55025011101,3
55025011301,3
55115101100,3
55127000600,3
55117010602,3
55025001402,3
55025013200,3
55025011900,3
55025003002,3
55131410100,3
55073001201,3
55099970500,3
55079000202,3
55025010800,3
55025012700,3
55079186400,3
55079187400,3
55025010901,3
55087012601,3
55073002200,3
55133204100,3
55033970300,3
55085971400,3
55001950700,3
55043960300,3
55025013301,3
55133201101,3
55005000200,3
55055100700,3
55061960200,3
55025012002,3
55079011300,3
55043960700,3
55133201203,3
55079185100,3
55025013000,3
55133203804,3
55105002800,3
55027961700,3
55025011200,3
55061960500,2
55105000700,2
55139001600,2
55025012501,2
55039042100,2
55025012100,2
55025001200,2
55133204302,2
55101001505,2
55059002700,2
55087011700,2
55139002202,2
55139000300,2
55035000801,2
55073001300,2
55079020600,2
