,State_County_Tract_FIPS_Code
55079186400,30
55087012506,29
55141010600,24
55101001706,16
55079090300,15
55025001403,13
55025000204,13
55025000202,12
55009001000,12
55017010500,12
55101001703,12
55079185300,11
55073000500,11
55087011102,11
55079150100,11
55117000500,11
55125940000,10
55079003600,10
55063000900,10
55025002500,10
55078940102,10
55085971400,10
55105000700,10
55079015900,9
55101001701,9
55115100300,9
55133202700,9
55097961200,9
55009021303,9
55025003002,8
55039040100,8
55083100300,8
55009020203,8
55119960400,8
55005000600,8
55059001100,7
55041950300,7
55063000400,7
55079016800,7
55025010501,7
55073000200,6
55053960100,6
55057100400,6
55101001001,6
55089660303,6
55009002001,6
55035001300,6
55063010500,6
55079019000,6
55059001400,6
55133204302,6
55079020400,6
55097960400,6
55133202902,5
55079186300,5
55085971500,5
55079009600,5
55071000600,5
55079120102,5
55141011300,5
55095960700,5
55111000401,5
55049950400,5
55103970400,5
55137960800,5
55009000303,5
55119960500,5
55117000400,5
55081950900,5
55099970200,4
55131420200,4
55035000801,4
55025001401,4
55009940001,4
55079015800,4
55063001101,4
55133201101,4
55079005100,4
55017011200,4
55079007000,4
55095960800,4
55079050101,4
55003950300,4
55033970800,4
55079091200,4
55109120501,4
55035000700,4
55105001202,4
55079020800,4
55107960500,4
55079180400,4
55025002000,4
55035001101,4
55079019300,3
55031020800,3
55113100300,3
55079003400,3
55087013100,3
55087012601,3
55131450106,3
55045960400,3
55079005500,3
55133204502,3
55133201201,3
55079004400,3
55079009900,3
55079012800,3
55083101000,3
55079160100,3
55079050102,3
55033970700,3
55135100900,3
55079130200,3
55035000803,3
55093960400,3
55019950800,3
55025000205,3
55087012504,3
55139001803,3
55017010700,3
55025010100,3
55079100300,3
55055101300,3
55079100200,3
55035000900,3
55009021200,3
55105000800,3
55009001801,2
55033970500,2
55095960100,2
55129950300,2
55073002100,2
55009940003,2
55117011400,2
55025011600,2
55109120100,2
55087010100,2
55111001001,2
55079021500,2
55025012800,2
55123960300,2
55079090700,2
55117001000,2
55025013700,2
55079187400,2
55139002900,2
55079130100,2
55061960400,2
55133201102,2
55115100500,2
55133203000,2
55025011402,2
55079101100,2
55115100400,2
55115100600,2
55023960500,2
55073000100,2
55025001200,2
55101002402,2
55079000502,2
55025010901,2
55009940004,2
55089640100,2
55005000300,2
55025010904,2
55009020704,2
55039041600,2
55079012700,2
55039040300,2
55025010800,2
55117000100,2
55013970600,2
55139001100,2
55009020900,2
55133200201,2
55025011505,2
55063000200,2
55079005600,2
55139002000,2
55101000903,2
55141011400,2
55133202002,2
55087011101,2
55075961100,2
55071010400,2
55073001104,2
55063010600,2
55003950400,2
55025001804,2
55093960500,2
55039041100,2
55071000700,2
55071000100,2
55025000406,2
55079017500,2
55007960100,2
55113940000,2
55025000408,2
55079011400,2
55025000405,2
55105003001,2
55027960900,2
55063000800,2
55073001400,2
55079005700,2
55135100400,1
55133200102,1
55055101500,1
55117010502,1
55025012201,1
55133200700,1
55025010400,1
55025003100,1
55079001800,1
55087011502,1
55043960700,1
55073001103,1
55085971300,1
55087940000,1
55079090600,1
55087012200,1
55079080400,1
55011960400,1
55035001200,1
55101000100,1
55011960200,1
55079160203,1
55135100100,1
55079018900,1
55127001502,1
55121100300,1
55133200804,1
55105003100,1
55015020800,1
55021971200,1
55035000200,1
55139002201,1
55051180300,1
55025000300,1
55079012200,1
55087011700,1
55133202301,1
55075961300,1
55135101000,1
55079014700,1
55097960800,1
55063001000,1
55111000100,1
55025000401,1
55039041500,1
55063001102,1
55101001702,1
55079000202,1
55029100700,1
55079016600,1
55139000500,1
55079080200,1
55025002302,1
55121100600,1
55133200902,1
55079016700,1
55067960700,1
55105001302,1
55035001400,1
55141011700,1
55139002602,1
55009000100,1
55073001300,1
55071000400,1
55109120201,1
55055100100,1
55039041000,1
55009000200,1
55127001604,1
55059002300,1
55079000900,1
55079003300,1
55055101100,1
55105002300,1
55101000904,1
55133201202,1
55069961000,1
55139003600,1
55039040500,1
55079101700,1
55009020702,1
55079021000,1
55067960600,1
55059000601,1
55043960500,1
55075960100,1
55073002300,1
55073000601,1
55139001500,1
55105002200,1
55133203602,1
55101001705,1
55105000400,1
55133203403,1
55133203500,1
55079101500,1
55133202400,1
55133201503,1
55079091300,1
55105002601,1
55079005300,1
55017010300,1
55087010700,1
55043961100,1
55139001200,1
55025001604,1
55079101300,1
55133203304,1
55005001002,1
55127001000,1
55025012202,1
55009020504,1
55123960100,1
55055100500,1
55009020503,1
55003950500,1
55003950800,1
55039042100,1
55097961000,1
55047100300,1
55059001900,1
55127000501,1
55117010700,1
55139001804,1
55089630201,1
55111000600,1
55083100700,1
55139001801,1
55079110100,1
55105002900,1
55059001800,1
55013970800,1
55043960200,1
55041950400,1
55063000300,1
55027960500,1
55007960400,1
55027960100,1
55051180100,1
55079003500,1
55141010800,1
55079019900,1
55055100200,1
55085970800,1
55095960200,1
55097961100,1
55079060102,1
55089650300,1
55071005300,1
55135100300,1
55047100400,1
