idx,IKN_addr,general,pediatric,specialist,Y_lat,X_long,med_indicator,chip_indicator
0,"100 CANYON RD,KEMMERER,WY,83101",1.0,0.0,0.0,41.77991747,-110.54331940000002,0,1
1,"100 COMMERCE DR,GREEN RIVER,WY,82935-6167",1.0,0.0,0.0,41.50004136,-109.4702333,0,1
2,"1001 EAGLE VIEW DR,BUFFALO,WY,82834-1417",0.3333333333333333,0.0,0.0,44.36059316,-106.7064437,0,1
3,"102 N KENWOOD ST,CASPER,WY,82601-2724",1.0,0.0,0.0,42.85026874,-106.3039409,0,1
4,"108 N 1ST ST,DUBOIS,WY,82513",1.0,0.0,0.0,43.5352145,-109.6309104,0,1
5,"110 E ARAPAHOE ST,THERMOPOLIS,WY,82443-2402",1.0,0.0,0.16666666666666666,43.64748867,-108.2011558,0,1
6,"1101 W SPRUCE ST,RAWLINS,WY,82301-5211",1.0,0.0,0.0,41.7887891,-107.2487674,0,1
7,"111 S BIG HORN AVE,MOORCROFT,WY,82721",1.5,0.0,0.0,44.2630995,-104.9516652,0,1
8,"1110 BECK AVE,CODY,WY,82414-3624",2.0,0.0,0.0,44.52495153,-109.0654115,0,1
9,"1115 MAPLE WAY,JACKSON,WY,83001-8567",3.0,0.0,0.0,43.4703315,-110.787354,0,1
10,"1122 S CONWELL ST,CASPER,WY,82601-3965",2.0,0.0,0.0,42.83926216,-106.3074905,0,1
11,"1130 S HWY 89,JACKSON,WY,83001-8512",2.0,0.0,0.25,43.463583,-110.7933252,0,1
12,"1156 N 22ND ST STE A,LARAMIE,WY,82072-5403",2.0,0.0,0.0,41.32201567,-105.5673185,0,1
13,"1160 ALPINE LN STE 1D,JACKSON,WY,83001-8605",1.0,0.0,0.0,43.47205151,-110.78772990000002,0,1
14,"1201 S ELK ST,CASPER,WY,82601-4009",1.0,0.0,0.0,42.83863241,-106.302583,0,1
15,"1204 E PERSHING BLVD,CHEYENNE,WY,82001-3230",1.0,0.0,0.0,41.14593345,-104.806971,0,1
16,"1208 HILLTOP DR STE 209,ROCK SPRINGS,WY,82901-5860",0.0,1.0,0.0,41.58415786,-109.2319598,0,1
17,"1211 S DOUGLAS HWY STE 200,GILLETTE,WY,82716-4968",1.5,0.0,0.0,44.28271744,-105.4940451,0,1
18,"1212 E 12TH ST,CASPER,WY,82601-3910",1.0,0.0,0.0,42.83885346,-106.309521,0,1
19,"1224 E 2ND ST,CASPER,WY,82601-2927",2.333333333333333,0.0,0.0,42.8487375,-106.308891,0,1
20,"1224 E JACKSON AVE,RIVERTON,WY,82501-3841",2.0,0.0,0.0,43.02768252,-108.37452140000002,0,1
21,"124 COLE SHOPPING CTR,CHEYENNE,WY,82001-5366",0.0,0.0,1.0,41.14416655,-104.7880605,0,1
22,"125 NOLAN AVE,KAYCEE,WY,82639",0.75,0.0,0.0,43.71412145,-106.6388712,0,1
23,"1274 N MAIN ST STE A,SHERIDAN,WY,82801-3027",0.0,0.0,0.3333333333333333,44.81082958,-106.9556992,0,1
24,"1275 N 15TH ST STE 101,LARAMIE,WY,82072-7906",1.0,0.0,0.0,41.32319541,-105.5769045,0,1
25,"130 N ASH ST STE 202,CASPER,WY,82601-1876",0.5,0.0,0.0,42.85077238,-106.3286289,0,1
26,"130 S SENECA AVE,NEWCASTLE,WY,82701-2819",1.0,0.0,0.0,43.85307708,-104.2031283,0,1
27,"1315 S HWY 89 STE 102,JACKSON,WY,83001-8514",1.0,0.0,0.0,43.45974,-110.7933789,0,1
28,"1325 S HWY 89 APT 107,JACKSON,WY,83001-8293",1.0,0.0,0.0,43.45957799,-110.7933794,0,1
29,"1331 PRAIRIE AVE STE 4,CHEYENNE,WY,82009-4867",1.0,0.0,0.0,41.16398846,-104.80851,0,1
30,"1347 S BEVERLY ST,CASPER,WY,82609-4133",1.8333333333333333,0.0,0.0,42.837246,-106.2978255,0,1
31,"14 GREAT PLAINS RD,ARAPAHOE,WY,82510",2.0,0.5,0.0,42.98515791,-108.4854747,0,1
32,"1401 AIRPORT PKWY STE 140,CHEYENNE,WY,82001-1524",0.0,0.0,0.5,41.15230752,-104.8051215,0,1
33,"1401 AIRPORT PKWY STE 210,CHEYENNE,WY,82001-1541",0.0,0.0,0.5,41.15230752,-104.8051215,0,1
34,"1401 GATEWAY BLVD UNIT 3,ROCK SPRINGS,WY,82901-6727",1.0,0.0,0.0,41.59227259,-109.2432365,0,1
35,"1425 STATE HIGHWAY 150 S STE A,EVANSTON,WY,82930-5377",1.0,0.0,0.0,41.25342966,-110.942233,0,1
36,"1426 STAMPEDE AVE,CODY,WY,82414-4226",1.0,0.0,0.0,44.51880947,-109.0573113,0,1
37,"1431 S BEVERLY ST,CASPER,WY,82609-4131",1.0,0.0,0.0,42.836103,-106.2978255,0,1
38,"1439 STILLWATER AVE STE 7,CHEYENNE,WY,82009-7367",1.5,0.5,0.0,41.1593205,-104.805854,0,1
39,"1465 BURTON ST STE A,SHERIDAN,WY,82801-2746",1.0,0.0,0.0,44.8064435,-106.97785,0,1
40,"151 STOREY BLVD,CHEYENNE,WY,82009-3593",1.0,0.0,0.0,41.174870500000004,-104.8262934,0,1
41,"153 S FENWAY ST,CASPER,WY,82601-2721",1.0,0.0,0.0,42.84910774,-106.3053045,0,1
42,"1530 CENTENNIAL CT,CASPER,WY,82609-7304",2.833333333333333,0.0,0.0,42.8331574,-106.27129340000002,0,1
43,"1555 E 12TH ST,CASPER,WY,82601-4002",0.25,0.0,0.0,42.83879452,-106.305354,0,1
44,"1557 BRICE ST,WHEATLAND,WY,82201-3505",1.0,0.0,0.0,42.04798553,-104.962672,0,1
45,"16 E 3RD ST,BIG PINEY,WY,83113-9905",1.0,0.0,0.25,42.55549049,-110.10876299999998,0,1
46,"1619 S PARK DR,CODY,WY,82414-4330",2.0,0.0,0.0,44.519787,-109.0552425,0,1
47,"1653 E 2ND ST,CASPER,WY,82601-3001",1.0,0.0,0.0,42.84867654,-106.30276200000002,0,1
48,"17 S SENECA AVE,NEWCASTLE,WY,82701-2816",1.5,0.0,0.0,43.85417882,-104.2038756,0,1
49,"1702 ANTELOPE ST,KEMMERER,WY,83101-3900",1.0,0.0,0.0,41.78691356,-110.55122140000002,0,1
50,"1716 WARREN AVE,CHEYENNE,WY,82001-4538",1.0,0.0,0.0,41.13506691,-104.814061,0,1
51,"1749 S BOXELDER ST,CASPER,WY,82604-3538",1.0,0.0,0.0,42.83274831,-106.3382804,0,1
52,"175 N BERNARD ST,POWELL,WY,82435-2617",1.0,0.0,0.0,44.75400274,-108.7603528,0,1
53,"1802 SPRING CT,CHEYENNE,WY,82009-7346",1.0,0.0,0.0,41.15973951,-104.797143,0,1
54,"1843 MADORA AVE,DOUGLAS,WY,82633-3059",1.0,0.0,0.0,42.74564662,-105.3623168,0,1
55,"1900 W SUNSET DR,RIVERTON,WY,82501-2351",0.0,0.0,0.16666666666666666,43.03370247,-108.415773,0,1
56,"1933 E A ST,CASPER,WY,82601-2224",1.0,0.0,0.0,42.85140454,-106.2991125,0,1
57,"1950 SOUTH ST,WHEATLAND,WY,82201-3045",1.0,0.0,0.0,42.05161251,-104.96907,0,1
58,"1972 E 1ST ST,CASPER,WY,82601-2747",1.0,0.0,0.0,42.85010446,-106.2987104,0,1
59,"200 E BROADWAY AVE,JACKSON,WY,83001-8634",2.0,0.0,0.0,43.47956447,-110.7586035,0,1
60,"201 N 8TH ST,SUNDANCE,WY,82729",1.0,0.0,0.0,44.40834922,-104.3731892,0,1
61,"203 E MAIN ST STE 205,RIVERTON,WY,82501-4350",0.5,0.0,0.0,43.02461648,-108.3890025,0,1
62,"204 MCCOLLUM ST STE 103,LARAMIE,WY,82070-5151",1.5,0.5,0.0,41.31035958,-105.5551871,0,1
63,"204 MCCOLLUM ST STE 202,LARAMIE,WY,82070-5127",1.0,0.0,0.0,41.31035958,-105.5551871,0,1
64,"2056 S SHERIDAN AVE,SHERIDAN,WY,82801-6105",2.25,0.0,0.0,44.77520352,-106.94835829999998,0,1
65,"207 RICHARDS AVE,GILLETTE,WY,82716-3630",1.0,0.0,0.0,44.29253775,-105.5083246,0,1
66,"209 S 7TH ST,WORLAND,WY,82401-3307",4.0,0.0,0.0,44.0154735,-107.9598329,0,1
67,"211 E 20TH AVE,TORRINGTON,WY,82240-2813",0.0,0.0,1.0,42.06397902,-104.1828082,0,1
68,"211 W 9TH ST STE 1,CASPER,WY,82601-3780",1.0,0.0,0.0,42.84155646,-106.32708,0,1
69,"2120 LOGAN AVE,CHEYENNE,WY,82001-4131",1.0,0.0,0.0,41.14490383,-104.7996414,0,1
70,"220 SHOSHONE AVE,GREEN RIVER,WY,82935-5468",3.0,0.0,0.0,41.50792257,-109.468599,0,1
71,"2200 LOGAN AVE,CHEYENNE,WY,82001-4151",1.0,0.0,0.0,41.14537989,-104.7999326,0,1
72,"229 STOREY BLVD STE A,CHEYENNE,WY,82009-3595",1.0,0.0,0.0,41.17485449,-104.8247318,0,1
73,"23 E BRUNDAGE ST STE 5,SHERIDAN,WY,82801-6302",1.0,0.0,0.0,44.79826452,-106.9555336,0,1
74,"2316 DELL RANGE BLVD STE A,CHEYENNE,WY,82009-5192",1.0,0.0,0.0,41.16019345,-104.7843818,0,1
75,"240 E MAIN ST,LOVELL,WY,82431-2102",0.5,0.0,0.16666666666666666,44.8375195,-108.3883815,0,1
76,"2405 CASCADE DR,ROCK SPRINGS,WY,82901-5580",1.0,0.0,1.0,41.57975861,-109.26756090000002,0,1
77,"241 E 21ST AVE,TORRINGTON,WY,82240-2848",2.0,0.0,0.0,42.0650145,-104.1819705,0,1
78,"2441 FOOTHILL BLVD STE 1171A,ROCK SPRINGS,WY,82901-5689",1.0,0.0,0.0,41.58002445,-109.2625021,0,1
79,"2508 E FOX FARM RD # 1-1A,CHEYENNE,WY,82007-2559",1.0,0.0,0.0,41.11663152,-104.7692895,0,1
80,"2546 E 2ND ST STE 300,CASPER,WY,82609-2062",1.0,0.0,0.0,42.84879048,-106.2930729,0,1
81,"264 S WILSON ST,CASPER,WY,82601-2942",1.0,0.0,0.0,42.84749725,-106.3067985,0,1
82,"270 N EVARTS ST,POWELL,WY,82435-2718",0.0,0.0,0.16666666666666666,44.75509057,-108.7531593,0,1
83,"2701 FOOTHILL BLVD,ROCK SPRINGS,WY,82901-4889",3.0,0.0,0.0,41.58417045,-109.2548575,0,1
84,"2710 HARNEY ST STE 102,LARAMIE,WY,82072-0001",1.1666666666666663,0.3333333333333333,0.0,41.32076247,-105.5614807,0,1
85,"2805 CEDAR AVE STE A,GILLETTE,WY,82718-2000",0.0,0.0,0.25,44.26850725,-105.5053241,0,1
86,"2822 STATE HIGHWAY 414,LYMAN,WY,82937",1.0,0.0,1.0,41.30803195,-110.3363086,0,1
87,"2910 BIG HORN AVE STE A,CODY,WY,82414-9365",1.0,0.0,0.0,44.53342947,-109.0327913,0,1
88,"295 N WALSH DR,CASPER,WY,82609-1911",1.0,1.0,0.0,42.85122283,-106.2769545,0,1
89,"3001 HENDERSON DR STE F,CHEYENNE,WY,82001-5840",1.0,0.0,0.0,41.13952202,-104.7779984,0,1
90,"303 N DIVISION ST,POWELL,WY,82435-2207",1.0,0.0,0.0,44.75568307,-108.7648743,0,1
91,"303 S 8TH ST,LARAMIE,WY,82070-3914",2.0,0.0,0.0,41.31042075,-105.5870769,0,1
92,"3090 TALON DR,CASPER,WY,82604-3279",1.8333333333333333,0.0,2.5,42.81529689,-106.363784,0,1
93,"310 ELM ST,PINE BLUFFS,WY,82082",1.0,0.0,0.0,41.18143499,-104.06693,0,1
94,"3103 W BIG TRAIL DR,JACKSON,WY,83001-9296",1.0,0.0,0.0,43.43468116,-110.7891084,0,1
95,"312 N 8TH ST W,RIVERTON,WY,82501-3315",1.0,0.0,0.0,43.02727124,-108.4004601,0,1
96,"3249 SPARKS RD,CHEYENNE,WY,82001-6152",2.0,0.0,0.0,41.13797628,-104.77393,0,1
97,"325 W MAIN ST STE A,RIVERTON,WY,82501-3448",1.0,0.0,0.0,43.02460547,-108.39498290000002,0,1
98,"325 W MAIN ST STE G,RIVERTON,WY,82501-3448",1.0,0.0,0.0,43.02460547,-108.39498290000002,0,1
99,"33 FREMONT LAKE RD,PINEDALE,WY,82941",1.0,0.0,0.25,42.86666143,-109.8544934,0,1
100,"3313 PAINTBRUSH LN,WORLAND,WY,82401-3146",0.5,0.0,0.16666666666666666,44.02135745,-107.9264027,0,1
101,"3315 WARREN AVE,CHEYENNE,WY,82001-1475",1.0,0.0,0.0,41.1465963,-104.8211245,0,1
102,"337 GREYBULL AVE,GREYBULL,WY,82426-2049",0.5,0.0,0.0,44.4888415,-108.05218229999998,0,1
103,"3421 E GARFIELD ST,LARAMIE,WY,82070-5163",1.0,0.0,0.0,41.30673303,-105.5521351,0,1
104,"345 GARFIELD ST,LANDER,WY,82520-3123",1.0,0.0,0.0,42.83227879,-108.7327388,0,1
105,"352 N 4TH ST,LARAMIE,WY,82072-3106",4.0,0.0,0.0,41.31519409,-105.5919062,0,1
106,"363 DEER LN,ALPINE,WY,83128",2.0,0.0,0.0,43.15957889,-111.03022,0,1
107,"37 MEADOW ST # 12,LYMAN,WY,82937-9008",2.0,0.0,0.0,41.31001247,-110.3317824,0,1
108,"4000 LARAMIE ST,CHEYENNE,WY,82001-2064",2.0,0.0,0.0,41.15105646,-104.7603199,0,1
109,"402 E CUSTER ST,LARAMIE,WY,82070-3737",1.0,0.0,0.0,41.30906154,-105.592224,0,1
110,"405 E 19TH ST,CHEYENNE,WY,82001-4643",2.0,0.0,0.0,41.13713755,-104.8122703,0,1
111,"417 W FLYING CIRCLE DR,GILLETTE,WY,82716-4701",2.0,0.0,0.0,44.2823937,-105.507641,0,1
112,"418 S MCKINLEY ST,CASPER,WY,82601-2916",1.0,0.0,0.0,42.84623658,-106.3124615,0,1
113,"4611 ARROYO DR STE 1,CASPER,WY,82604-5116",1.0,0.0,0.0,42.80684964,-106.3545519,0,1
114,"4620 GRANDVIEW AVE STE 101,CHEYENNE,WY,82009-4964",1.0,0.0,0.0,41.161266,-104.78934,0,1
115,"487 N MAIN ST STE B,THAYNE,WY,83127-9768",1.0,0.0,0.0,42.92257449,-111.00247,0,1
116,"50 ARROWHEAD DR,EVANSTON,WY,82930-9243",3.0,0.0,0.0,41.24223648,-110.986803,0,1
117,"50 PARK RD,EVANSTON,WY,82930-2613",4.0,0.0,0.5,41.27118593,-110.9617437,0,1
118,"5000 BLACKMORE RD,CASPER,WY,82609-3345",1.3333333333333333,0.0,0.0,42.84134751,-106.2581021,0,1
119,"5040 E 2ND ST STE 2,CASPER,WY,82609-4468",0.5833333333333333,1.3333333333333333,0.0,42.84763149,-106.2564821,0,1
120,"51 E NORTH ST,PINEDALE,WY,82941",1.0,0.0,0.0,42.86881148,-109.8602542,0,1
121,"511 N 12TH ST E,RIVERTON,WY,82501-3809",1.0,0.0,0.0,43.02900941,-108.3756559,0,1
122,"513 CORAL ST,KEMMERER,WY,83101-3206",1.0,0.0,0.0,41.78944646,-110.538123,0,1
123,"514 S DURBIN ST,CASPER,WY,82601-3150",1.0,0.0,0.0,42.84531955,-106.322398,0,1
124,"5211 YELLOWSTONE RD STE 1,CHEYENNE,WY,82009-4790",1.0,0.0,0.0,41.16670255,-104.8286265,0,1
125,"524 W FLAMING GORGE WAY,GREEN RIVER,WY,82935-4111",1.0,0.0,0.0,41.53253428,-109.4733691,0,1
126,"525 S 5TH ST,BASIN,WY,82410-9529",0.5,0.0,0.0,44.37724078,-108.04041809999998,0,1
127,"530 RUNNING W DR # 100,GILLETTE,WY,82718-2074",0.0,0.0,0.3333333333333333,44.25470077,-105.5109626,0,1
128,"530 RUNNING W DR STE 100,GILLETTE,WY,82718-2074",0.5,0.0,0.0,44.25470077,-105.5109626,0,1
