,State_County_Tract_FIPS_Code
56037971600,11
56033000500,10
56025001401,8
56021001901,7
56001963900,6
56021001902,6
56005000700,6
56025001800,6
56005000100,5
56039967800,5
56041975300,4
56007967600,4
56013000300,3
56021001200,3
56039967600,3
56045951100,2
56029965500,2
56015957700,2
56033000600,2
56009956600,2
56013940202,2
56029965100,2
56033000100,2
56021001300,2
56023978000,2
56025000800,1
56013940100,1
56007968000,1
56023978200,1
56029965400,1
56043000200,1
56023978100,1
56005000500,1
56029965300,1
56023978400,1
56037970500,1
56003962700,1
56033000300,1
56021000700,1
56013940400,1
56011950200,1
56021000800,1
56007968100,1
56005000200,1
