,State_County_Tract_FIPS_Code
56025000300,16
56025001800,16
56021001300,13
56039967702,9
56021001402,8
56023978000,7
56029965500,7
56005000400,7
56025000501,7
56025000600,6
56041975400,6
56001963700,6
56033000300,6
56013940400,5
56033000100,5
56013940300,5
56039967800,5
56021000700,5
56019955200,5
56041975200,4
56001963500,4
56001963000,4
56037970903,4
56045951300,4
56041975300,4
56013000200,4
56009956400,4
56043000301,4
56013940202,4
56021000600,4
56021000800,3
56011950200,3
56025000700,3
56021001200,3
56037970901,3
56013940500,3
56035000102,3
56017967900,3
56001963100,3
56037970902,3
56009956700,3
56015957900,3
56001963400,3
56029965200,3
56003962800,3
56037970700,3
56013000300,2
56025000502,2
56023978100,2
56013000100,2
56013000400,2
56037970601,2
56033000600,2
56043000200,2
56005000100,2
56023978200,2
56025000200,2
56019955100,2
56021001502,2
56037970800,2
56035000101,2
56031959400,2
56021000900,1
56003962700,1
56025000400,1
56025000901,1
56033000400,1
56007967800,1
56037970500,1
56029965100,1
56015957800,1
56037970602,1
56039967600,1
56029965400,1
56021002000,1
56003962600,1
56037971600,1
56011950300,1
56021000402,1
56023978400,1
56005000200,1
