County_ID,County_Name,State_ID,State_Name,n^M_i,n^H_i,n^U_i,n^O_i,p_i,PREDICTED_DEMAND,STATE_FIPS,COUNTY_FIPS,County_Population_2010,RUCC_2013,NUM_DENTISTS,ACCEPTS_MED,ACCEPTS_CHIP,ACCEPTS_MED_CHIP,ONLY_PRIVATE,NUM_GENERALIST,NUM_SPECIALIST,NUM_PEDIATRITION,NUM_MED_GENERALIST,NUM_MED_SPECIALIST,NUM_MED_PEDIATRITION,NUM_CHIP_GENERALIST,NUM_CHIP_SPECIALIST,NUM_CHIP_PEDIATRITION,NUM_MED_CHIP_GENERALIST,NUM_MED_CHIP_SPECIALIST,NUM_MED_CHIP_PEDIATRITION,PUBLIC_DENTIST_RATIO,PREDICTED_SUPPLY,PUBLIC_AVAILABILITY_RATIO,label
1,Apache County,4,Arizona,10570.5,3432.45,3760.05,1313,19076,20.59717069,40,1,"71,518",6,5,4,4,4,1,5,0,0,4,0,0,4,0,0,4,0,0,0.8,0.88,0.042724315,0
3,Cochise County,4,Arizona,10197.5,5148.7,8220.8,4360,27927,27.32722635,40,3,"131,346",3,22.70873016,18.70873016,18.70873016,18.70873016,4,19.95873016,0,2.75,16.95873016,0,1.75,16.95873016,0,1.75,16.95873016,0,1.75,0.823856289,5.200920635,0.190320107,1
5,Coconino County,4,Arizona,9089.5,4410.85,8504.65,7090,29095,25.51600186,40,5,"134,421",3,26.73886391,17.73886391,17.73886391,17.73886391,9,23.78053058,1,1.958333333,15.78053058,1,0.958333333,15.78053058,1,0.958333333,15.78053058,1,0.958333333,0.663411279,4.276716728,0.167609203,1
7,Gila County,4,Arizona,4884,1539.25,2753.75,1214,10391,10.64123377,40,7,"53,597",4,11.05565448,10.05565448,10.05565448,10.05565448,1,10.26719294,0,0.788461538,9.267192938,0,0.788461538,9.267192938,0,0.788461538,9.267192938,0,0.788461538,0.909548548,2.701090139,0.253832422,2
9,Graham County,4,Arizona,3386.5,1557.25,3623.25,1196,9763,9.93390538,40,9,"37,220",7,3.708333333,3.708333333,3.708333333,3.708333333,0,3.708333333,0,0,3.708333333,0,0,3.708333333,0,0,3.708333333,0,0,1,0.815833333,0.082126143,3
11,Greenlee County,4,Arizona,767.5,389,1052.5,366,2575,2.561456401,40,11,"8,437",7,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0.22,0.085888637,3
12,La Paz County,4,Arizona,1595,614.2,759.8,323,3292,3.442717996,40,12,"20,489",6,0.083333333,0.083333333,0.083333333,0.083333333,0,0,0,0.083333333,0,0,0.083333333,0,0,0.083333333,0,0,0.083333333,1,0.07,0.020332772,0
13,Maricopa County,4,Arizona,322210.5,149538.5,300967,264214,1036930,896.0064935,40,13,"3,817,117",1,1155.57031,843.5703104,843.5703104,843.5703104,312,906.3242127,170.6168869,78.62921082,659.3242127,109.6168869,74.62921082,659.3242127,109.6168869,74.62921082,659.3242127,109.6168869,74.62921082,0.730003447,207.7398639,0.231850846,-1
15,Mohave County,4,Arizona,14794,7511.05,9274.95,5237,36817,36.6187384,40,15,"200,186",3,19.5,12.5,12.5,12.5,7,16,2.5,1,9,2.5,1,9,2.5,1,9,2.5,1,0.641025641,2.82,0.077009753,1
17,Navajo County,4,Arizona,13692,4633.3,7563.7,2583,28472,30.01971243,40,17,"107,449",4,17.125,16.125,16.125,16.125,1,16.54166667,0,0.583333333,15.54166667,0,0.583333333,15.54166667,0,0.583333333,15.54166667,0,0.583333333,0.941605839,3.909166667,0.13021999,2
