idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0," -,CHARLESTON,WV,25301",1,0,0,39,38.35103519,-81.62998624,0,0
1,"-,-,WV,-",4,0,0,101,38.36857358,-80.59728719,0,0
2,"-,MORGANTOWN,WV,-",0,0,1,61,39.63763985,-79.94640337,0,0
3,"-,MORGANTOWN,WV,26505",11,0,2,61,39.65055679,-79.94375833,0,0
4,"1 LOIS LANE,GREENWOOD,WV,26415",1,0,0,85,39.29705994,-80.93771229,0,0
5,"1 MED CENTER DR,MORGANTOWN,WV,26505",0,0,1,61,39.65055679,-79.94375833,0,0
6,"1 MEDICAL CENTER DR.,CLARKSBURG,WV,26301",1,0,0,33,39.2897579,-80.3793999,0,0
7,"1 MEDICAL CENTER DR.,MORGANTOWN,WV,26505",1,0,1,61,39.65055679,-79.94375833,0,0
8,"1 MEDICAL CENTER DR.,MORGANTOWN,WV,26506",1,0,0,61,39.618877,-79.973319,0,0
9,"1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301",2,0,0,33,39.2897579,-80.3793999,0,0
10,"1 MEDICAL CENTER DRIVE,MORGANTOWN,WV,26505",1,0,0,61,39.65055679,-79.94375833,0,0
11,"1 MOUNTAINSIDE WAY,MT. OLIVE,WV,25185",1,0,0,19,38.23518667,-81.23801572,0,0
12,"1-C ELM GROVE CORSSING,WHEELING,WV,26003",1,0,0,69,40.07396547,-80.65005191,0,0
13,"100 FLORIDA ST.,CHARLESTON,WV,25302",1,0,0,39,38.36512132,-81.66152063,0,0
14,"1005  B BRIDGE RD.,CHARLESTON,WV,25314",1,0,0,39,38.30582947,-81.65057853,0,0
15,"101 FEDERAL DR.,WELCH,WV,24801",1,0,0,47,37.44260696,-81.57767226,0,0
16,"1016 MAPLE DR., SUITE 103,MORGANTOWN,WV,26505",1,0,0,61,39.65055679,-79.94375833,0,0
17,"102 TOLLEY DR.,BRIDGEPORT,WV,26330",1,0,0,33,39.28733691,-80.22018945,0,0
