idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"#1171B WHITE MOUNTAIN MALL 2441 FOOTHILL,ROCK SPRINGS,WY,82901",0,0,1,37,41.364908,-109.0024552,0,0
1,"1003 COFFEEN PLAZA,SHERIDAN,WY,82801",1,0,0,33,44.78853726,-106.9455419,0,0
2,"1010 E. RICHARDS ST.,DOUGLAS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
3,"102 N KENWOOD,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
4,"108 E GRINNEL,SHERIDAN,WY,82801",1,0,0,33,44.84449268,-106.8397018,0,0
5,"108 E GRINNELL PLAZA,SHERIDAN,WY,82801",1,0,0,33,44.79947001,-106.9535133,0,0
6,"108 GRINNELL ST PLAZA,SHERIDAN,WY,82801",1,0,0,33,44.84449268,-106.8397018,0,0
7,"109 W LAKEWAY RD # B,GILLETTE,WY,82718",1,0,0,5,44.26894881,-105.5039018,0,0
8,"1103 WHITEWATER DR,ROCK SPRINGS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
9,"1114 RUMSEY AVE,CODY,WY,82414",1,0,1,29,44.52704412,-109.0642413,0,0
10,"1115 WHITEWATER CT.,CHEYENNE,WY,82009",1,0,0,21,41.1785561,-104.8093702,0,0
11,"115  ASPEN GROVE DRIVE WEST,EVANSTON,WY,82930",1,0,0,41,41.00832238,-110.636898,0,0
12,"1154 FRONTERA DR,LARAMIE,WY,82072",1,0,0,1,41.42473019,-105.478056,0,0
13,"1201 SOUTH ELK ST,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
14,"1204 E PERSHING BLVD,CHEYENNE,WY,82001",1,0,0,21,41.09157907,-104.9343532,0,0
15,"1208 HILLTOP DR STE 209,ROCK SPRINGS,WY,82901",0,0,1,37,41.364908,-109.0024552,0,0
16,"1208 HILLTOP DR, STE 209,ROCK SPRINGS,WY,82901",0,0,1,37,41.364908,-109.0024552,0,0
17,"121 W CARLSON,CHEYENNE,WY,82009",1,0,0,21,41.37801262,-104.8486745,0,0
18,"121 W. CARLSON,CHEYENNE,WY,82009",1,0,0,21,41.37801262,-104.8486745,0,0
19,"1211 SOUTH DOUGLAS HWY SUITE #200,GILLETTE,WY,82716",1,0,0,5,44.48069613,-105.6855939,0,0
20,"1216 E 2ND ST,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
21,"1255 N 15TH,LARAMIE,WY,82072",1,0,0,1,41.42473019,-105.478056,0,0
22,"130 N ASH #202,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
23,"1313 W 4TH ST,GILLETTE,WY,82716",1,0,0,5,44.48069613,-105.6855939,0,0
24,"1325 S HIGHWAY 89 STE 107/P.O. BOX 9520,JACKSON,WY,83001",1,0,0,39,43.51052857,-110.4612435,0,0
25,"136 N BENT STREET,POWELL,WY,82435",1,0,0,29,44.82007276,-108.938217,0,0
26,"1401 AIRPORT COURT,CHEYENNE,WY,82001",1,0,0,21,41.09157907,-104.9343532,0,0
27,"1401 AIRPORT PARKWAY STE #130,CHEYENNE,WY,82001",0,0,1,21,41.09157907,-104.9343532,0,0
28,"1401 AIRPORT PARKWAY STE100,CHEYENNE,WY,82001",1,0,0,21,41.1517238,-104.8048879,0,0
29,"1401 GATEWAY BLVD STE 4,ROCK SPRINGS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
30,"1409 17TH STREET,CODY,WY,82414",0,0,1,29,44.47337725,-109.5856052,0,0
31,"1431 S BEVERLY,CASPER,WY,82609",1,0,0,25,42.80683794,-106.1891097,0,0
32,"145 N CONNOR ST #2,SHERIDAN,WY,82801",1,0,0,33,44.84449268,-106.8397018,0,0
33,"156 STATE LINE RD,FREEDOM,WY,83120",1,0,0,23,42.98463329,-111.044056,0,0
34,"1577 DEWAR DR STE 112,ROCK SPRINGS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
35,"1601 E 19TH ST,CHEYENNE,WY,82001",1,0,0,21,41.09157907,-104.9343532,0,0
36,"165 SEMINOLE DR,EVANSTON,WY,82930",1,0,0,41,41.00832238,-110.636898,0,0
37,"17 S SENECA BOX 190,NEWCASTLE,WY,82701",1,0,0,45,43.7037636,-104.4377726,0,0
38,"17 S SENECA,NEWCASTLE,WY,82701",1,0,0,45,43.7037636,-104.4377726,0,0
39,"170 ARROWHEAD DR #1,EVANSTON,WY,82930",1,0,0,41,41.00832238,-110.636898,0,0
40,"1702 ANTELOPE ST,KEMMERER,WY,83101",1,0,0,23,41.96326403,-110.5480988,0,0
41,"1719 EDINBURGH ST,RAWLINS,WY,82301",1,0,0,7,41.88843655,-107.4950818,0,0
42,"1719 EDINBURGH,RAWLINS,WY,82301",1,0,0,7,41.88843655,-107.4950818,0,0
43,"1898 FORT RD,SHERIDAN,WY,82801",1,0,0,33,44.82700773,-106.9850245,0,0
44,"1898 FORT ROAD,SHERIDAN,WY,82801",1,0,0,33,44.82700773,-106.9850245,0,0
45,"190 E FLAMING GORGE WAY,GREEN RIVER,WY,82935",1,0,0,37,41.69108301,-109.6722571,0,0
46,"2 N MAIN ST, STE 405,SHERIDAN,WY,82801",1,0,0,33,44.84449268,-106.8397018,0,0
47,"2 N MAIN, STE 405,SHERIDAN,WY,82801",0,0,1,33,44.84449268,-106.8397018,0,0
48,"200 E BROADWAY,JACKSON,WY,83001",1,0,0,39,43.51052857,-110.4612435,0,0
49,"2017 CAMPBELL DR,TORRINGTON,WY,82240",1,0,0,15,42.24069528,-104.1791511,0,0
50,"2017 CAMPBELL DR.,TORRINGTON,WY,82240",1,0,0,15,42.24069528,-104.1791511,0,0
51,"203 EAST MAIN ST., SUITE 205,RIVERTON,WY,82501",1,0,0,13,43.03509493,-108.2023941,0,0
52,"204 MCCOLLUM DR STE 104,LARAMIE,WY,82070",1,0,0,1,41.20537364,-105.8321656,0,0
53,"208 S FIR BOX 75,ELK MTN,WY,82324",1,0,0,7,41.66701968,-106.4103835,0,0
54,"2100 PIONEER AVE,CHEYENNE,WY,82001",1,0,0,21,41.136414,-104.8207616,0,0
55,"211 W 9TH ST STE 2,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
56,"211 W 9TH ST,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
57,"211 W 9TH STREET,CASPER,WY,82601",1,0,0,25,43.09718673,-106.3874343,0,0
58,"23 N SCOTT #5,SHERIDAN,WY,82801",1,0,0,33,44.84449268,-106.8397018,0,0
59,"2336 SKYVIEW LN,LARAMIE,WY,82070",1,0,0,1,41.20537364,-105.8321656,0,0
60,"2405 CASCADE DR,ROCK SPRINGS,WY,82901",0,0,1,37,41.364908,-109.0024552,0,0
61,"2441 FOOTHILL BLVD #1171B,ROCK SPRINGS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
62,"255 S DIVISION,POWELL,WY,82435",1,0,0,29,44.82007276,-108.938217,0,0
63,"2613 CHESTNUT,CHEYENNE,WY,82001",1,0,0,21,41.09157907,-104.9343532,0,0
64,"2624 COMMERCIAL WAY SUITE C,ROCK SPRINGS,WY,82901",1,0,0,37,41.364908,-109.0024552,0,0
65,"2670 OAKCREST DR,GILLETTE,WY,82718",1,0,0,5,43.87169002,-105.6133793,0,0
