idx,BOD_addr,general,pediatric,specialist,CensusCountyFips,Latitude,Longitude,med_indicator,chip_indicator
0,"1000 O'MALLEY DRIVE,ANCHORAGE,AK,99515",1,0,0,20,61.1164052,-149.891924,0,0
1,"1000 O'MALLEY ROAD,SUITE 101,ANCHORAGE,AK,99515",1,0,0,20,61.1164052,-149.891924,0,0
2,"1001 E USA CIRCLE, STE B,WASILLA,AK,99654",1,0,0,170,61.45455307,-149.9007447,0,0
3,"1009  GILMORE ST,FAIRBANKS,AK,99701",1,0,0,90,64.83821848,-147.745036,0,0
4,"1041 UPPER CT,FAIRBANKS,AK,99712",1,0,0,90,64.99369526,-146.1504413,0,0
5,"10441 BIRCH RD,ANCHORAGE ,AK,99507",1,0,0,20,61.14976153,-149.7758508,0,0
6,"10672 KENAI SPUR HWY STE. 112,PMB 182,KENAI,AK,99611",1,0,0,122,60.5589036,-151.2408916,0,0
7,"10844 ANVIK CIR,EAGLE RIVER,AK,99577",1,0,0,20,61.19705071,-149.2466391,0,0
8,"109 NORTH JESSICA LANE,PALMER,AK,99645",1,0,0,170,61.63026273,-148.9871958,0,0
9,"11000 LIPSCOMB ST,ANCHORAGE,AK,99516",1,0,0,20,61.1211658,-149.7969746,0,0
10,"1117 SADLER WAY,,STE 100,FAIRBANKS,AK,99701",1,0,0,90,64.8532812,-147.6847195,0,0
11,"112 N BINKLEY ST,SOLDOTNA,AK,99669",1,0,0,122,60.4882637,-151.0718226,0,0
12,"1120 E. HUFFMAN RD.,24-616,ANCHORAGE,AK,99515",1,0,0,20,61.1164052,-149.891924,0,0
13,"11309 DISCOVERY VIEW DR.,ANCHORAGE,AK,99515",0,0,1,20,61.1188899,-149.9321032,0,0
14,"11370 TULIN PARK LOOP,ANCHORAGE,AK,99516",1,0,0,20,61.1184393,-149.8288187,0,0
15,"114  MINNIE STREET,SUITE  E,FAIRBANKS,AK,99701",1,0,0,290,67.16985772,-149.5691514,0,0
16,"114 MINNIE ST., SUITE C,FAIRBANKS,AK,99701",1,0,0,290,67.16985772,-149.5691514,0,0
17,"114 MINNIE STREET, SUITE A,SUITE  A,FAIRBANKS,AK,99701",1,0,0,290,67.16985772,-149.5691514,0,0
18,"11680 CANGE ST,ANCHORAGE,AK,99516",1,0,0,20,61.07133046,-149.7184144,0,0
19,"121  W.  FIREWEED LANE,# 280,ANCHORAGE,AK,99503",1,0,0,50,61.90794295,-156.856871,0,0
20,"121 W FIREWEED LN,STE 280,ANCHORAGE,AK,99503",1,0,0,50,61.90794295,-156.856871,0,0
21,"12220 KINLIEN CIR,ANCHORAGE,AK,99516",1,0,0,20,61.1095763,-149.7632917,0,0
22,"12350 INDUSTRY WY,STE 210,ANCHORAGE,AK,99515",1,0,0,20,61.109275,-149.8620508,0,0
23,"12525 SEWARD HWY,SEWARD,AK,99664",1,0,0,122,60.05648155,-149.5077712,0,0
24,"126 GIMBALLANE,KETCHIKAN,AK,99901",1,0,0,130,55.5665683,-131.0365335,0,0
25,"12641 OLD GLENN HIGHWAY,SUITE 204,EAGLE RIVER,AK,99577",1,0,0,20,61.19705071,-149.2466391,0,0
26,"129 CARNEGIE WAY,FAIRBANKS,AK,99709",1,0,0,90,64.84032797,-147.8541886,0,0
27,"12900 OLD SEWARD HIGHWAY,ANCHORAGE,AK,99515",1,0,0,20,61.10319691,-149.8575352,0,0
28,"1301 E KLATT RD,UNIT C,ANCHORAGE,AK,99515",1,0,0,20,61.1164052,-149.891924,0,0
29,"13015  OLD GLENN HIGHWAY,#  200,EAGLE RIVER,AK,99577",1,0,0,20,61.19705071,-149.2466391,0,0
30,"13015  OLD GLENN HWY,SUITE  200,EAGLE RIVER,AK,99577",1,0,0,20,61.19705071,-149.2466391,0,0
31,"13030 RIDGEVIEW DRIVE,ANCHORAGE,AK,99516",1,0,0,20,61.1032517,-149.7714353,0,0
32,"1305   21ST  AVENUE,SUITE  204,FAIRBANKS,AK,99701",0,0,1,290,67.16985772,-149.5691514,0,0
33,"1305 21ST AVE,SUITE 203,FAIRBANKS,AK,99701",1,0,0,290,67.16985772,-149.5691514,0,0
34,"133 MARYDALE AVENUE,SOLDOTNA,AK,99669",1,0,0,122,60.4945695,-151.0746618,0,0
35,"13521 SEACHANT CIRCLE,ANCHORAGE,AK,99516",1,0,0,20,61.0978553,-149.8270126,0,0
36,"13901 VENUS WAY,ANCHORAGE,AK,99515",1,0,0,20,61.1164052,-149.891924,0,0
37,"1400 W BENSON BLVD,STE 150,ANCHORAGE,AK,99503",2,0,0,20,61.1932817,-149.9091999,0,0
38,"1400 WEST BENSON BLVD SUITE 150,ANCHORAGE,AK,99503",1,0,0,20,61.1932817,-149.9091999,0,0
39,"1407 W. 31ST AVE., STE: 304,ANCHORAGE,AK,99503",1,0,0,50,61.90794295,-156.856871,0,0
40,"1441 BEECHNUT STREET,APT 1,FORT WAINWRIGHT,AK,99703",1,0,0,90,64.83280824,-147.6232707,0,0
41,"15001  GOLDENVIEW DRIVE,ANCHORAGE,AK,99516",0,0,1,20,61.0848218,-149.7739772,0,0
42,"1507 SCENIC LOOP,FAIRBANKS,AK,99709",0,0,1,90,64.87808163,-148.2144594,0,0
43,"155  SMITH WAY,STE  102,SOLDOTNA,AK,99669",1,0,0,122,60.48598438,-151.0593764,0,0
44,"1559 SCENIC LOOP,FAIRBANKS,AK,99709",1,0,0,90,64.87808163,-148.2144594,0,0
45,"1559 SCENIC LP,FAIRBANKS,AK,99709",1,0,0,90,64.87808163,-148.2144594,0,0
46,"1600 E TUDOR SUITE C,ANCHORAGE,AK,99507",1,0,0,20,61.14976153,-149.7758508,0,0
47,"1601 ABBOTT ROAD,SUITE 102,ANCHORAGE,AK,99507",1,0,0,20,61.14976153,-149.7758508,0,0
48,"16040 OLD SEWARD HIGHWAY,ANCHORAGE,AK,99516",1,0,0,20,61.0751295,-149.8110077,0,0
